Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre d'établissements industriels à risque (classés Seveso) 2025
200072007;CC Montagne d'Ardèche;0
200072015;CA Annonay Rhône Agglo;0
200072023;CC Coeur de Charente;2
200072031;CA de la Région de Château-Thierry;4
200072049;CC de Charente Limousine;0
200072056;CC Porte du Jura;2
200072064;CC Val-de-Cher-Controis;2
200072072;CA Territoires Vendômois;1
200072080;CC du Pays de Saint-Eloy;1
200072098;CC Combrailles Sioule et Morge;1
200072106;CC Adour Madiran;1
200072130;CA du Pays de Meaux;3
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;0
200072312;CA Seine Normandie Agglomération;3
200072320;CC Val de Gers;0
200072346;CA du Pays de Fontainebleau;1
200072452;CA Fougères Agglomération;4
200072460;CA de Béthune-Bruay, Artois-Lys Romane;12
200072478;CC Pays d'Opale;0
200072544;CC des Deux Morin;0
200072635;CC Pyrénées Haut Garonnaises;0
200072643;CC Coeur et Coteaux du Comminges;1
200072650;CC Touraine Vallée de l'Indre;0
200072668;CC Touraine Val de Vienne;0
200072676;CC Maine Saosnois;1
200072684;CC Le Gesnois Bilurien;0
200072692;CC des Vallées de la Braye et de l'Anille;0
200072700;CC Haute Sarthe Alpes Mancelles;1
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;0
200072726;CC Châteaubriant-Derval;0
200072734;CC Estuaire et Sillon;1
200072825;CC Mirebellois et Fontenois;1
200072874;CC Val Briard;3
200072882;CC de Vie et Boulogne;0
200072981;CC Touraine Ouest Val de Loire;0
200072999;CC du Grand Langres;1
200073013;CC Carnelle Pays-de-France;0
200073096;CA Arche Agglo;2
200073104;CC de l'Ile-Rousse - Balagne;0
200073112;CC Sud Sarthe;1
200073120;CC Nebbiu - Conca d'Oro;0
200073138;CC Pasquale Paoli;1
200073146;CC Cagire Garonne Salat;0
200073161;CC Touraine-Est Vallées;0
200073237;CC de Gâtine-Racan;1
200073245;CC du Bassin d'Aubenas;0
200073252;CC de la Castagniccia-Casinca;0
200073260;CC Sud Vendée Littoral;0
200073344;CA Rambouillet Territoires;0
200073393;CC des Rives du Haut Allier;2
200073401;CC Mézenc-Loire-Meygal;0
200073419;CA du Puy-en-Velay;1
200073427;CC Marches du Velay-Rochebaron;0
200077014;CA Vienne Condrieu;7
200083392;CA Laval Agglomération;3
200084952;Le Havre Seine Métropole;27
200085728;CC Brioude Sud Auvergne;0
200085751;CC Entre Bièvre et Rhône;20
200089456;CA Seine-Eure;9
200090504;CA Coulommiers Pays de Brie;0
200090561;CC Vierzon-Sologne-Berry;2
200090579;CC Terre d'Émeraude Communauté;0
200090751;CA Grand Calais Terres et Mers;3
200093201;Métropole Européenne de Lille;6
200096634;CC des Hautes Vosges;0
200096642;CC Gérardmer Hautes Vosges;0
200096675;CC Baud Communauté;0
200096683;CC Centre Morbihan Communauté;0
200096956;CA Agglomération d'Agen;3
240100610;CC de la Côtière à Montluel;3
240100750;CA du Pays de Gex;0
240100800;CC de Miribel et du Plateau;0
240100883;CC de la Plaine de l'Ain;9
240100891;CC Terre Valserhône (CCTV);0
240200444;CC de la Thiérache du Centre;0
240200469;CC du Pays de la Serre;2
240200477;GrandSoissons Agglomération;1
240200493;CC du Pays du Vermandois;0
240200501;CC du Val de l'Aisne;0
240200519;CC du Canton d'Oulchy-le-Château;0
240200576;CC de la Champagne Picarde;0
240200584;CC du Canton de Charly-sur-Marne;0
240200592;CC du Chemin des Dames;0
240200600;CC des Trois Rivières;0
240200634;CC des Portes de la Thiérache;0
240300491;CC du Pays de Lapalisse;0
240300558;CC du Pays de Tronçais;0
240300566;CC du Val de Cher;0
240300657;CC du Pays d'Huriel;0
240400440;CC Pays Forcalquier et Montagne de Lure;0
240500439;CC du Briançonnais;0
240500462;CC du Pays des Ecrins;0
240600551;CA de la Riviera Française;0
240600585;CA de Sophia Antipolis;2
240600593;CC du Pays des Paillons;1
240700302;CC du Pays Beaume-Drobie;0
240700617;CC Val de Ligne;0
240700716;CC du Val d'Ay;0
240700815;CC Berg et Coiron;0
240700864;CC du Rhône aux Gorges de l'Ardèche;0
240800821;CC Ardenne, Rives de Meuse;1
240800847;CC des Portes du Luxembourg;0
240800862;CC des Crêtes Préardennaises;0
240800920;CC de l'Argonne Ardennaise;1
240900431;CC du Pays de Tarascon;0
240900464;CC du Pays d'Olmes;0
241000223;CC Forêts, Lacs, Terres en Champagne;0
241000405;CC de la Région de Bar sur Aube;0
241000447;CC du Pays d'Othe;0
241000488;CC de l'Orvin et de l'Ardusson;0
241100593;CA Le Grand Narbonne;6
241200187;CA Rodez Agglomération;0
241200542;CC du Réquistanais;0
241200567;CC de Millau Grands Causses;0
241200625;CC du Pays Rignacois;0
241200641;CC Conques-Marcillac;0
241200658;CC du Pays de Salars;0
241200674;CC du Plateau de Montbazens;0
241200765;CC de Lévézou Pareloup;0
241200807;CC Aveyron Bas Ségala Viaur;0
241200906;CC Larzac et Vallées;0
241200914;CC de la Muse et des Raspes du Tarn;0
241300375;CC Vallée des Baux-Alpilles (CC VBA);0
241300417;CA d'Arles-Crau-Camargue-Montagnette;7
241400415;CC Coeur Côte Fleurie;0
241400514;CC du Pays de Falaise;0
241400555;CC de Bayeux Intercom;0
241400860;CC Coeur de Nacre;0
241400878;CC Terre d'Auge;1
241500230;Aurillac Agglomération;0
241500255;CC du Pays Gentiane;0
241500271;CC du Pays de Mauriac;0
241501055;CC Sumène - Artense;0
241501089;CC Cère et Goul en Carladès;0
241501139;CC du Pays de Salers;0
241600303;CC du Rouillacais;1
241700434;CA de La Rochelle;8
241700459;CC de l'Ile de Ré;0
241700517;CC Coeur de Saintonge;0
241700624;CC de l'Ile d'Oléron;0
241700632;CC de Gémozac et de la Saintonge Viticole;0
241700640;CA Royan Atlantique;0
241700699;CC du Bassin de Marennes;0
241800374;CC la Septaine;0
241800424;CC le Dunois;0
241800432;CC les Trois Provinces;0
241800457;CC FerCher;0
241800507;CA Bourges Plus;5
241900133;CC de Ventadour - Egletons - Monédières;0
241927201;CA Tulle Agglo;1
241927243;CC du Pays d'Uzerche;0
242000354;CA de Bastia;1
242000495;CC de l'Alta Rocca;0
242000503;CC Celavu-Prunelli;0
242010056;CA du Pays Ajaccien;4
242010130;CC du Sartenais Valinco Taravo;0
242020071;CC du Centre Corse;0
242020105;CC de Calvi Balagne;0
242100154;CC des Vallées de la Tille et de l'Ignon;1
242100410;Dijon Métropole;6
242101434;CC du Pays Châtillonnais;0
242101442;CC de Saulieu-Morvan;0
242101459;CC du Pays d'Alésia et de la Seine;1
242101491;CC du Montbardois;2
242101509;CC Rives de Saône;0
242200715;CC du Kreiz-Breizh (CCKB);1
242300135;CC du Pays Sostranien;0
242320000;CC de Bénévent Grand Bourg;0
242320109;CC du Pays Dunois;0
242400752;CC Périgord-Limousin;0
242400935;CC du Pays de Saint Aulaye;0
242401024;CC Isle-Loue-Auvézère en Périgord;0
242500320;CC Entre Doubs et Loue;0
242500338;CC du Grand Pontarlier;0
242500361;CU Grand Besançon Métropole;4
242504116;CC du Val de Morteau;0
242504181;CC des Portes du Haut-Doubs;0
242504355;CC du Plateau de Russey;0
242504371;CC du Pays de Sancey-Belleherbe;0
242504447;CC du Doubs Baumois;0
242504488;CC Altitude 800;0
242504496;CC du Plateau de Frasne et du Val de Drugeon;0
242600252;CC du Val de Drôme en Biovallée;2
242600492;CC Dieulefit-Bourdeaux;0
242600534;CC du Diois;0
242700276;CC du Pays de Conches;0
242700607;CC du Pays du Neubourg;0
242852465;CC du Bonnevalais;1
242900074;CC du Pays d'Iroise;0
242900314;Brest Métropole;3
242900553;CC du Pays des Abers;0
242900561;CC de Haute Cornouaille;1
242900629;CC Cap Sizun - Pointe du Raz;0
242900645;CC Douarnenez Communauté;0
242900660;CC du Pays Fouesnantais;0
242900694;CA Quimperlé Communauté;1
242900702;CC du Pays Bigouden Sud;0
242900710;CC du Haut Pays Bigouden;0
242900744;CC Poher Communauté;1
242900751;CC du Pays de Landivisiau;0
242900769;CA Concarneau Cornouaille Agglomération;1
242900793;CC Communauté Lesneven Côte des Légendes;0
242900801;CA du Pays de Landerneau-Daoulas;1
242900835;CA Morlaix Communauté;0
243000270;CC du Pays Viganais;0
243000296;CC du Pays de Sommières;0
243000569;CC Rhony, Vistre, Vidourle;2
243000585;CC Beaucaire Terre d'Argence;2
243000593;CC de Petite Camargue;1
243000643;CA de Nîmes Métropole;4
243000650;CC Terre de Camargue;0
243000684;CC du Pont du Gard;2
243100518;Toulouse Métropole;6
243100567;CC Aux sources du Canal du Midi;0
243100633;CA du Sicoval;2
243100732;CC des Coteaux du Girou;0
243100773;CC Val'Aïgo;0
243100781;Le Grand Ouest Toulousain agglomération;0
243100815;CC des Coteaux Bellevue;0
243200391;CC de la Lomagne Gersoise;0
243200409;CC du Bas Armagnac;1
243200417;CC de la Tenarèze;1
243200425;CC Coeur d'Astarac en Gascogne;1
243200458;CC du Grand Armagnac;0
243200508;CC Bastides et Vallons du Gers;0
243200599;CC du Saves;0
243200607;CC Artagnan de Fezensac;0
243300316;Bordeaux Métropole;21
243300563;CA Bassin d'Arcachon Sud (COBAS);1
243300811;CC de l'Estuaire;1
243301165;CC Jalle-Eau-Bourde;1
243301181;CC Latitude Nord Gironde;0
243301215;CC du Créonnais;0
243301223;CC du Grand Cubzaguais;0
243301249;CC Les Rives de la Laurence;2
243301264;CC de Montesquieu;0
243301355;CC les Coteaux Bordelais;0
243301371;CC du Pays Foyen;0
243301389;CC Médullienne;1
243301397;CC du Fronsadais;0
243301405;CC du Val de l'Eyre;1
243301439;CC des Portes de l'Entre-Deux-Mers;0
243301447;CC Médoc Estuaire;0
243301454;CC Castillon/Pujols;0
243301504;CA du Bassin d'Arcachon Nord (COBAN);0
243400017;Montpellier Méditerranée Métropole;1
243400355;CC du Clermontais;1
243400470;CA du Pays de l'Or;0
243400488;CC la Domitienne;0
243400520;CA Lunel Agglo;0
243400694;CC Vallée de l'Hérault;0
243400736;CC des Cévennes Gangeoises et Suménoises;0
243400769;CA de Béziers-Méditerranée;3
243400819;CA Hérault-Méditerranée;0
243500139;Rennes Métropole;6
243500550;CC Montfort Communauté;1
243500618;CC Brocéliande Communauté;0
243500634;Roche aux Fées Communauté;1
243500659;CC Pays de Châteaugiron Communauté;1
243500667;CC Val d'Ille-Aubigné;0
243500725;CC Côte d'Emeraude;2
243500733;CC Bretagne Romantique;0
243500741;CA Redon Agglomération;5
243500774;CC Liffré-Cormier Communauté;0
243500782;CA du Pays de Saint Malo Agglomération;1
243600202;CC Chabris - Pays de Bazelle;0
243600236;CC du Pays d'Issoudun;0
243600293;CC Levroux Boischaut Champagne;0
243600301;CC Val de l'Indre - Brenne;0
243600319;CC Brenne - Val de Creuse;1
243600327;CA Châteauroux Métropole;2
243600343;CC Coeur de Brenne;0
243600350;CC de la Châtre et Sainte-Sévère;0
243700499;CC du Castelrenaudais;1
243700754;Tours Métropole Val de Loire;7
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;2
243800604;CA Porte de l'Isère (CAPI);7
243800745;CC de l'Oisans;0
243800935;CC Lyon-Saint-Exupéry en Dauphiné;0
243800984;CA du Pays Voironnais;3
243801024;CC du Massif du Vercors;0
243801073;CC de Bièvre Est;0
243801255;CC Collines Isère Nord Communauté;2
243900354;CC de la Station des Rousses-Haut Jura;0
243900420;CC du Val d'Amour;0
243900479;CC Haut-Jura Arcade Communauté;0
243900560;CC Jura Nord;0
243900610;CC la Grandvallière;0
243901089;CC de la Plaine Jurassienne;1
244000543;CC de Mimizan;0
244000659;CC du Seignanx;2
244000675;CA du Grand Dax;0
244000691;CC du Pays Morcenais;1
244000766;CC du Pays Tarusate;3
244000774;CC du Pays de Villeneuve en Armagnac Landais;0
244000808;CA Mont de Marsan Agglomération;1
244000824;CC du Pays Grenadois;1
244000857;CC Côte Landes Nature;4
244000865;CC Maremne Adour Côte Sud;0
244000873;CC des Grands Lacs;1
244000881;CC Coteaux et Vallées des Luys;0
244100293;CC des Collines du Perche;1
244100780;CC de la Sologne des Etangs;0
244100798;CC du Grand Chambord;0
244100806;CC de la Sologne des Rivières;4
244200614;CC des Vals d'Aix et Isable;0
244200622;CC des Monts du Pilat;0
244200630;CC du Pays Entre Loire et Rhône;0
244200770;Saint-Étienne Métropole;4
244200820;CC du Pays d'Urfé;0
244200895;CC du Pilat Rhodanien;0
244300307;CC Haut Pays du Velay;0
244301016;CC des Sucs;0
244301099;CC Auzon Communauté;0
244301107;CC du Haut Lignon;0
244301123;CC des Pays de Cayres et de Pradelles;0
244301131;CC Loire et Semène;0
244400404;Nantes Métropole;6
244400438;Grand Lieu Communauté;0
244400453;CC du Pays de Blain;0
244400503;CC d'Erdre et Gesvres;0
244400537;CC de Nozay;0
244400552;CC du Pays d'Ancenis;3
244400586;CC du Sud Estuaire;1
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);1
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);8
244500203;CA Montargoise et Rives du Loing (AME);0
244500211;CC Giennoises;0
244500419;CC des Quatre Vallées;0
244500427;CC des Loges;0
244500468;Orléans Métropole;5
244500484;CC de la Forêt;2
244500542;CC de la Plaine du Nord Loiret;4
244600433;CC de la Vallée du Lot et du Vignoble;0
244600482;CC Quercy - Bouriane;0
244600532;CC du Pays de Lalbenque-Limogne;0
244600573;CC du Causse de Labastide Murat;0
244700449;CC du Pays de Duras;0
244700464;CC du Pays de Lauzun;0
244701355;CC des Coteaux et Landes de Gascogne;0
244701405;CC Lot et Tolzac;0
244800405;CC Coeur de Lozère;0
244800470;CC du Gévaudan;0
244900015;CU Angers Loire Métropole;4
244900809;CC Anjou Bleu Communauté;1
244900882;CC Baugeois Vallée;1
245100615;CC de la Grande Vallée de la Marne;0
245100888;CC de la Brie Champenoise;1
245100979;CC du Sud Marnais;1
245200597;CC des Trois Forêts;0
245300223;CC du Pays de Meslay-Grez;2
245300355;CC de l'Ernée;0
245300389;CC du Bocage Mayennais;0
245300447;CC du Pays de Château-Gontier;0
245400171;CC Moselle et Madon;1
245400189;CC des Pays du Sel et du Vermois;1
245400262;Agglomération du Grand Longwy;0
245400510;CC du Pays de Colombey et du Sud Toulois;0
245400601;CC du Bassin de Pompey;0
245400676;Métropole du Grand Nancy;2
245400759;CC du Pays du Sanon;0
245500327;CC du Sammiellois;1
245501176;CC du Territoire de Fresnes-en-Woëvre;0
245501184;CC du Pays de Revigny-sur-Ornain;0
245501242;CC du Pays d'Étain;2
245501259;CC du Pays de Montmédy;0
245600440;CC Blavet Bellevue Océan;0
245600465;CC de Belle Ile en Mer;0
245614383;CC Questembert Communauté;1
245614417;CC Roi Morvan Communauté;0
245614433;CC Pontivy Communauté;1
245700133;CC du District Urbain de Faulquemont (DUF);0
245700372;CA de Forbach Porte de France;2
245700398;CC de Freyming-Merlebach;0
245700695;CC de Cattenom et Environs;0
245700950;CC du Pays de Phalsbourg;0
245701164;CC du Warndt;0
245701206;CC du Saulnois;1
245701222;CA du Val de Fensch;2
245701271;CC du Pays Orne Moselle;3
245701354;CC de l'Arc Mosellan;0
245701362;CA Portes de France-Thionville;1
245701404;CC du Pays Haut Val d'Alzette;0
245801063;CC Loire et Allier;0
245804406;CA de Nevers;0
245804497;CC du Nivernais Bourbonnais;0
245900428;CU de Dunkerque;25
245900758;CC Flandre Lys;1
245901038;CC du Pays Solesmois;0
245901152;CA Coeur d'Ostrevent;0
245901160;CA Valenciennes Métropole;5
246000129;CC du Liancourtois;0
246000376;CC du Clermontois;3
246000566;CC du Plateau Picard;0
246000582;CC des Sablons;1
246000707;CC du Vexin-Thelle;0
246000749;CC des Lisières de l'Oise;2
246000756;CC du Pays Noyonnais;0
246000764;CC de l'Aire Cantilienne;0
246000772;CC des Deux Vallées;4
246000848;CC de la Picardie Verte;2
246000855;CC du Pays des Sources;3
246000871;CC du Pays de Valois;4
246000897;CC de la Plaine d'Estrées;1
246000913;CC du Pays de Bray;0
246000921;CC des Pays d'Oise et d'Halatte;2
246100390;CC du Val d'Orne;0
246100663;CU d'Alençon;0
246200299;CA d'Hénin-Carvin;2
246200364;CA de Lens - Liévin;5
246200380;CC de la Terre des Deux Caps;0
246200729;CA du Boulonnais;1
246200844;CC de la Région d'Audruicq;0
246201016;CC du Pays de Lumbres;1
246300701;Clermont Auvergne Métropole;4
246300966;CC du Massif du Sancy;0
246301097;CC Entre Dore et Allier;1
246400337;CC de la Vallée d'Ossau;0
246401756;CC Pays de Nay;0
246500482;CC de la Haute-Bigorre;0
246500573;CC Aure Louron;0
246600282;CC Sud-Roussillon;0
246600373;CC du Vallespir;0
246600399;CC Pyrénées Cerdagne;0
246600415;CC Roussillon-Conflent;0
246600423;CC Agly Fenouillèdes;0
246600449;CC des Aspres;0
246600464;CC Pyrénées Catalanes;0
246600548;CC du Haut Vallespir;0
246700306;CC de la Vallée de la Bruche;1
246700488;Eurométropole de Strasbourg;13
246700744;CC des Portes de Rosheim;0
246700777;CC de la Vallée de Villé;0
246700843;CC de la Basse-Zorn;0
246700926;CC du Pays de Wissembourg;0
246700959;CC du Pays de la Zorn;0
246700967;CC de Sélestat;0
246701064;CC de la Région de Molsheim-Mutzig;1
246701080;CC du Pays de Sainte-Odile;0
246701098;CC du Pays de Niederbronn-les-Bains;0
246800205;CC de la Vallée de Saint-Amarin;0
246800395;CC du Val d'Argent;0
246800445;CC du Centre du Haut-Rhin;0
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;0
246800551;CC de la Vallée de Kaysersberg;0
246800569;CC de la Région de Guebwiller;0
246800577;CC du Pays de Ribeauvillé;0
246800585;CC de la Vallée de Munster;0
246800676;CC de la Vallée de la Doller et du Soultzbach;0
246800726;CA Colmar Agglomération;0
246900575;CC de l'Est Lyonnais (CCEL);2
246900625;CC du Pays de l'Arbresle (CCPA);0
246900724;CC des Vallons du Lyonnais (CCVL);0
246900740;CC du Pays Mornantais (COPAMO);0
246900757;CC de la Vallée du Garon (CCVG);0
246900765;CC du Pays de l'Ozon;3
247000011;CA de Vesoul;1
247000367;CC des Combes;0
247000623;CC des Quatre Rivières;0
247000664;CC du Pays de Lure;1
247000698;CC des Monts de Gy;0
247000706;CC du Pays Riolais;0
247000714;CC du Pays de Villersexel;0
247000722;CC du Pays d'Héricourt;0
247000755;CC du Pays de Luxeuil;0
247000821;CC Rahin et Chérimont;0
247000854;CC des 1000 étangs;0
247100290;CU Le Creusot Montceau-les-Mines;6
247100589;CA Le Grand Chalon;7
247100639;CC de Marcigny;0
247100647;CC Bresse Nord Intercom';0
247103765;CC Entre Saône et Grosne;1
247103864;CC de Semur en Brionnais;0
247104094;CC Sud Côte Chalonnaise;0
247200090;CC du Pays Sabolien;1
247200132;CU Le Mans Métropole;3
247200348;CC du Pays Fléchois;0
247200421;CC du Sud Est Manceau;0
247200447;CC Orée de Bercé - Belinois;1
247200629;CC du Val de Sarthe;1
247200686;Communauté de communes du Perche Emeraude;0
247300015;CC des Vallées d'Aigueblanche;0
247300254;CC de Haute-Tarentaise;0
247300262;CC de Yenne;0
247300361;CC du Canton de La Chambre;2
247300452;CC Maurienne Galibier;0
247300528;CC Val Guiers;0
247300668;CC du Lac d'Aiguebelette (CCLA);0
247300676;CC Porte de Maurienne;1
247300817;CC Les Versants d'Aime;0
247400047;CC de la Vallée Verte;0
247400112;CC du Pays de Cruseilles;0
247400567;CC Fier et Usses;0
247400583;CC Arve et Salève;0
247400617;CC des Vallées de Thônes;0
247400666;CC des Quatre Rivières;0
247400682;CC du Haut Chablais;0
247400690;CC du Genevois;0
247400724;CC du Pays Rochois;1
247400740;CC Rumilly Terre de Savoie;0
247400773;CC des Sources du Lac d'Annecy;0
247600505;CC Campagne-de-Caux;0
247600588;CC des Villes Soeurs;1
247600604;CC de Londinières;0
247600620;CC Yvetot Normandie;0
247600646;CC Caux - Austreberthe;0
247600729;CC Falaises du Talou;0
247600786;CA de la Région Dieppoise;0
247700032;CC Moret Seine et Loing;1
247700057;CA Melun Val de Seine;1
247700065;CC du Pays de l'Ourcq;1
247700107;CC Pays de Montereau;5
247700339;CA Val d'Europe Agglomération;1
247700594;CA Marne et Gondoire;0
247700644;CC l'Orée de la Brie;1
247700701;CC Brie Nangissienne;3
247800550;CC du Pays Houdanais (CCPH);0
247800584;CA Versailles Grand Parc (CAVGP);0
247800618;CC Coeur d'Yvelines;1
247900798;CC du Thouarsais;0
248000499;CC du Val de Somme;2
248000531;CA Amiens Métropole;7
248000747;CC du Pays du Coquelicot;0
248100158;CC du Sor et de l'Agout;0
248100430;CA de Castres Mazamet;2
248100497;CC Val 81;0
248100737;CA de l'Albigeois (C2A);0
248100745;CC Thoré Montagne Noire;0
248200016;CC des Deux Rives;0
248200057;CC du Quercy Caussadais;0
248200065;CC de la Lomagne Tarn-et-Garonnaise;0
248200099;CA Grand Montauban;0
248200107;Quercy Rouergue et des Gorges de l'Aveyron;0
248300394;CA Sud Sainte Baume;1
248300410;CC de la Vallée du Gapeau;0
248300493;Dracénie Provence Verdon Agglomération;2
248300543;Métropole Toulon-Provence-Méditerranée;2
248300550;CC Coeur du Var;0
248400053;CA Ventoux-Comtat-Venaissin (COVE);0
248400160;CC Aygues-Ouvèze en Provence (CCAOP);0
248400236;Pays d'Orange en Provence;0
248400251;CA du Grand Avignon (COGA);3
248400285;Communauté de Communes Sud Luberon;0
248400293;CA des Sorgues du Comtat;2
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;1
248400335;CC Vaison Ventoux;1
248500191;CC de l'Ile de Noirmoutier;0
248500258;CC Océan Marais de Monts;0
248500340;CC Pays de Chantonnay;0
248500415;CC du Pays de la Châtaigneraie;0
248500464;CC du Pays de Pouzauges;0
248500530;CC du Pays des Achards;0
248500563;CC Vendée, Sèvre, Autise;0
248500589;CA La Roche-sur-Yon - Agglomération;2
248500621;CC du Pays des Herbiers;0
248500662;CC du Pays de Mortagne;0
248600413;CA Grand Châtellerault;0
248600447;CC du Pays Loudunais;1
248700189;CC du Pays de Saint Yrieix;0
248719262;CC Gartempe - Saint Pardoux;0
248719288;CC du Val de Vienne;0
248719312;CU Limoges Métropole;1
248719338;CC Briance-Combade;0
248719353;CC des Portes de Vassivière;0
248719361;CC de Noblat;0
248900334;CA du Grand Sénonais;4
248900383;CC de l'Agglomération Migennoise;0
248900524;CC de l'Aillantais en Bourgogne;0
248900664;CC de la Vanne et du Pays d'Othe;1
248900748;CC du Gâtinais en Bourgogne;1
248900896;CC Yonne Nord;1
248900938;CC du Jovinien;2
249000241;CC du Sud Territoire;1
249100074;CC du Pays de Limours (CCPL);0
249100157;CC des 2 Vallées;0
249100546;CC du Val d'Essonne (CCVE);6
249100553;CC Entre Juine et Renarde (CCEJR);0
249100595;CC le Dourdannais en Hurepoix (CCDH);1
249500109;CA de Cergy-Pontoise;7
249500430;CC Sausseron Impressionnistes;0
249500455;CC de la Vallée de l'Oise et des Trois Forêts;0
249500489;CC du Haut Val d'Oise;0
249500513;CC du Vexin-Val de Seine;1
249710047;CC de Marie-Galante;0
249710062;CA du Nord Basse-Terre;0
249710070;CA Grand Sud Caraïbe;0
249720053;CA de l'Espace Sud de la Martinique;2
249720061;CA du Centre de la Martinique;3
249730037;CC de l'Ouest Guyanais;0
249730045;CA du Centre Littoral;3
249730052;CC de l'Est Guyanais;0
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);0
249740085;CA du Sud;0
249740093;CA Intercommunale de la Réunion Est (CIREST);1
249740101;CA Territoire de la Côte Ouest (TCO);4
249740119;CA Intercommunale du Nord de la Réunion (CINOR);1
75056;Paris;0
