Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200040566;CA de l'Ouest Rhodanien;1.8
200040574;CC Beaujolais Pierres Dorées;-11.6
200040590;CA Villefranche Beaujolais Saône;-0.2
200040624;CC Pays d'Apt-Luberon;10.4
200040657;CC de la Matheysine;3
200040681;CC Enclave des Papes - Pays de Grignan;-3.2
200040715;Grenoble-Alpes-Métropole;-12.4
200040764;CC du Sud Corse;-3.7
200040772;CC du Perche et Haut Vendômois;-4.7
200040798;CC Val Vanoise;12.7
200040814;CC Briance Sud Haute Vienne;-4
200040830;CC du Pays de Fénelon;-11.6
200040889;CC de Portes Sud Périgord;-1.7
200040905;CC Carmausin-Ségala;-1.9
200040947;CA Coeur de Flandre;2
200040954;CC des Hauts de Flandre;-0.4
200041010;CC Coeur de Savoie;6.3
200041051;CC Vallée de la Dordogne et Forêt Bessède;-0.8
200041150;CC Terrassonnais Haut Périgord Noir;-5.4
200041168;CC de la Vallée de l'Homme;-13.9
200041283;CC de la Plaine du Rhin;-2.6
200041317;CA du Niortais;-0.7
200041325;CC du Pays Rhénan;-4.8
200041333;CC de Parthenay-Gâtine;0.9
200041366;CC Rhône Crussol;-4.9
200041416;CC Airvaudais-Val du Thouet;-0.8
200041440;CC de Domme- Villefranche du Périgord;-2.9
200041465;CC Val Eyrieux;-7.9
200041499;CC Aunis Atlantique;1.7
200041507;CA La Riviéra du Levant;16
200041515;CC du Bassin de Pont-à-Mousson;2.2
200041523;CC de la Haute Saintonge;-2.9
200041556;CC Portes de la Creuse en Marche;-3.7
200041572;CC Dronne et Belle;-4.9
200041614;CC Aunis Sud;-1.3
200041622;CC Ardennes Thiérache;1.7
200041630;Ardenne Métropole;-3.1
200041689;Vals de Saintonge Communauté;-1.5
200041721;CC de la Haute Comté;-5.6
200041762;CA Rochefort Océan;-1.3
200041788;CA du Pays Nord Martinique;-14.6
200041853;CC du Pays de Montbozon et du Chanois;0.5
200041861;CC du Triangle Vert;3.2
200041879;CC Terres de Saône;2
200041887;CC du Val Marnaysien;-2.3
200041960;CC Pévèle-Carembault;-2
200041994;CC Haut Val de Sèvre;0.3
200042000;CC Bruyères-Vallons des Vosges;-1.6
200042174;CA Lorient Agglomération;0.5
200042182;CC du Mont des Avaloirs;-1.5
200042190;CA de la Porte du Hainaut;-1.5
200042372;CC des Coteaux Arrats Gimone;0.4
200042414;CC Bresse Revermont 71;4.6
200042463;CC de la Montagne Noire;11.5
200042497;CC Dombes Saône Vallée;-11.4
200042604;CC de Granville, Terre et Mer;-1.7
200042620;CC de la Région de Suippes;1.2
200042646;CC Grand Orb Communauté de Communes en Languedoc;1
200042653;CC Sud-Hérault;-7
200042703;CC de l'Argonne Champenoise;3.7
200042729;CC de la Baie du Cotentin;2.4
200042901;CC Drôme Sud Provence;-4.9
200042935;CA Haut-Bugey Agglomération;-0.9
200042943;CC du Cap Corse;-19.9
200042992;CC Perthois-Bocage et Der;-4.5
200043016;CC Val de Charente;-1.2
200043065;CC du Val d'Amboise;3.1
200043081;CC Chinon, Vienne et Loire;-2.2
200043123;CC Auray Quiberon Terre Atlantique;1.9
200043156;CC du Pays Rethélois;1.6
200043172;CA du Bassin de Brive;-2.8
200043263;CC Coeur de l'Avesnois;0.2
200043321;CC du Pays de Mormal;1.7
200043354;CC de Villedieu Intercom;-0.5
200043396;CA Maubeuge Val de Sambre;-0.4
200043404;CC du Sud Avesnois;2.8
200043438;CC de la Moivre à la Coole;-1.3
200043495;CA du Pays de Laon;-1.3
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;1.6
200043628;CC des Vallées du Clain;0.1
200043693;CC Terre Lorraine du Longuyonnais;3.8
200043776;CC Pyrénées audoises;-2.1
200043974;CC du Sud Gironde;-7.5
200043982;CC du Bazadais;-3.9
200043990;CC Vallons de Haute-Bretagne Communauté;-1.6
200044014;CC Creuse Grand Sud;-0.9
200044030;CC des 7 Vallées;0.2
200044048;CC Osartis Marquion;0.2
200044253;CC du Bassin de Joinville en Champagne;0.9
200044394;CC du Réolais en Sud Gironde;-3.2
200044469;CC du Pays de Mirepoix;9.2
200044618;CA Douaisis Agglo;5.3
200044691;CA du Nord Grande Terre;1
200046977;Métropole de Lyon;1.2
200048551;CC du Pays de Craon;-2.7
200049187;CA du Grand Verdun;-3.8
200049211;CC Conflent-Canigó;-24.9
200049484;CC Berry Grand Sud;0.7
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;-7.2
200055481;CC Beauce Val de Loire;2.1
200055655;CA Roissy Pays de France;-11.7
200055887;CC Mayenne Communauté;-3.4
200056232;CA Communauté Paris-Saclay;-5.6
200056380;CA Plaine Vallée;-20.6
200057859;CA Coeur d'Essonne Agglomération;-11.3
200057867;Plaine Commune;-13.3
200057875;Est Ensemble;-100
200057941;#ParisEstMarne&Bois;-100
200057958;CA Paris - Vallée de la Marne;48.4
200057966;Vallée Sud-Grand Paris;N/A - résultat non disponible
200057974;Grand Paris Seine Ouest;-62.5
200057982;Paris Ouest La Défense;-50
200057990;Boucle Nord de Seine;162.5
200058006;Grand Paris Sud Est Avenir;7.5
200058014;Grand-Orly Seine Bièvre;-22.6
200058097;Paris Terres d'Envol;-45.6
200058360;CC Entre Beauce et Perche;0.4
200058477;CA Val d'Yerres Val de Seine;4.5
200058485;CA Val Parisis;2.1
200058519;CA Saint Germain Boucles de Seine;-24.7
200058782;CA de Saint Quentin en Yvelines;-26.9
200058790;Grand Paris Grand Est;4.1
200059228;CA Grand Paris Sud Seine Essonne Sénart;2.1
200059392;CC Bièvre Isère;-1
200059400;CC Porte Océane du Limousin;-6.5
