Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200066710;CC Cingal-Suisse Normande;23.3
200066728;CC Vallées de l'Orne et de l'Odon;27.2
200066744;CC Haute-Corrèze Communauté;24.4
200066751;CC Xaintrie Val'Dordogne;21.4
200066769;CC Midi Corrézien;27.7
200066777;Ploërmel Communauté;28.6
200066785;CC de l'Oust à Brocéliande;29.2
200066793;CA du Grand Annecy;31.3
200066801;CC Isigny-Omaha Intercom;16.8
200066819;CC du Volvestre;24.3
200066827;CC du Pays de Honfleur-Beuzeville;21.6
200066835;CC de Sézanne-Sud Ouest Marnais;18.7
200066850;CC des Paysages de la Champagne;15.4
200066868;CC Presqu'île de Crozon-Aulne maritime;21.7
200066876;CA de Châlons-en-Champagne;21.8
200066884;CC Quercy Vert-Aveyron;23.2
200066892;CC de Vendeuvre-Soulaines;15.3
200066918;CA Alès Agglomération;20.2
200066926;CA Grand Auch Coeur de Gascogne;31.6
200066975;CC Senlis Sud Oise;32.5
200067023;CC Coutances Mer et Bocage;24.5
200067031;CC Côte Ouest Centre Manche;21.1
200067049;CC Spelunca-Liamone;14.8
200067064;CC Decazeville Communauté;19.6
200067072;CC Haut-Léon Communauté;27.9
200067080;CC Chablis Villages et Terroirs;19.9
200067106;CA du Pays Basque;28.9
200067114;CA de l'Auxerrois;22.7
200067122;CC du Pays de Lafrançaise;24.6
200067130;CC de Puisaye-Forterre;16.2
200067155;CC Saint Affricain, Roquefort, Sept Vallons;26.9
200067163;CC Monts, Rance et Rougier;21.6
200067171;CC Aubrac Carladez Viadène;26.2
200067189;CC Creuse Sud Ouest;18.5
200067197;CC Monts d'Arrée Communauté;14
200067205;CA du Cotentin;24.3
200067213;CU du Grand Reims;20.1
200067239;CC des Luys en Béarn;35
200067247;CC Pleyben-Châteaulin-Porzay;20.3
200067254;CA Pau Béarn Pyrénées;29.4
200067262;CC du Haut Béarn;28.9
200067288;CC du Béarn des Gaves;20.8
200067296;CC du Nord Est Béarn;33.2
200067304;CC Serein et Armance;17.2
200067320;CC Serre-Ponçon Val d'Avance;24.3
200067346;CA Pornic Agglo Pays de Retz;31
200067361;CC Grand-Figeac;25
200067379;CC Côtes de Champagne et Val de Saulx;20.5
200067429;CC Haut Nivernais - Val d'Yonne;16.1
200067437;CA Provence-Alpes-Agglomération;24.4
200067445;CC Buëch-Dévoluy;26.2
200067452;CC du Guillestrois et du Queyras;32.1
200067460;CC Loudéac Communauté - Bretagne Centre;22.2
200067478;CC Comtal Lot et Truyère;34.4
200067486;CC Bouzonvillois-Trois Frontières;18.8
200067502;CA Saint-Avold Synergie;19.5
200067544;CC Creuse Confluence;23.3
200067551;CA Thonon Agglomération;26.5
200067593;CC Marche et Combraille en Aquitaine;19
