Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des logements vacants 2022
200071116;CA ECLA (Espace Communautaire Lons Agglomération);9.3
200071140;CA Moulins Communauté;10.6
200071165;CA Les Sables d'Olonne Agglomération;3.5
200071173;CC du Pays Arnay Liernais;13.9
200071181;CC Somme Sud-Ouest;9.2
200071199;CC Plaine Limagne;10.6
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;13.3
200071215;CC Chavanon Combrailles et Volcans;14.9
200071223;CC Nièvre et Somme;8.1
200071298;CC des Terres du Lauragais;7
200071314;CC des Hauts-Tolosans;7.1
200071363;CA Vichy Communauté;14.6
200071371;CC Bresse et Saône;7.6
200071389;CC Saint-Pourçain Sioule Limagne;12.1
200071405;CC Ardèche Rhône Coiron;10.7
200071413;CA Privas Centre Ardèche;10.3
200071454;CA Evreux Portes de Normandie;7.9
200071470;CC Entr'Allier Besbre et Loire;15
200071496;CC du Bocage Bourbonnais;14.4
200071504;CC des Collines du Perche Normand;10.9
200071512;CC Commentry Montmarault Néris Communauté;16.3
200071520;CC Domfront Tinchebray Interco;13.8
200071538;CC Terres de Bresse;7.9
200071546;CC Sud Retz Atlantique;7.4
200071553;CC Loire Layon Aubance;6.1
200071579;CC Bresse Louhannaise Intercom';8.9
200071587;CC Loches Sud Touraine;10.9
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;11.5
200071629;CC Challans-Gois Communauté;6.3
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;11.3
200071652;CC du Pays Fertois et du Bocage Carrougien;12
200071678;CA Cholet Agglomération;5.4
200071751;CA du Bassin de Bourg-en-Bresse;7.8
200071769;CC Picardie des Châteaux;9.1
200071777;CC d'Arcis, Mailly, Ramerupt;11.3
200071785;CA Chauny Tergnier La Fère;10.2
200071819;CC du Périgord Nontronnais;11.2
200071827;CA du Grand Angoulême;7.8
200071843;CC du Vexin Normand;6.5
200071850;CC du Pithiverais-Gâtinais;9
200071868;CC des Vallées du Haut-Anjou;5.9
200071876;CA Saumur Val de Loire;9
200071884;CC Le Grand Charolais;11.8
200071892;CA du Saint-Quentinois;11.6
200071900;CC Vendée Grand Littoral;4.3
200071918;CC du Pays de Saint-Fulgent - Les Essarts;5.9
200071926;CC du Limouxin;10.1
200071934;CC du Pays de Fontenay-Vendée;9.4
200071942;CC Haut Limousin en Marche;15.7
200071967;CC Pays d'Evian Vallée d'Abondance;6
200071983;CC Thiérache Sambre et Oise;12.9
200071991;CC Retz en Valois;8
200072007;CC Montagne d'Ardèche;5.6
200072015;CA Annonay Rhône Agglo;10.5
200072023;CC Coeur de Charente;11.5
200072031;CA de la Région de Château-Thierry;9.5
200072049;CC de Charente Limousine;15.2
200072056;CC Porte du Jura;9.6
200072064;CC Val-de-Cher-Controis;10.8
200072072;CA Territoires Vendômois;10.9
200072080;CC du Pays de Saint-Eloy;15.9
200072098;CC Combrailles Sioule et Morge;11.7
200072106;CC Adour Madiran;10.5
200072130;CA du Pays de Meaux;6.5
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;4.3
200072312;CA Seine Normandie Agglomération;8.4
200072320;CC Val de Gers;9.7
200072346;CA du Pays de Fontainebleau;8.3
200072452;CA Fougères Agglomération;7.7
200072460;CA de Béthune-Bruay, Artois-Lys Romane;7.8
200072478;CC Pays d'Opale;6.1
200072544;CC des Deux Morin;9.6
200072635;CC Pyrénées Haut Garonnaises;6.7
200072643;CC Coeur et Coteaux du Comminges;12.4
200072650;CC Touraine Vallée de l'Indre;5.9
200072668;CC Touraine Val de Vienne;10.2
200072676;CC Maine Saosnois;11.8
200072684;CC Le Gesnois Bilurien;7.6
200072692;CC des Vallées de la Braye et de l'Anille;13.5
200072700;CC Haute Sarthe Alpes Mancelles;11.4
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;10.5
200072726;CC Châteaubriant-Derval;10.3
200072734;CC Estuaire et Sillon;5.8
200072825;CC Mirebellois et Fontenois;6.9
200072874;CC Val Briard;5.9
200072882;CC de Vie et Boulogne;4.8
200072981;CC Touraine Ouest Val de Loire;9.9
200072999;CC du Grand Langres;11.2
200073013;CC Carnelle Pays-de-France;5.3
200073096;CA Arche Agglo;7.7
200073104;CC de l'Ile-Rousse - Balagne;1.5
200073112;CC Sud Sarthe;10.1
200073120;CC Nebbiu - Conca d'Oro;2.1
200073138;CC Pasquale Paoli;2
200073146;CC Cagire Garonne Salat;9.3
200073161;CC Touraine-Est Vallées;5.3
200073237;CC de Gâtine-Racan;6.9
200073245;CC du Bassin d'Aubenas;10.8
200073252;CC de la Castagniccia-Casinca;6.1
200073260;CC Sud Vendée Littoral;5.5
200073344;CA Rambouillet Territoires;6.3
200073393;CC des Rives du Haut Allier;16.8
200073401;CC Mézenc-Loire-Meygal;12.2
200073419;CA du Puy-en-Velay;11.8
200073427;CC Marches du Velay-Rochebaron;9.6
200077014;CA Vienne Condrieu;7.5
200083392;CA Laval Agglomération;6.8
200084952;Le Havre Seine Métropole;8.8
200085728;CC Brioude Sud Auvergne;15.2
200085751;CC Entre Bièvre et Rhône;8.9
200089456;CA Seine-Eure;6.8
200090504;CA Coulommiers Pays de Brie;8.5
200090561;CC Vierzon-Sologne-Berry;13.7
200090579;CC Terre d'Émeraude Communauté;9.1
200090751;CA Grand Calais Terres et Mers;8.5
200093201;Métropole Européenne de Lille;6.5
200096634;CC des Hautes Vosges;6.2
200096642;CC Gérardmer Hautes Vosges;5.9
200096675;CC Baud Communauté;9.4
200096683;CC Centre Morbihan Communauté;9.6
200096956;CA Agglomération d'Agen;10.5
240100610;CC de la Côtière à Montluel;5.8
240100750;CA du Pays de Gex;6.4
240100800;CC de Miribel et du Plateau;6.8
240100883;CC de la Plaine de l'Ain;7.9
240100891;CC Terre Valserhône (CCTV);11.8
240200444;CC de la Thiérache du Centre;12.1
240200469;CC du Pays de la Serre;10.3
240200477;GrandSoissons Agglomération;7.5
240200493;CC du Pays du Vermandois;10.1
240200501;CC du Val de l'Aisne;7.6
240200519;CC du Canton d'Oulchy-le-Château;9
240200576;CC de la Champagne Picarde;9.8
240200584;CC du Canton de Charly-sur-Marne;10.2
240200592;CC du Chemin des Dames;7.5
240200600;CC des Trois Rivières;12.1
240200634;CC des Portes de la Thiérache;12.7
240300491;CC du Pays de Lapalisse;13.2
240300558;CC du Pays de Tronçais;14.4
240300566;CC du Val de Cher;12.1
240300657;CC du Pays d'Huriel;19.7
240400440;CC Pays Forcalquier et Montagne de Lure;9.9
240500439;CC du Briançonnais;4.8
240500462;CC du Pays des Ecrins;4.4
240600551;CA de la Riviera Française;5.9
240600585;CA de Sophia Antipolis;5.9
240600593;CC du Pays des Paillons;9.4
240700302;CC du Pays Beaume-Drobie;5.2
240700617;CC Val de Ligne;10.1
240700716;CC du Val d'Ay;9.9
240700815;CC Berg et Coiron;9.5
240700864;CC du Rhône aux Gorges de l'Ardèche;11.4
240800821;CC Ardenne, Rives de Meuse;14.6
240800847;CC des Portes du Luxembourg;11.9
240800862;CC des Crêtes Préardennaises;10.9
240800920;CC de l'Argonne Ardennaise;14
240900431;CC du Pays de Tarascon;7.2
240900464;CC du Pays d'Olmes;9.9
241000223;CC Forêts, Lacs, Terres en Champagne;8.2
241000405;CC de la Région de Bar sur Aube;13.7
241000447;CC du Pays d'Othe;10.6
241000488;CC de l'Orvin et de l'Ardusson;8.2
241100593;CA Le Grand Narbonne;5.4
241200187;CA Rodez Agglomération;9
241200542;CC du Réquistanais;10.7
241200567;CC de Millau Grands Causses;9.3
241200625;CC du Pays Rignacois;11.9
241200641;CC Conques-Marcillac;8.9
241200658;CC du Pays de Salars;9.1
241200674;CC du Plateau de Montbazens;11.4
241200765;CC de Lévézou Pareloup;8.7
241200807;CC Aveyron Bas Ségala Viaur;11.9
241200906;CC Larzac et Vallées;7.8
241200914;CC de la Muse et des Raspes du Tarn;8
241300375;CC Vallée des Baux-Alpilles (CC VBA);7.3
241300417;CA d'Arles-Crau-Camargue-Montagnette;9.7
241400415;CC Coeur Côte Fleurie;2.7
241400514;CC du Pays de Falaise;10.2
241400555;CC de Bayeux Intercom;7.4
241400860;CC Coeur de Nacre;4.2
241400878;CC Terre d'Auge;5.9
241500230;Aurillac Agglomération;10.3
241500255;CC du Pays Gentiane;14
241500271;CC du Pays de Mauriac;14.7
241501055;CC Sumène - Artense;11.5
241501089;CC Cère et Goul en Carladès;10.3
241501139;CC du Pays de Salers;9.7
241600303;CC du Rouillacais;10.5
241700434;CA de La Rochelle;5.9
241700459;CC de l'Ile de Ré;2.2
241700517;CC Coeur de Saintonge;8
241700624;CC de l'Ile d'Oléron;2.5
241700632;CC de Gémozac et de la Saintonge Viticole;8.6
241700640;CA Royan Atlantique;4.2
241700699;CC du Bassin de Marennes;7.7
241800374;CC la Septaine;10.7
241800424;CC le Dunois;14.6
241800432;CC les Trois Provinces;15.5
241800457;CC FerCher;10.7
241800507;CA Bourges Plus;10.4
241900133;CC de Ventadour - Egletons - Monédières;11.8
241927201;CA Tulle Agglo;11.1
241927243;CC du Pays d'Uzerche;13.3
242000354;CA de Bastia;2.2
242000495;CC de l'Alta Rocca;3.9
242000503;CC Celavu-Prunelli;1.7
242010056;CA du Pays Ajaccien;3.5
242010130;CC du Sartenais Valinco Taravo;6
242020071;CC du Centre Corse;3.7
242020105;CC de Calvi Balagne;2.6
242100154;CC des Vallées de la Tille et de l'Ignon;7.5
242100410;Dijon Métropole;6.6
242101434;CC du Pays Châtillonnais;14.5
242101442;CC de Saulieu-Morvan;17.9
242101459;CC du Pays d'Alésia et de la Seine;12.3
242101491;CC du Montbardois;15
242101509;CC Rives de Saône;8.2
242200715;CC du Kreiz-Breizh (CCKB);14.1
242300135;CC du Pays Sostranien;14
242320000;CC de Bénévent Grand Bourg;14.6
242320109;CC du Pays Dunois;15.9
242400752;CC Périgord-Limousin;11.5
242400935;CC du Pays de Saint Aulaye;11.1
242401024;CC Isle-Loue-Auvézère en Périgord;12.5
242500320;CC Entre Doubs et Loue;6.7
242500338;CC du Grand Pontarlier;6.4
242500361;CU Grand Besançon Métropole;8.3
242504116;CC du Val de Morteau;8.4
242504181;CC des Portes du Haut-Doubs;7.6
242504355;CC du Plateau de Russey;8.3
242504371;CC du Pays de Sancey-Belleherbe;10.7
242504447;CC du Doubs Baumois;10
242504488;CC Altitude 800;8
242504496;CC du Plateau de Frasne et du Val de Drugeon;7.8
242600252;CC du Val de Drôme en Biovallée;6.8
242600492;CC Dieulefit-Bourdeaux;8.1
242600534;CC du Diois;7.7
242700276;CC du Pays de Conches;6.7
242700607;CC du Pays du Neubourg;5.6
242852465;CC du Bonnevalais;11.3
242900074;CC du Pays d'Iroise;3.7
242900314;Brest Métropole;5.7
242900553;CC du Pays des Abers;5.6
242900561;CC de Haute Cornouaille;10.8
242900629;CC Cap Sizun - Pointe du Raz;5.9
242900645;CC Douarnenez Communauté;8.7
242900660;CC du Pays Fouesnantais;5.2
242900694;CA Quimperlé Communauté;7.8
242900702;CC du Pays Bigouden Sud;5.1
242900710;CC du Haut Pays Bigouden;8.1
242900744;CC Poher Communauté;10.7
242900751;CC du Pays de Landivisiau;9
242900769;CA Concarneau Cornouaille Agglomération;7.1
242900793;CC Communauté Lesneven Côte des Légendes;7.1
242900801;CA du Pays de Landerneau-Daoulas;5.5
242900835;CA Morlaix Communauté;8.4
243000270;CC du Pays Viganais;9.6
243000296;CC du Pays de Sommières;7.5
243000569;CC Rhony, Vistre, Vidourle;6.7
243000585;CC Beaucaire Terre d'Argence;7.6
243000593;CC de Petite Camargue;6.3
243000643;CA de Nîmes Métropole;8.9
243000650;CC Terre de Camargue;2.1
243000684;CC du Pont du Gard;9.2
243100518;Toulouse Métropole;7.1
243100567;CC Aux sources du Canal du Midi;8.8
243100633;CA du Sicoval;5.2
243100732;CC des Coteaux du Girou;5.6
243100773;CC Val'Aïgo;9.4
243100781;Le Grand Ouest Toulousain agglomération;5.2
243100815;CC des Coteaux Bellevue;5.1
243200391;CC de la Lomagne Gersoise;9.9
243200409;CC du Bas Armagnac;11.2
243200417;CC de la Tenarèze;13.1
243200425;CC Coeur d'Astarac en Gascogne;13.6
243200458;CC du Grand Armagnac;10.5
243200508;CC Bastides et Vallons du Gers;11.5
243200599;CC du Saves;8
243200607;CC Artagnan de Fezensac;12
243300316;Bordeaux Métropole;5.5
243300563;CA Bassin d'Arcachon Sud (COBAS);3.6
243300811;CC de l'Estuaire;12
243301165;CC Jalle-Eau-Bourde;2.7
243301181;CC Latitude Nord Gironde;7.5
243301215;CC du Créonnais;5.5
243301223;CC du Grand Cubzaguais;6.9
243301249;CC Les Rives de la Laurence;4.7
243301264;CC de Montesquieu;4.7
243301355;CC les Coteaux Bordelais;4.9
243301371;CC du Pays Foyen;14
243301389;CC Médullienne;6
243301397;CC du Fronsadais;7.1
243301405;CC du Val de l'Eyre;6.6
243301439;CC des Portes de l'Entre-Deux-Mers;6.2
243301447;CC Médoc Estuaire;5.5
243301454;CC Castillon/Pujols;12.2
243301504;CA du Bassin d'Arcachon Nord (COBAN);4.2
243400017;Montpellier Méditerranée Métropole;6.5
243400355;CC du Clermontais;9.3
243400470;CA du Pays de l'Or;3.5
243400488;CC la Domitienne;8.1
243400520;CA Lunel Agglo;6.5
243400694;CC Vallée de l'Hérault;9.2
243400736;CC des Cévennes Gangeoises et Suménoises;10.5
243400769;CA de Béziers-Méditerranée;11.7
243400819;CA Hérault-Méditerranée;4.4
243500139;Rennes Métropole;5.5
243500550;CC Montfort Communauté;5.5
243500618;CC Brocéliande Communauté;7.2
243500634;Roche aux Fées Communauté;7.8
243500659;CC Pays de Châteaugiron Communauté;4.4
243500667;CC Val d'Ille-Aubigné;5.1
243500725;CC Côte d'Emeraude;4.3
243500733;CC Bretagne Romantique;7.8
243500741;CA Redon Agglomération;10.5
243500774;CC Liffré-Cormier Communauté;6.1
243500782;CA du Pays de Saint Malo Agglomération;5
243600202;CC Chabris - Pays de Bazelle;15.3
243600236;CC du Pays d'Issoudun;15.4
243600293;CC Levroux Boischaut Champagne;15
243600301;CC Val de l'Indre - Brenne;12
243600319;CC Brenne - Val de Creuse;12.9
243600327;CA Châteauroux Métropole;11.1
243600343;CC Coeur de Brenne;12.9
243600350;CC de la Châtre et Sainte-Sévère;15.8
243700499;CC du Castelrenaudais;9.9
243700754;Tours Métropole Val de Loire;8.1
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;8
243800604;CA Porte de l'Isère (CAPI);5.9
243800745;CC de l'Oisans;3
243800935;CC Lyon-Saint-Exupéry en Dauphiné;4.8
243800984;CA du Pays Voironnais;8.4
243801024;CC du Massif du Vercors;2.7
243801073;CC de Bièvre Est;6
243801255;CC Collines Isère Nord Communauté;5.3
243900354;CC de la Station des Rousses-Haut Jura;5.3
243900420;CC du Val d'Amour;8.2
243900479;CC Haut-Jura Arcade Communauté;15.4
243900560;CC Jura Nord;8.6
243900610;CC la Grandvallière;7.4
243901089;CC de la Plaine Jurassienne;8.3
244000543;CC de Mimizan;3.3
244000659;CC du Seignanx;5.3
244000675;CA du Grand Dax;7.6
244000691;CC du Pays Morcenais;8.6
244000766;CC du Pays Tarusate;7.8
244000774;CC du Pays de Villeneuve en Armagnac Landais;9.5
244000808;CA Mont de Marsan Agglomération;6.9
244000824;CC du Pays Grenadois;8.8
244000857;CC Côte Landes Nature;4.5
244000865;CC Maremne Adour Côte Sud;3.7
244000873;CC des Grands Lacs;4.4
244000881;CC Coteaux et Vallées des Luys;9.5
244100293;CC des Collines du Perche;13.1
244100780;CC de la Sologne des Etangs;9.4
244100798;CC du Grand Chambord;8
244100806;CC de la Sologne des Rivières;16.9
244200614;CC des Vals d'Aix et Isable;15.6
244200622;CC des Monts du Pilat;9
244200630;CC du Pays Entre Loire et Rhône;11.6
244200770;Saint-Étienne Métropole;10.5
244200820;CC du Pays d'Urfé;12.2
244200895;CC du Pilat Rhodanien;10.1
244300307;CC Haut Pays du Velay;14.2
244301016;CC des Sucs;11.4
244301099;CC Auzon Communauté;15
244301107;CC du Haut Lignon;8.9
244301123;CC des Pays de Cayres et de Pradelles;10.3
244301131;CC Loire et Semène;9.4
244400404;Nantes Métropole;5.2
244400438;Grand Lieu Communauté;4.8
244400453;CC du Pays de Blain;6.7
244400503;CC d'Erdre et Gesvres;5.5
244400537;CC de Nozay;7.3
244400552;CC du Pays d'Ancenis;6.8
244400586;CC du Sud Estuaire;4.6
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);3.9
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);6.5
244500203;CA Montargoise et Rives du Loing (AME);9.8
244500211;CC Giennoises;13.6
244500419;CC des Quatre Vallées;8.6
244500427;CC des Loges;7.3
244500468;Orléans Métropole;7.6
244500484;CC de la Forêt;5.4
244500542;CC de la Plaine du Nord Loiret;9.7
244600433;CC de la Vallée du Lot et du Vignoble;8.5
244600482;CC Quercy - Bouriane;11.1
244600532;CC du Pays de Lalbenque-Limogne;7.1
244600573;CC du Causse de Labastide Murat;7.3
244700449;CC du Pays de Duras;10.4
244700464;CC du Pays de Lauzun;12.6
244701355;CC des Coteaux et Landes de Gascogne;10.6
244701405;CC Lot et Tolzac;12.7
244800405;CC Coeur de Lozère;6.6
244800470;CC du Gévaudan;16.4
244900015;CU Angers Loire Métropole;5.4
244900809;CC Anjou Bleu Communauté;8.2
244900882;CC Baugeois Vallée;7.9
245100615;CC de la Grande Vallée de la Marne;9
245100888;CC de la Brie Champenoise;10
245100979;CC du Sud Marnais;11.4
245200597;CC des Trois Forêts;11.1
245300223;CC du Pays de Meslay-Grez;8.7
245300355;CC de l'Ernée;10.6
245300389;CC du Bocage Mayennais;12.2
245300447;CC du Pays de Château-Gontier;7
245400171;CC Moselle et Madon;6.9
245400189;CC des Pays du Sel et du Vermois;8.3
245400262;Agglomération du Grand Longwy;8.3
245400510;CC du Pays de Colombey et du Sud Toulois;9.2
245400601;CC du Bassin de Pompey;7.2
245400676;Métropole du Grand Nancy;9.4
245400759;CC du Pays du Sanon;7.8
245500327;CC du Sammiellois;13.1
245501176;CC du Territoire de Fresnes-en-Woëvre;9.7
245501184;CC du Pays de Revigny-sur-Ornain;10.3
245501242;CC du Pays d'Étain;9.9
245501259;CC du Pays de Montmédy;14.6
245600440;CC Blavet Bellevue Océan;5.3
245600465;CC de Belle Ile en Mer;2.1
245614383;CC Questembert Communauté;6.5
245614417;CC Roi Morvan Communauté;13.2
245614433;CC Pontivy Communauté;9.5
245700133;CC du District Urbain de Faulquemont (DUF);7.4
245700372;CA de Forbach Porte de France;11.3
245700398;CC de Freyming-Merlebach;11.9
245700695;CC de Cattenom et Environs;6.8
245700950;CC du Pays de Phalsbourg;9.7
245701164;CC du Warndt;10.6
245701206;CC du Saulnois;11.7
245701222;CA du Val de Fensch;9.1
245701271;CC du Pays Orne Moselle;8.5
245701354;CC de l'Arc Mosellan;5.3
245701362;CA Portes de France-Thionville;7.8
245701404;CC du Pays Haut Val d'Alzette;7.5
245801063;CC Loire et Allier;10.7
245804406;CA de Nevers;12.2
245804497;CC du Nivernais Bourbonnais;16.9
245900428;CU de Dunkerque;5.9
245900758;CC Flandre Lys;6.3
245901038;CC du Pays Solesmois;9.3
245901152;CA Coeur d'Ostrevent;6.7
245901160;CA Valenciennes Métropole;9.2
246000129;CC du Liancourtois;6.2
246000376;CC du Clermontois;5.2
246000566;CC du Plateau Picard;6.8
246000582;CC des Sablons;6.2
246000707;CC du Vexin-Thelle;5.9
246000749;CC des Lisières de l'Oise;7.8
246000756;CC du Pays Noyonnais;9.7
246000764;CC de l'Aire Cantilienne;6.4
246000772;CC des Deux Vallées;7
246000848;CC de la Picardie Verte;8.9
246000855;CC du Pays des Sources;7.9
246000871;CC du Pays de Valois;5.3
246000897;CC de la Plaine d'Estrées;5
246000913;CC du Pays de Bray;7
246000921;CC des Pays d'Oise et d'Halatte;5.8
246100390;CC du Val d'Orne;12.3
246100663;CU d'Alençon;8
246200299;CA d'Hénin-Carvin;7.2
246200364;CA de Lens - Liévin;7.1
246200380;CC de la Terre des Deux Caps;4.1
246200729;CA du Boulonnais;6.8
246200844;CC de la Région d'Audruicq;6
246201016;CC du Pays de Lumbres;6.1
246300701;Clermont Auvergne Métropole;8.5
246300966;CC du Massif du Sancy;7.8
246301097;CC Entre Dore et Allier;8.8
246400337;CC de la Vallée d'Ossau;6.8
246401756;CC Pays de Nay;7.6
246500482;CC de la Haute-Bigorre;8.7
246500573;CC Aure Louron;3.1
246600282;CC Sud-Roussillon;1.7
246600373;CC du Vallespir;11.3
246600399;CC Pyrénées Cerdagne;5.4
246600415;CC Roussillon-Conflent;11.4
246600423;CC Agly Fenouillèdes;17.3
246600449;CC des Aspres;8.2
246600464;CC Pyrénées Catalanes;2.5
246600548;CC du Haut Vallespir;8.8
246700306;CC de la Vallée de la Bruche;9.5
246700488;Eurométropole de Strasbourg;7.9
246700744;CC des Portes de Rosheim;7.7
246700777;CC de la Vallée de Villé;7.9
246700843;CC de la Basse-Zorn;7.5
246700926;CC du Pays de Wissembourg;10.2
246700959;CC du Pays de la Zorn;7.4
246700967;CC de Sélestat;8.1
246701064;CC de la Région de Molsheim-Mutzig;6.8
246701080;CC du Pays de Sainte-Odile;6.6
246701098;CC du Pays de Niederbronn-les-Bains;9.4
246800205;CC de la Vallée de Saint-Amarin;8.2
246800395;CC du Val d'Argent;15.8
246800445;CC du Centre du Haut-Rhin;6.8
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;10.4
246800551;CC de la Vallée de Kaysersberg;9.1
246800569;CC de la Région de Guebwiller;7.7
246800577;CC du Pays de Ribeauvillé;10.6
246800585;CC de la Vallée de Munster;8.7
246800676;CC de la Vallée de la Doller et du Soultzbach;9
246800726;CA Colmar Agglomération;6.4
246900575;CC de l'Est Lyonnais (CCEL);4.3
246900625;CC du Pays de l'Arbresle (CCPA);6.5
246900724;CC des Vallons du Lyonnais (CCVL);5.6
246900740;CC du Pays Mornantais (COPAMO);5.6
246900757;CC de la Vallée du Garon (CCVG);5.3
246900765;CC du Pays de l'Ozon;5.1
247000011;CA de Vesoul;7.1
247000367;CC des Combes;9.4
247000623;CC des Quatre Rivières;14.7
247000664;CC du Pays de Lure;8.5
247000698;CC des Monts de Gy;11.7
247000706;CC du Pays Riolais;6.6
247000714;CC du Pays de Villersexel;9.2
247000722;CC du Pays d'Héricourt;6.2
247000755;CC du Pays de Luxeuil;12.5
247000821;CC Rahin et Chérimont;10.4
247000854;CC des 1000 étangs;10.1
247100290;CU Le Creusot Montceau-les-Mines;12.1
247100589;CA Le Grand Chalon;7.3
247100639;CC de Marcigny;13.4
247100647;CC Bresse Nord Intercom';11.7
247103765;CC Entre Saône et Grosne;8.1
247103864;CC de Semur en Brionnais;10.6
247104094;CC Sud Côte Chalonnaise;10.3
247200090;CC du Pays Sabolien;8.9
247200132;CU Le Mans Métropole;8.6
247200348;CC du Pays Fléchois;7.5
247200421;CC du Sud Est Manceau;5.5
247200447;CC Orée de Bercé - Belinois;6.2
247200629;CC du Val de Sarthe;5.9
247200686;Communauté de communes du Perche Emeraude;9.3
247300015;CC des Vallées d'Aigueblanche;5
247300254;CC de Haute-Tarentaise;1.4
247300262;CC de Yenne;9
247300361;CC du Canton de La Chambre;6.4
247300452;CC Maurienne Galibier;4.6
247300528;CC Val Guiers;8.5
247300668;CC du Lac d'Aiguebelette (CCLA);6.6
247300676;CC Porte de Maurienne;9
247300817;CC Les Versants d'Aime;2.1
247400047;CC de la Vallée Verte;7.6
247400112;CC du Pays de Cruseilles;6
247400567;CC Fier et Usses;6.2
247400583;CC Arve et Salève;7.4
247400617;CC des Vallées de Thônes;3.1
247400666;CC des Quatre Rivières;7.9
247400682;CC du Haut Chablais;3
247400690;CC du Genevois;9.1
247400724;CC du Pays Rochois;9.2
247400740;CC Rumilly Terre de Savoie;5.6
247400773;CC des Sources du Lac d'Annecy;7.5
247600505;CC Campagne-de-Caux;4.9
247600588;CC des Villes Soeurs;7.7
247600604;CC de Londinières;8.6
247600620;CC Yvetot Normandie;6.5
247600646;CC Caux - Austreberthe;4.5
247600729;CC Falaises du Talou;6.6
247600786;CA de la Région Dieppoise;10.1
247700032;CC Moret Seine et Loing;8.2
247700057;CA Melun Val de Seine;7
247700065;CC du Pays de l'Ourcq;7.8
247700107;CC Pays de Montereau;7
247700339;CA Val d'Europe Agglomération;8.2
247700594;CA Marne et Gondoire;5.8
247700644;CC l'Orée de la Brie;5.2
247700701;CC Brie Nangissienne;6.7
247800550;CC du Pays Houdanais (CCPH);7.4
247800584;CA Versailles Grand Parc (CAVGP);7.2
247800618;CC Coeur d'Yvelines;5.9
247900798;CC du Thouarsais;10.6
248000499;CC du Val de Somme;7.5
248000531;CA Amiens Métropole;8.6
248000747;CC du Pays du Coquelicot;9.1
248100158;CC du Sor et de l'Agout;8.7
248100430;CA de Castres Mazamet;10.3
248100497;CC Val 81;11.1
248100737;CA de l'Albigeois (C2A);6.8
248100745;CC Thoré Montagne Noire;12.2
248200016;CC des Deux Rives;10.2
248200057;CC du Quercy Caussadais;10.6
248200065;CC de la Lomagne Tarn-et-Garonnaise;12.4
248200099;CA Grand Montauban;10.2
248200107;Quercy Rouergue et des Gorges de l'Aveyron;10
248300394;CA Sud Sainte Baume;3.5
248300410;CC de la Vallée du Gapeau;5.4
248300493;Dracénie Provence Verdon Agglomération;10.4
248300543;Métropole Toulon-Provence-Méditerranée;5
248300550;CC Coeur du Var;9.3
248400053;CA Ventoux-Comtat-Venaissin (COVE);8.8
248400160;CC Aygues-Ouvèze en Provence (CCAOP);7.7
248400236;Pays d'Orange en Provence;9.7
248400251;CA du Grand Avignon (COGA);11
248400285;Communauté de Communes Sud Luberon;9.5
248400293;CA des Sorgues du Comtat;7.2
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;6.3
248400335;CC Vaison Ventoux;10.6
248500191;CC de l'Ile de Noirmoutier;1.4
248500258;CC Océan Marais de Monts;3.6
248500340;CC Pays de Chantonnay;6.6
248500415;CC du Pays de la Châtaigneraie;8.7
248500464;CC du Pays de Pouzauges;7.5
248500530;CC du Pays des Achards;5.4
248500563;CC Vendée, Sèvre, Autise;8.6
248500589;CA La Roche-sur-Yon - Agglomération;5.6
248500621;CC du Pays des Herbiers;3.9
248500662;CC du Pays de Mortagne;4.9
248600413;CA Grand Châtellerault;10.4
248600447;CC du Pays Loudunais;12.5
248700189;CC du Pays de Saint Yrieix;12.4
248719262;CC Gartempe - Saint Pardoux;13
248719288;CC du Val de Vienne;8.4
248719312;CU Limoges Métropole;7.7
248719338;CC Briance-Combade;15.3
248719353;CC des Portes de Vassivière;10.9
248719361;CC de Noblat;11.2
248900334;CA du Grand Sénonais;9.7
248900383;CC de l'Agglomération Migennoise;12.3
248900524;CC de l'Aillantais en Bourgogne;10.1
248900664;CC de la Vanne et du Pays d'Othe;12.7
248900748;CC du Gâtinais en Bourgogne;7.9
248900896;CC Yonne Nord;9.4
248900938;CC du Jovinien;13.1
249000241;CC du Sud Territoire;9.9
249100074;CC du Pays de Limours (CCPL);5.9
249100157;CC des 2 Vallées;8.9
249100546;CC du Val d'Essonne (CCVE);6.3
249100553;CC Entre Juine et Renarde (CCEJR);5.9
249100595;CC le Dourdannais en Hurepoix (CCDH);6.9
249500109;CA de Cergy-Pontoise;6.2
249500430;CC Sausseron Impressionnistes;6.1
249500455;CC de la Vallée de l'Oise et des Trois Forêts;6.1
249500489;CC du Haut Val d'Oise;5.9
249500513;CC du Vexin-Val de Seine;8
249710047;CC de Marie-Galante;21.7
249710062;CA du Nord Basse-Terre;14
249710070;CA Grand Sud Caraïbe;17.9
249720053;CA de l'Espace Sud de la Martinique;13.3
