Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200059228;CA Grand Paris Sud Seine Essonne Sénart;19.3
200059392;CC Bièvre Isère;10
200059400;CC Porte Océane du Limousin;13.5
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;15.6
200060010;CA Mauges Communauté;7.8
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;10.8
200065589;CC Val ès Dunes;8.5
200065597;CU Caen la Mer;14.6
200065647;CA Pays de Montbéliard Agglomération;17.9
200065787;CC de Pont-Audemer / Val de Risle;13.3
200065886;Loire Forez Agglomération (LFA);10
200065894;CC de Forez-Est;9
200065928;CA Lannion-Trégor Communauté;11.3
200066009;CA Mulhouse Alsace Agglomération;20.1
200066017;CC Lieuvin Pays d'Auge;11.6
200066025;CC Alsace Rhin Brisach;6.4
200066033;CC Sud Alsace Largue;6.8
200066041;CC Sundgau;7.1
200066058;CA Saint-Louis Agglomération;10
200066108;CC des Portes de Meuse;11.4
200066116;CC Argonne-Meuse;15.6
200066124;CA Gaillac-Graulhet;15.2
200066132;CC du Pays de Stenay et du Val Dunois;19.6
200066140;CC de l'Aire à l'Argonne;10.7
200066157;CC de Commercy - Void - Vaucouleurs;15.7
200066165;CC Val de Meuse - Voie Sacrée;11.3
200066173;CC de Damvillers Spincourt;15.1
200066223;CC Arize Lèze;21.9
200066231;CC des Portes d'Ariège Pyrénées;16.7
200066280;CC du Pithiverais;12.8
200066322;CC Terres des Confluences;20.4
200066330;CC Terres du Haut Berry;9.5
200066348;CC du Minervois au Caroux;26.8
200066355;CA Sète Agglopôle Méditerranée;18.1
200066363;CC de la Haute Ariège;16.8
200066371;CC Causses et Vallée de la Dordogne;14.8
200066389;CA Saint-Lô Agglo;11.6
200066405;CC Roumois Seine;6.1
200066413;CC Intercom Bernay Terres de Normandie;13.2
200066462;CC Interco Normandie Sud Eure;13.9
200066512;CC Élan Limousin Avenir Nature;10.7
200066520;CC Ouest Limousin;18
200066553;CC du Haut-Languedoc;19.4
200066561;CC Sidobre Vals et Plateaux;15.6
200066587;CC des Monts du Lyonnais;8.7
200066603;CC du Pays de Lubersac-Pompadour;15.5
200066637;CC Hautes Terres;18.5
200066645;CC Vézère-Monédières-Millesources;19.3
200066652;CC Grand Sud Tarn-et-Garonne;11.5
200066660;CC de Saint-Flour;14.6
200066678;CC de la Châtaigneraie Cantalienne;15.1
200066710;CC Cingal-Suisse Normande;8.7
200066728;CC Vallées de l'Orne et de l'Odon;5
200066744;CC Haute-Corrèze Communauté;14.6
200066751;CC Xaintrie Val'Dordogne;16.8
200066769;CC Midi Corrézien;14.1
200066777;Ploërmel Communauté;12.4
200066785;CC de l'Oust à Brocéliande;10.5
200066793;CA du Grand Annecy;8.3
200066801;CC Isigny-Omaha Intercom;12.2
200066819;CC du Volvestre;12.5
200066827;CC du Pays de Honfleur-Beuzeville;11.5
200066835;CC de Sézanne-Sud Ouest Marnais;12.4
200066850;CC des Paysages de la Champagne;10
200066868;CC Presqu'île de Crozon-Aulne maritime;10.5
200066876;CA de Châlons-en-Champagne;15.8
200066884;CC Quercy Vert-Aveyron;14
200066892;CC de Vendeuvre-Soulaines;13.1
200066918;CA Alès Agglomération;22.3
200066926;CA Grand Auch Coeur de Gascogne;14.3
200066975;CC Senlis Sud Oise;7.9
200067023;CC Coutances Mer et Bocage;12.5
200067031;CC Côte Ouest Centre Manche;13.9
200067049;CC Spelunca-Liamone;18.8
200067064;CC Decazeville Communauté;18.6
200067072;CC Haut-Léon Communauté;10.5
200067080;CC Chablis Villages et Terroirs;11
200067106;CA du Pays Basque;12.3
200067114;CA de l'Auxerrois;14.6
200067122;CC du Pays de Lafrançaise;13.8
200067130;CC de Puisaye-Forterre;15.7
200067155;CC Saint Affricain, Roquefort, Sept Vallons;15.4
200067163;CC Monts, Rance et Rougier;19.4
200067171;CC Aubrac Carladez Viadène;18.9
200067189;CC Creuse Sud Ouest;22.1
200067197;CC Monts d'Arrée Communauté;21
200067205;CA du Cotentin;11
200067213;CU du Grand Reims;16.6
200067239;CC des Luys en Béarn;8.6
200067247;CC Pleyben-Châteaulin-Porzay;11.4
200067254;CA Pau Béarn Pyrénées;15.2
200067262;CC du Haut Béarn;13.6
200067288;CC du Béarn des Gaves;15.4
