Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200070233;CA Terres de Montaigu;6
200070282;CC Lavalette Tude Dronne;17.7
200070290;CC Coeur du Pays Haut;17
200070308;CA Mâconnais Beaujolais Agglomération;14.8
200070316;CC Entre Arroux, Loire et Somme;12.9
200070324;CC du Territoire de Lunéville à Baccarat;15.9
200070332;CC des Savoir-Faire;14.9
200070340;CC Haute Maurienne Vanoise;13.2
200070365;CC Corbières Salanque Méditerranée;21.1
200070373;CC Loir-Lucé-Bercé;14.8
200070407;CA Agglo Pays d'Issoire;12.7
200070431;CC Saint-Marcellin Vercors Isère Communauté;10.9
200070449;CC Inter-Caux-Vexin;5.8
200070464;CC Coeur de Maurienne Arvan;13.1
200070506;CC Pays de Nexon Monts de Chalus;13.5
200070514;CA du Grand Cognac;11
200070530;CC du Grand Autunois Morvan;16.1
200070548;CC Brionnais Sud Bourgogne;12.2
200070555;CC de la Veyle;7.2
200070563;CC Terres Touloises;12.7
200070571;CC Coeur de Berry;6.8
200070589;CC de Seille et Grand Couronné;6
200070647;CA Bergeracoise;16.9
200070662;CC Bretagne Porte de Loire Communauté;8.7
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;11.5
200070688;CC Couesnon Marches de Bretagne;11.3
200070712;CC Thiers Dore et Montagne;17.9
200070720;CC Médoc Atlantique;13.5
200070738;CC Mad et Moselle;7.4
200070746;CA Sarreguemines Confluences;14.8
200070753;CA Riom Limagne et Volcans;8.2
200070761;CC Ambert Livradois Forez;17.8
200070779;CC Brie des Rivières et Châteaux;5.1
200070787;CC du Plateau de Lannemezan;15.5
200070795;CC du Pays de Trie et du Magnoac;20
200070803;CC des Coteaux du Val d'Arros;10.1
200070811;CC Pyrénées Vallées des Gaves;13.7
200070829;CC Neste Barousse;16.2
200070845;CC Orne Lorraine Confluences;15.3
200070852;CC Usses et Rhône;6.4
