Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de vieillissement 2022
200071991;CC Retz en Valois;83
200072007;CC Montagne d'Ardèche;229
200072015;CA Annonay Rhône Agglo;101
200072023;CC Coeur de Charente;145
200072031;CA de la Région de Château-Thierry;84
200072049;CC de Charente Limousine;182
200072056;CC Porte du Jura;125
200072064;CC Val-de-Cher-Controis;143
200072072;CA Territoires Vendômois;139
200072080;CC du Pays de Saint-Eloy;185
200072098;CC Combrailles Sioule et Morge;89
200072106;CC Adour Madiran;156
200072130;CA du Pays de Meaux;48
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;137
200072312;CA Seine Normandie Agglomération;85
200072320;CC Val de Gers;152
200072346;CA du Pays de Fontainebleau;106
200072452;CA Fougères Agglomération;101
200072460;CA de Béthune-Bruay, Artois-Lys Romane;77
200072478;CC Pays d'Opale;71
200072544;CC des Deux Morin;75
200072635;CC Pyrénées Haut Garonnaises;208
200072643;CC Coeur et Coteaux du Comminges;159
200072650;CC Touraine Vallée de l'Indre;76
200072668;CC Touraine Val de Vienne;141
200072676;CC Maine Saosnois;119
200072684;CC Le Gesnois Bilurien;82
200072692;CC des Vallées de la Braye et de l'Anille;156
200072700;CC Haute Sarthe Alpes Mancelles;104
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;90
200072726;CC Châteaubriant-Derval;87
200072734;CC Estuaire et Sillon;53
200072825;CC Mirebellois et Fontenois;89
200072874;CC Val Briard;54
200072882;CC de Vie et Boulogne;65
200072981;CC Touraine Ouest Val de Loire;98
200072999;CC du Grand Langres;120
200073013;CC Carnelle Pays-de-France;67
200073096;CA Arche Agglo;90
200073104;CC de l'Ile-Rousse - Balagne;160
200073112;CC Sud Sarthe;123
200073120;CC Nebbiu - Conca d'Oro;175
200073138;CC Pasquale Paoli;211
200073146;CC Cagire Garonne Salat;160
200073161;CC Touraine-Est Vallées;87
200073237;CC de Gâtine-Racan;67
200073245;CC du Bassin d'Aubenas;135
200073252;CC de la Castagniccia-Casinca;127
200073260;CC Sud Vendée Littoral;144
200073344;CA Rambouillet Territoires;86
200073393;CC des Rives du Haut Allier;191
200073401;CC Mézenc-Loire-Meygal;123
200073419;CA du Puy-en-Velay;122
200073427;CC Marches du Velay-Rochebaron;88
200077014;CA Vienne Condrieu;80
200083392;CA Laval Agglomération;85
200084952;Le Havre Seine Métropole;86
200085728;CC Brioude Sud Auvergne;135
200085751;CC Entre Bièvre et Rhône;82
200089456;CA Seine-Eure;68
200090504;CA Coulommiers Pays de Brie;65
200090561;CC Vierzon-Sologne-Berry;137
200090579;CC Terre d'Émeraude Communauté;120
200090751;CA Grand Calais Terres et Mers;77
200093201;Métropole Européenne de Lille;60
200096634;CC des Hautes Vosges;152
200096642;CC Gérardmer Hautes Vosges;180
200096675;CC Baud Communauté;100
200096683;CC Centre Morbihan Communauté;84
200096956;CA Agglomération d'Agen;102
240100610;CC de la Côtière à Montluel;58
240100750;CA du Pays de Gex;44
240100800;CC de Miribel et du Plateau;66
240100883;CC de la Plaine de l'Ain;70
240100891;CC Terre Valserhône (CCTV);70
240200444;CC de la Thiérache du Centre;94
240200469;CC du Pays de la Serre;85
240200477;GrandSoissons Agglomération;96
240200493;CC du Pays du Vermandois;81
240200501;CC du Val de l'Aisne;80
240200519;CC du Canton d'Oulchy-le-Château;79
240200576;CC de la Champagne Picarde;75
240200584;CC du Canton de Charly-sur-Marne;84
240200592;CC du Chemin des Dames;81
240200600;CC des Trois Rivières;94
240200634;CC des Portes de la Thiérache;114
240300491;CC du Pays de Lapalisse;143
240300558;CC du Pays de Tronçais;224
240300566;CC du Val de Cher;135
240300657;CC du Pays d'Huriel;124
240400440;CC Pays Forcalquier et Montagne de Lure;161
240500439;CC du Briançonnais;110
240500462;CC du Pays des Ecrins;109
240600551;CA de la Riviera Française;127
240600585;CA de Sophia Antipolis;123
240600593;CC du Pays des Paillons;115
240700302;CC du Pays Beaume-Drobie;166
240700617;CC Val de Ligne;160
240700716;CC du Val d'Ay;116
240700815;CC Berg et Coiron;106
240700864;CC du Rhône aux Gorges de l'Ardèche;109
240800821;CC Ardenne, Rives de Meuse;105
240800847;CC des Portes du Luxembourg;95
240800862;CC des Crêtes Préardennaises;89
240800920;CC de l'Argonne Ardennaise;132
240900431;CC du Pays de Tarascon;165
240900464;CC du Pays d'Olmes;212
241000223;CC Forêts, Lacs, Terres en Champagne;85
241000405;CC de la Région de Bar sur Aube;151
241000447;CC du Pays d'Othe;122
241000488;CC de l'Orvin et de l'Ardusson;96
241100593;CA Le Grand Narbonne;137
241200187;CA Rodez Agglomération;107
241200542;CC du Réquistanais;219
241200567;CC de Millau Grands Causses;131
241200625;CC du Pays Rignacois;104
241200641;CC Conques-Marcillac;126
241200658;CC du Pays de Salars;103
241200674;CC du Plateau de Montbazens;144
241200765;CC de Lévézou Pareloup;172
241200807;CC Aveyron Bas Ségala Viaur;203
241200906;CC Larzac et Vallées;154
241200914;CC de la Muse et des Raspes du Tarn;175
241300375;CC Vallée des Baux-Alpilles (CC VBA);161
241300417;CA d'Arles-Crau-Camargue-Montagnette;100
241400415;CC Coeur Côte Fleurie;263
241400514;CC du Pays de Falaise;89
241400555;CC de Bayeux Intercom;129
241400860;CC Coeur de Nacre;165
241400878;CC Terre d'Auge;118
241500230;Aurillac Agglomération;129
241500255;CC du Pays Gentiane;262
241500271;CC du Pays de Mauriac;186
241501055;CC Sumène - Artense;214
241501089;CC Cère et Goul en Carladès;168
241501139;CC du Pays de Salers;237
241600303;CC du Rouillacais;127
241700434;CA de La Rochelle;123
241700459;CC de l'Ile de Ré;267
241700517;CC Coeur de Saintonge;102
241700624;CC de l'Ile d'Oléron;258
241700632;CC de Gémozac et de la Saintonge Viticole;122
241700640;CA Royan Atlantique;306
241700699;CC du Bassin de Marennes;182
241800374;CC la Septaine;68
241800424;CC le Dunois;133
241800432;CC les Trois Provinces;204
241800457;CC FerCher;122
241800507;CA Bourges Plus;109
241900133;CC de Ventadour - Egletons - Monédières;121
241927201;CA Tulle Agglo;149
241927243;CC du Pays d'Uzerche;160
242000354;CA de Bastia;120
242000495;CC de l'Alta Rocca;157
242000503;CC Celavu-Prunelli;122
242010056;CA du Pays Ajaccien;103
242010130;CC du Sartenais Valinco Taravo;158
242020071;CC du Centre Corse;80
242020105;CC de Calvi Balagne;122
242100154;CC des Vallées de la Tille et de l'Ignon;79
242100410;Dijon Métropole;89
242101434;CC du Pays Châtillonnais;157
242101442;CC de Saulieu-Morvan;178
242101459;CC du Pays d'Alésia et de la Seine;135
242101491;CC du Montbardois;171
242101509;CC Rives de Saône;95
242200715;CC du Kreiz-Breizh (CCKB);166
242300135;CC du Pays Sostranien;172
242320000;CC de Bénévent Grand Bourg;206
242320109;CC du Pays Dunois;237
242400752;CC Périgord-Limousin;215
242400935;CC du Pays de Saint Aulaye;191
242401024;CC Isle-Loue-Auvézère en Périgord;211
242500320;CC Entre Doubs et Loue;51
242500338;CC du Grand Pontarlier;80
242500361;CU Grand Besançon Métropole;82
242504116;CC du Val de Morteau;72
242504181;CC des Portes du Haut-Doubs;63
242504355;CC du Plateau de Russey;55
242504371;CC du Pays de Sancey-Belleherbe;102
242504447;CC du Doubs Baumois;93
242504488;CC Altitude 800;65
242504496;CC du Plateau de Frasne et du Val de Drugeon;53
242600252;CC du Val de Drôme en Biovallée;85
242600492;CC Dieulefit-Bourdeaux;155
242600534;CC du Diois;149
242700276;CC du Pays de Conches;86
242700607;CC du Pays du Neubourg;77
242852465;CC du Bonnevalais;95
242900074;CC du Pays d'Iroise;101
242900314;Brest Métropole;84
242900553;CC du Pays des Abers;85
242900561;CC de Haute Cornouaille;137
242900629;CC Cap Sizun - Pointe du Raz;266
242900645;CC Douarnenez Communauté;197
242900660;CC du Pays Fouesnantais;178
242900694;CA Quimperlé Communauté;121
242900702;CC du Pays Bigouden Sud;200
242900710;CC du Haut Pays Bigouden;116
242900744;CC Poher Communauté;148
242900751;CC du Pays de Landivisiau;73
242900769;CA Concarneau Cornouaille Agglomération;156
242900793;CC Communauté Lesneven Côte des Légendes;106
242900801;CA du Pays de Landerneau-Daoulas;78
242900835;CA Morlaix Communauté;134
243000270;CC du Pays Viganais;175
243000296;CC du Pays de Sommières;86
243000569;CC Rhony, Vistre, Vidourle;82
243000585;CC Beaucaire Terre d'Argence;84
243000593;CC de Petite Camargue;82
243000643;CA de Nîmes Métropole;90
243000650;CC Terre de Camargue;199
243000684;CC du Pont du Gard;92
243100518;Toulouse Métropole;66
243100567;CC Aux sources du Canal du Midi;135
243100633;CA du Sicoval;76
243100732;CC des Coteaux du Girou;66
243100773;CC Val'Aïgo;74
243100781;Le Grand Ouest Toulousain agglomération;54
243100815;CC des Coteaux Bellevue;78
243200391;CC de la Lomagne Gersoise;167
243200409;CC du Bas Armagnac;164
243200417;CC de la Tenarèze;184
243200425;CC Coeur d'Astarac en Gascogne;193
243200458;CC du Grand Armagnac;192
243200508;CC Bastides et Vallons du Gers;252
243200599;CC du Saves;131
243200607;CC Artagnan de Fezensac;202
243300316;Bordeaux Métropole;73
243300563;CA Bassin d'Arcachon Sud (COBAS);191
243300811;CC de l'Estuaire;106
243301165;CC Jalle-Eau-Bourde;104
243301181;CC Latitude Nord Gironde;59
243301215;CC du Créonnais;68
243301223;CC du Grand Cubzaguais;69
243301249;CC Les Rives de la Laurence;80
243301264;CC de Montesquieu;67
243301355;CC les Coteaux Bordelais;86
243301371;CC du Pays Foyen;152
243301389;CC Médullienne;62
243301397;CC du Fronsadais;84
243301405;CC du Val de l'Eyre;60
243301439;CC des Portes de l'Entre-Deux-Mers;88
243301447;CC Médoc Estuaire;64
243301454;CC Castillon/Pujols;121
243301504;CA du Bassin d'Arcachon Nord (COBAN);138
243400017;Montpellier Méditerranée Métropole;74
243400355;CC du Clermontais;93
243400470;CA du Pays de l'Or;153
243400488;CC la Domitienne;105
243400520;CA Lunel Agglo;91
243400694;CC Vallée de l'Hérault;73
243400736;CC des Cévennes Gangeoises et Suménoises;141
243400769;CA de Béziers-Méditerranée;115
243400819;CA Hérault-Méditerranée;149
243500139;Rennes Métropole;64
243500550;CC Montfort Communauté;65
243500618;CC Brocéliande Communauté;62
243500634;Roche aux Fées Communauté;72
243500659;CC Pays de Châteaugiron Communauté;52
243500667;CC Val d'Ille-Aubigné;49
243500725;CC Côte d'Emeraude;209
243500733;CC Bretagne Romantique;69
243500741;CA Redon Agglomération;104
243500774;CC Liffré-Cormier Communauté;51
243500782;CA du Pays de Saint Malo Agglomération;147
243600202;CC Chabris - Pays de Bazelle;189
243600236;CC du Pays d'Issoudun;150
243600293;CC Levroux Boischaut Champagne;124
243600301;CC Val de l'Indre - Brenne;127
243600319;CC Brenne - Val de Creuse;163
243600327;CA Châteauroux Métropole;113
243600343;CC Coeur de Brenne;201
243600350;CC de la Châtre et Sainte-Sévère;202
243700499;CC du Castelrenaudais;94
243700754;Tours Métropole Val de Loire;94
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;100
243800604;CA Porte de l'Isère (CAPI);54
243800745;CC de l'Oisans;105
243800935;CC Lyon-Saint-Exupéry en Dauphiné;52
243800984;CA du Pays Voironnais;90
243801024;CC du Massif du Vercors;97
243801073;CC de Bièvre Est;72
243801255;CC Collines Isère Nord Communauté;71
243900354;CC de la Station des Rousses-Haut Jura;58
243900420;CC du Val d'Amour;107
243900479;CC Haut-Jura Arcade Communauté;76
243900560;CC Jura Nord;77
243900610;CC la Grandvallière;94
243901089;CC de la Plaine Jurassienne;122
244000543;CC de Mimizan;203
244000659;CC du Seignanx;99
244000675;CA du Grand Dax;147
244000691;CC du Pays Morcenais;175
244000766;CC du Pays Tarusate;121
244000774;CC du Pays de Villeneuve en Armagnac Landais;122
244000808;CA Mont de Marsan Agglomération;96
244000824;CC du Pays Grenadois;109
244000857;CC Côte Landes Nature;181
244000865;CC Maremne Adour Côte Sud;132
244000873;CC des Grands Lacs;147
244000881;CC Coteaux et Vallées des Luys;145
244100293;CC des Collines du Perche;182
244100780;CC de la Sologne des Etangs;144
244100798;CC du Grand Chambord;110
244100806;CC de la Sologne des Rivières;180
244200614;CC des Vals d'Aix et Isable;118
244200622;CC des Monts du Pilat;106
244200630;CC du Pays Entre Loire et Rhône;89
244200770;Saint-Étienne Métropole;88
244200820;CC du Pays d'Urfé;146
244200895;CC du Pilat Rhodanien;92
244300307;CC Haut Pays du Velay;115
244301016;CC des Sucs;102
244301099;CC Auzon Communauté;127
244301107;CC du Haut Lignon;170
244301123;CC des Pays de Cayres et de Pradelles;162
244301131;CC Loire et Semène;81
244400404;Nantes Métropole;69
244400438;Grand Lieu Communauté;57
244400453;CC du Pays de Blain;64
244400503;CC d'Erdre et Gesvres;52
244400537;CC de Nozay;53
244400552;CC du Pays d'Ancenis;67
244400586;CC du Sud Estuaire;109
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);191
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);104
244500203;CA Montargoise et Rives du Loing (AME);97
244500211;CC Giennoises;108
244500419;CC des Quatre Vallées;100
244500427;CC des Loges;79
244500468;Orléans Métropole;73
244500484;CC de la Forêt;67
244500542;CC de la Plaine du Nord Loiret;77
244600433;CC de la Vallée du Lot et du Vignoble;226
244600482;CC Quercy - Bouriane;235
244600532;CC du Pays de Lalbenque-Limogne;159
244600573;CC du Causse de Labastide Murat;242
244700449;CC du Pays de Duras;179
244700464;CC du Pays de Lauzun;217
244701355;CC des Coteaux et Landes de Gascogne;180
244701405;CC Lot et Tolzac;145
244800405;CC Coeur de Lozère;88
244800470;CC du Gévaudan;126
244900015;CU Angers Loire Métropole;78
244900809;CC Anjou Bleu Communauté;92
244900882;CC Baugeois Vallée;96
245100615;CC de la Grande Vallée de la Marne;118
245100888;CC de la Brie Champenoise;105
245100979;CC du Sud Marnais;97
245200597;CC des Trois Forêts;140
245300223;CC du Pays de Meslay-Grez;76
245300355;CC de l'Ernée;92
245300389;CC du Bocage Mayennais;153
245300447;CC du Pays de Château-Gontier;97
245400171;CC Moselle et Madon;101
245400189;CC des Pays du Sel et du Vermois;100
245400262;Agglomération du Grand Longwy;77
245400510;CC du Pays de Colombey et du Sud Toulois;74
245400601;CC du Bassin de Pompey;103
245400676;Métropole du Grand Nancy;83
245400759;CC du Pays du Sanon;95
245500327;CC du Sammiellois;131
245501176;CC du Territoire de Fresnes-en-Woëvre;100
245501184;CC du Pays de Revigny-sur-Ornain;112
245501242;CC du Pays d'Étain;88
245501259;CC du Pays de Montmédy;86
245600440;CC Blavet Bellevue Océan;98
245600465;CC de Belle Ile en Mer;174
245614383;CC Questembert Communauté;94
245614417;CC Roi Morvan Communauté;163
245614433;CC Pontivy Communauté;105
245700133;CC du District Urbain de Faulquemont (DUF);95
245700372;CA de Forbach Porte de France;103
245700398;CC de Freyming-Merlebach;101
245700695;CC de Cattenom et Environs;61
245700950;CC du Pays de Phalsbourg;97
245701164;CC du Warndt;118
245701206;CC du Saulnois;98
245701222;CA du Val de Fensch;83
245701271;CC du Pays Orne Moselle;90
245701354;CC de l'Arc Mosellan;71
245701362;CA Portes de France-Thionville;91
245701404;CC du Pays Haut Val d'Alzette;85
245801063;CC Loire et Allier;118
245804406;CA de Nevers;127
245804497;CC du Nivernais Bourbonnais;138
245900428;CU de Dunkerque;86
245900758;CC Flandre Lys;76
245901038;CC du Pays Solesmois;88
245901152;CA Coeur d'Ostrevent;71
245901160;CA Valenciennes Métropole;71
246000129;CC du Liancourtois;68
246000376;CC du Clermontois;75
246000566;CC du Plateau Picard;70
246000582;CC des Sablons;55
246000707;CC du Vexin-Thelle;73
246000749;CC des Lisières de l'Oise;92
246000756;CC du Pays Noyonnais;83
246000764;CC de l'Aire Cantilienne;104
246000772;CC des Deux Vallées;90
246000848;CC de la Picardie Verte;81
246000855;CC du Pays des Sources;75
246000871;CC du Pays de Valois;66
246000897;CC de la Plaine d'Estrées;69
246000913;CC du Pays de Bray;74
246000921;CC des Pays d'Oise et d'Halatte;72
246100390;CC du Val d'Orne;103
246100663;CU d'Alençon;109
246200299;CA d'Hénin-Carvin;67
246200364;CA de Lens - Liévin;70
246200380;CC de la Terre des Deux Caps;78
246200729;CA du Boulonnais;94
246200844;CC de la Région d'Audruicq;63
246201016;CC du Pays de Lumbres;68
246300701;Clermont Auvergne Métropole;92
246300966;CC du Massif du Sancy;157
246301097;CC Entre Dore et Allier;88
246400337;CC de la Vallée d'Ossau;157
246401756;CC Pays de Nay;100
246500482;CC de la Haute-Bigorre;192
246500573;CC Aure Louron;166
246600282;CC Sud-Roussillon;177
246600373;CC du Vallespir;189
246600399;CC Pyrénées Cerdagne;104
246600415;CC Roussillon-Conflent;98
246600423;CC Agly Fenouillèdes;195
246600449;CC des Aspres;102
246600464;CC Pyrénées Catalanes;101
246600548;CC du Haut Vallespir;265
246700306;CC de la Vallée de la Bruche;115
246700488;Eurométropole de Strasbourg;71
246700744;CC des Portes de Rosheim;107
246700777;CC de la Vallée de Villé;115
246700843;CC de la Basse-Zorn;95
246700926;CC du Pays de Wissembourg;127
246700959;CC du Pays de la Zorn;91
246700967;CC de Sélestat;92
246701064;CC de la Région de Molsheim-Mutzig;90
246701080;CC du Pays de Sainte-Odile;107
246701098;CC du Pays de Niederbronn-les-Bains;113
246800205;CC de la Vallée de Saint-Amarin;156
246800395;CC du Val d'Argent;119
246800445;CC du Centre du Haut-Rhin;76
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;110
246800551;CC de la Vallée de Kaysersberg;139
246800569;CC de la Région de Guebwiller;101
246800577;CC du Pays de Ribeauvillé;119
246800585;CC de la Vallée de Munster;126
246800676;CC de la Vallée de la Doller et du Soultzbach;105
246800726;CA Colmar Agglomération;102
246900575;CC de l'Est Lyonnais (CCEL);72
246900625;CC du Pays de l'Arbresle (CCPA);77
246900724;CC des Vallons du Lyonnais (CCVL);70
246900740;CC du Pays Mornantais (COPAMO);71
246900757;CC de la Vallée du Garon (CCVG);86
246900765;CC du Pays de l'Ozon;71
247000011;CA de Vesoul;113
247000367;CC des Combes;102
247000623;CC des Quatre Rivières;144
247000664;CC du Pays de Lure;101
247000698;CC des Monts de Gy;89
247000706;CC du Pays Riolais;64
247000714;CC du Pays de Villersexel;125
247000722;CC du Pays d'Héricourt;102
247000755;CC du Pays de Luxeuil;121
247000821;CC Rahin et Chérimont;98
247000854;CC des 1000 étangs;163
247100290;CU Le Creusot Montceau-les-Mines;142
247100589;CA Le Grand Chalon;107
247100639;CC de Marcigny;156
247100647;CC Bresse Nord Intercom';176
247103765;CC Entre Saône et Grosne;122
247103864;CC de Semur en Brionnais;145
247104094;CC Sud Côte Chalonnaise;120
247200090;CC du Pays Sabolien;91
247200132;CU Le Mans Métropole;93
247200348;CC du Pays Fléchois;89
247200421;CC du Sud Est Manceau;80
247200447;CC Orée de Bercé - Belinois;81
247200629;CC du Val de Sarthe;82
247200686;Communauté de communes du Perche Emeraude;105
247300015;CC des Vallées d'Aigueblanche;109
247300254;CC de Haute-Tarentaise;82
247300262;CC de Yenne;89
247300361;CC du Canton de La Chambre;110
247300452;CC Maurienne Galibier;125
247300528;CC Val Guiers;92
247300668;CC du Lac d'Aiguebelette (CCLA);80
247300676;CC Porte de Maurienne;88
247300817;CC Les Versants d'Aime;90
247400047;CC de la Vallée Verte;60
247400112;CC du Pays de Cruseilles;45
247400567;CC Fier et Usses;60
247400583;CC Arve et Salève;64
247400617;CC des Vallées de Thônes;81
247400666;CC des Quatre Rivières;63
247400682;CC du Haut Chablais;90
247400690;CC du Genevois;49
247400724;CC du Pays Rochois;56
247400740;CC Rumilly Terre de Savoie;61
247400773;CC des Sources du Lac d'Annecy;116
247600505;CC Campagne-de-Caux;68
247600588;CC des Villes Soeurs;154
247600604;CC de Londinières;98
247600620;CC Yvetot Normandie;94
247600646;CC Caux - Austreberthe;83
247600729;CC Falaises du Talou;84
247600786;CA de la Région Dieppoise;145
247700032;CC Moret Seine et Loing;88
247700057;CA Melun Val de Seine;54
247700065;CC du Pays de l'Ourcq;51
247700107;CC Pays de Montereau;64
247700339;CA Val d'Europe Agglomération;37
247700594;CA Marne et Gondoire;49
247700644;CC l'Orée de la Brie;57
247700701;CC Brie Nangissienne;53
247800550;CC du Pays Houdanais (CCPH);75
247800584;CA Versailles Grand Parc (CAVGP);72
247800618;CC Coeur d'Yvelines;76
247900798;CC du Thouarsais;122
248000499;CC du Val de Somme;84
248000531;CA Amiens Métropole;71
248000747;CC du Pays du Coquelicot;96
248100158;CC du Sor et de l'Agout;107
248100430;CA de Castres Mazamet;130
248100497;CC Val 81;158
248100737;CA de l'Albigeois (C2A);130
248100745;CC Thoré Montagne Noire;189
248200016;CC des Deux Rives;115
248200057;CC du Quercy Caussadais;127
248200065;CC de la Lomagne Tarn-et-Garonnaise;145
248200099;CA Grand Montauban;91
248200107;Quercy Rouergue et des Gorges de l'Aveyron;218
248300394;CA Sud Sainte Baume;196
248300410;CC de la Vallée du Gapeau;109
248300493;Dracénie Provence Verdon Agglomération;109
248300543;Métropole Toulon-Provence-Méditerranée;130
248300550;CC Coeur du Var;90
248400053;CA Ventoux-Comtat-Venaissin (COVE);113
248400160;CC Aygues-Ouvèze en Provence (CCAOP);88
248400236;Pays d'Orange en Provence;101
248400251;CA du Grand Avignon (COGA);88
248400285;Communauté de Communes Sud Luberon;101
248400293;CA des Sorgues du Comtat;86
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;118
248400335;CC Vaison Ventoux;154
248500191;CC de l'Ile de Noirmoutier;287
248500258;CC Océan Marais de Monts;232
248500340;CC Pays de Chantonnay;78
248500415;CC du Pays de la Châtaigneraie;118
248500464;CC du Pays de Pouzauges;89
248500530;CC du Pays des Achards;70
248500563;CC Vendée, Sèvre, Autise;115
248500589;CA La Roche-sur-Yon - Agglomération;85
248500621;CC du Pays des Herbiers;72
248500662;CC du Pays de Mortagne;83
248600413;CA Grand Châtellerault;120
248600447;CC du Pays Loudunais;132
248700189;CC du Pays de Saint Yrieix;203
248719262;CC Gartempe - Saint Pardoux;156
248719288;CC du Val de Vienne;98
248719312;CU Limoges Métropole;106
248719338;CC Briance-Combade;192
248719353;CC des Portes de Vassivière;217
248719361;CC de Noblat;129
248900334;CA du Grand Sénonais;97
248900383;CC de l'Agglomération Migennoise;94
248900524;CC de l'Aillantais en Bourgogne;111
248900664;CC de la Vanne et du Pays d'Othe;121
248900748;CC du Gâtinais en Bourgogne;88
248900896;CC Yonne Nord;91
248900938;CC du Jovinien;105
249000241;CC du Sud Territoire;91
249100074;CC du Pays de Limours (CCPL);71
249100157;CC des 2 Vallées;103
249100546;CC du Val d'Essonne (CCVE);65
249100553;CC Entre Juine et Renarde (CCEJR);76
249100595;CC le Dourdannais en Hurepoix (CCDH);70
249500109;CA de Cergy-Pontoise;39
249500430;CC Sausseron Impressionnistes;79
249500455;CC de la Vallée de l'Oise et des Trois Forêts;75
249500489;CC du Haut Val d'Oise;42
249500513;CC du Vexin-Val de Seine;75
249710047;CC de Marie-Galante;147
249710062;CA du Nord Basse-Terre;78
249710070;CA Grand Sud Caraïbe;117
249720053;CA de l'Espace Sud de la Martinique;109
249720061;CA du Centre de la Martinique;97
249730037;CC de l'Ouest Guyanais;6
249730045;CA du Centre Littoral;23
249730052;CC de l'Est Guyanais;11
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);46
249740085;CA du Sud;50
249740093;CA Intercommunale de la Réunion Est (CIREST);37
249740101;CA Territoire de la Côte Ouest (TCO);46
249740119;CA Intercommunale du Nord de la Réunion (CINOR);45
75056;Paris;95
