Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des ménages d'une seule personne 2022
200071116;CA ECLA (Espace Communautaire Lons Agglomération);46.4
200071140;CA Moulins Communauté;44.4
200071165;CA Les Sables d'Olonne Agglomération;41.2
200071173;CC du Pays Arnay Liernais;40.1
200071181;CC Somme Sud-Ouest;29.2
200071199;CC Plaine Limagne;29.5
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;37.1
200071215;CC Chavanon Combrailles et Volcans;39.6
200071223;CC Nièvre et Somme;28.3
200071298;CC des Terres du Lauragais;26.2
200071314;CC des Hauts-Tolosans;28.7
200071363;CA Vichy Communauté;45
200071371;CC Bresse et Saône;29.3
200071389;CC Saint-Pourçain Sioule Limagne;38
200071405;CC Ardèche Rhône Coiron;33.6
200071413;CA Privas Centre Ardèche;39.2
200071454;CA Evreux Portes de Normandie;36.8
200071470;CC Entr'Allier Besbre et Loire;36.7
200071496;CC du Bocage Bourbonnais;38.6
200071504;CC des Collines du Perche Normand;35.7
200071512;CC Commentry Montmarault Néris Communauté;38.6
200071520;CC Domfront Tinchebray Interco;37.4
200071538;CC Terres de Bresse;29.4
200071546;CC Sud Retz Atlantique;30.2
200071553;CC Loire Layon Aubance;26.5
200071579;CC Bresse Louhannaise Intercom';37.1
200071587;CC Loches Sud Touraine;37.7
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;41.7
200071629;CC Challans-Gois Communauté;33.6
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;33.3
200071652;CC du Pays Fertois et du Bocage Carrougien;30.9
200071678;CA Cholet Agglomération;36.3
200071751;CA du Bassin de Bourg-en-Bresse;37.8
200071769;CC Picardie des Châteaux;31.2
200071777;CC d'Arcis, Mailly, Ramerupt;34
200071785;CA Chauny Tergnier La Fère;36.2
200071819;CC du Périgord Nontronnais;39.4
200071827;CA du Grand Angoulême;42.2
200071843;CC du Vexin Normand;30.9
200071850;CC du Pithiverais-Gâtinais;32.8
200071868;CC des Vallées du Haut-Anjou;27.6
200071876;CA Saumur Val de Loire;36.2
200071884;CC Le Grand Charolais;40.9
200071892;CA du Saint-Quentinois;41.7
200071900;CC Vendée Grand Littoral;32.2
200071918;CC du Pays de Saint-Fulgent - Les Essarts;28.6
200071926;CC du Limouxin;38.7
200071934;CC du Pays de Fontenay-Vendée;35.7
200071942;CC Haut Limousin en Marche;41.3
200071967;CC Pays d'Evian Vallée d'Abondance;34.4
200071983;CC Thiérache Sambre et Oise;34.1
200071991;CC Retz en Valois;32.4
200072007;CC Montagne d'Ardèche;39.4
200072015;CA Annonay Rhône Agglo;35.5
200072023;CC Coeur de Charente;34.8
200072031;CA de la Région de Château-Thierry;35.3
200072049;CC de Charente Limousine;36.4
200072056;CC Porte du Jura;38.2
200072064;CC Val-de-Cher-Controis;37
200072072;CA Territoires Vendômois;39.3
200072080;CC du Pays de Saint-Eloy;43.1
200072098;CC Combrailles Sioule et Morge;31.8
200072106;CC Adour Madiran;34.2
200072130;CA du Pays de Meaux;32.4
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;41.3
200072312;CA Seine Normandie Agglomération;34
200072320;CC Val de Gers;31.8
200072346;CA du Pays de Fontainebleau;37.9
200072452;CA Fougères Agglomération;37.2
200072460;CA de Béthune-Bruay, Artois-Lys Romane;32.6
200072478;CC Pays d'Opale;25.7
200072544;CC des Deux Morin;28.7
200072635;CC Pyrénées Haut Garonnaises;41.5
200072643;CC Coeur et Coteaux du Comminges;39.5
200072650;CC Touraine Vallée de l'Indre;26.5
200072668;CC Touraine Val de Vienne;36
200072676;CC Maine Saosnois;36
200072684;CC Le Gesnois Bilurien;29.8
200072692;CC des Vallées de la Braye et de l'Anille;38.6
200072700;CC Haute Sarthe Alpes Mancelles;34.1
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;31.1
200072726;CC Châteaubriant-Derval;35.2
200072734;CC Estuaire et Sillon;24.2
200072825;CC Mirebellois et Fontenois;29.3
200072874;CC Val Briard;24.5
200072882;CC de Vie et Boulogne;26.8
200072981;CC Touraine Ouest Val de Loire;31.7
200072999;CC du Grand Langres;39.9
200073013;CC Carnelle Pays-de-France;26.6
200073096;CA Arche Agglo;33.9
200073104;CC de l'Ile-Rousse - Balagne;39
200073112;CC Sud Sarthe;33.9
200073120;CC Nebbiu - Conca d'Oro;35.5
200073138;CC Pasquale Paoli;39.1
200073146;CC Cagire Garonne Salat;38.8
200073161;CC Touraine-Est Vallées;26.7
200073237;CC de Gâtine-Racan;25.8
200073245;CC du Bassin d'Aubenas;41.2
200073252;CC de la Castagniccia-Casinca;35.5
200073260;CC Sud Vendée Littoral;34.9
200073344;CA Rambouillet Territoires;33
200073393;CC des Rives du Haut Allier;41.8
200073401;CC Mézenc-Loire-Meygal;34.8
200073419;CA du Puy-en-Velay;41.9
200073427;CC Marches du Velay-Rochebaron;31.1
200077014;CA Vienne Condrieu;34.6
200083392;CA Laval Agglomération;39.3
200084952;Le Havre Seine Métropole;41.2
200085728;CC Brioude Sud Auvergne;40.2
200085751;CC Entre Bièvre et Rhône;29.6
200089456;CA Seine-Eure;31.9
200090504;CA Coulommiers Pays de Brie;29.9
200090561;CC Vierzon-Sologne-Berry;41.5
200090579;CC Terre d'Émeraude Communauté;36.3
200090751;CA Grand Calais Terres et Mers;38.6
200093201;Métropole Européenne de Lille;41
200096634;CC des Hautes Vosges;36.3
200096642;CC Gérardmer Hautes Vosges;40.5
200096675;CC Baud Communauté;35.8
200096683;CC Centre Morbihan Communauté;34.6
200096956;CA Agglomération d'Agen;41.7
240100610;CC de la Côtière à Montluel;27
240100750;CA du Pays de Gex;34.2
240100800;CC de Miribel et du Plateau;29.6
240100883;CC de la Plaine de l'Ain;32.9
240100891;CC Terre Valserhône (CCTV);35.9
240200444;CC de la Thiérache du Centre;33.7
240200469;CC du Pays de la Serre;29.8
240200477;GrandSoissons Agglomération;40.8
240200493;CC du Pays du Vermandois;29.7
240200501;CC du Val de l'Aisne;26.5
240200519;CC du Canton d'Oulchy-le-Château;26.4
240200576;CC de la Champagne Picarde;28.6
240200584;CC du Canton de Charly-sur-Marne;31.4
240200592;CC du Chemin des Dames;26.7
240200600;CC des Trois Rivières;37.8
240200634;CC des Portes de la Thiérache;33.8
240300491;CC du Pays de Lapalisse;35.9
240300558;CC du Pays de Tronçais;43.5
240300566;CC du Val de Cher;33.9
240300657;CC du Pays d'Huriel;33.3
240400440;CC Pays Forcalquier et Montagne de Lure;41.8
240500439;CC du Briançonnais;43.5
240500462;CC du Pays des Ecrins;34.7
240600551;CA de la Riviera Française;40.9
240600585;CA de Sophia Antipolis;40.1
240600593;CC du Pays des Paillons;30.8
240700302;CC du Pays Beaume-Drobie;38.1
240700617;CC Val de Ligne;40
240700716;CC du Val d'Ay;30.7
240700815;CC Berg et Coiron;33.7
240700864;CC du Rhône aux Gorges de l'Ardèche;34.3
240800821;CC Ardenne, Rives de Meuse;37.1
240800847;CC des Portes du Luxembourg;34
240800862;CC des Crêtes Préardennaises;31.1
240800920;CC de l'Argonne Ardennaise;37.2
240900431;CC du Pays de Tarascon;39.5
240900464;CC du Pays d'Olmes;41.1
241000223;CC Forêts, Lacs, Terres en Champagne;26.5
241000405;CC de la Région de Bar sur Aube;41.6
241000447;CC du Pays d'Othe;35.2
241000488;CC de l'Orvin et de l'Ardusson;29.3
241100593;CA Le Grand Narbonne;41.1
241200187;CA Rodez Agglomération;47.1
241200542;CC du Réquistanais;34.9
241200567;CC de Millau Grands Causses;40.1
241200625;CC du Pays Rignacois;31.5
241200641;CC Conques-Marcillac;31
241200658;CC du Pays de Salars;29.6
241200674;CC du Plateau de Montbazens;32.9
241200765;CC de Lévézou Pareloup;35.7
241200807;CC Aveyron Bas Ségala Viaur;35.4
241200906;CC Larzac et Vallées;38
241200914;CC de la Muse et des Raspes du Tarn;35.5
241300375;CC Vallée des Baux-Alpilles (CC VBA);33.6
241300417;CA d'Arles-Crau-Camargue-Montagnette;38.4
241400415;CC Coeur Côte Fleurie;50.2
241400514;CC du Pays de Falaise;33
241400555;CC de Bayeux Intercom;38.2
241400860;CC Coeur de Nacre;37.6
241400878;CC Terre d'Auge;30.9
241500230;Aurillac Agglomération;42.7
241500255;CC du Pays Gentiane;42.1
241500271;CC du Pays de Mauriac;40.7
241501055;CC Sumène - Artense;38.8
241501089;CC Cère et Goul en Carladès;37.8
241501139;CC du Pays de Salers;38.8
241600303;CC du Rouillacais;31.7
241700434;CA de La Rochelle;44
241700459;CC de l'Ile de Ré;34
241700517;CC Coeur de Saintonge;28.3
241700624;CC de l'Ile d'Oléron;39.6
241700632;CC de Gémozac et de la Saintonge Viticole;29.6
241700640;CA Royan Atlantique;40.3
241700699;CC du Bassin de Marennes;35.5
241800374;CC la Septaine;31.4
241800424;CC le Dunois;36.5
241800432;CC les Trois Provinces;41
241800457;CC FerCher;37.5
241800507;CA Bourges Plus;43.3
241900133;CC de Ventadour - Egletons - Monédières;44
241927201;CA Tulle Agglo;40.9
241927243;CC du Pays d'Uzerche;37.8
242000354;CA de Bastia;27.3
242000495;CC de l'Alta Rocca;37.8
242000503;CC Celavu-Prunelli;33.2
242010056;CA du Pays Ajaccien;27.6
242010130;CC du Sartenais Valinco Taravo;39.1
242020071;CC du Centre Corse;60.7
242020105;CC de Calvi Balagne;39
242100154;CC des Vallées de la Tille et de l'Ignon;27.6
242100410;Dijon Métropole;50.6
242101434;CC du Pays Châtillonnais;40.5
242101442;CC de Saulieu-Morvan;43.7
242101459;CC du Pays d'Alésia et de la Seine;40.8
242101491;CC du Montbardois;40.8
242101509;CC Rives de Saône;31.9
242200715;CC du Kreiz-Breizh (CCKB);42
242300135;CC du Pays Sostranien;43.6
242320000;CC de Bénévent Grand Bourg;40.5
242320109;CC du Pays Dunois;42
242400752;CC Périgord-Limousin;38.1
242400935;CC du Pays de Saint Aulaye;38.3
242401024;CC Isle-Loue-Auvézère en Périgord;37
242500320;CC Entre Doubs et Loue;28
242500338;CC du Grand Pontarlier;41.5
242500361;CU Grand Besançon Métropole;46.5
242504116;CC du Val de Morteau;36.8
242504181;CC des Portes du Haut-Doubs;32.6
242504355;CC du Plateau de Russey;26.6
242504371;CC du Pays de Sancey-Belleherbe;33.8
242504447;CC du Doubs Baumois;33.3
242504488;CC Altitude 800;30.4
242504496;CC du Plateau de Frasne et du Val de Drugeon;29.6
242600252;CC du Val de Drôme en Biovallée;30.4
242600492;CC Dieulefit-Bourdeaux;39
242600534;CC du Diois;44
242700276;CC du Pays de Conches;31
242700607;CC du Pays du Neubourg;27.6
242852465;CC du Bonnevalais;33.6
242900074;CC du Pays d'Iroise;31.3
242900314;Brest Métropole;48.7
242900553;CC du Pays des Abers;31.7
242900561;CC de Haute Cornouaille;41.2
242900629;CC Cap Sizun - Pointe du Raz;42.4
242900645;CC Douarnenez Communauté;49.4
242900660;CC du Pays Fouesnantais;36.3
242900694;CA Quimperlé Communauté;37.3
242900702;CC du Pays Bigouden Sud;40.9
242900710;CC du Haut Pays Bigouden;35.8
242900744;CC Poher Communauté;44.9
242900751;CC du Pays de Landivisiau;33
242900769;CA Concarneau Cornouaille Agglomération;41.5
242900793;CC Communauté Lesneven Côte des Légendes;36.3
242900801;CA du Pays de Landerneau-Daoulas;33.2
242900835;CA Morlaix Communauté;41.5
243000270;CC du Pays Viganais;44.3
243000296;CC du Pays de Sommières;31.4
243000569;CC Rhony, Vistre, Vidourle;28.6
243000585;CC Beaucaire Terre d'Argence;34.4
243000593;CC de Petite Camargue;30.4
243000643;CA de Nîmes Métropole;40.4
243000650;CC Terre de Camargue;41.3
243000684;CC du Pont du Gard;31.3
243100518;Toulouse Métropole;48.5
243100567;CC Aux sources du Canal du Midi;35.5
243100633;CA du Sicoval;37
243100732;CC des Coteaux du Girou;22
243100773;CC Val'Aïgo;32.1
243100781;Le Grand Ouest Toulousain agglomération;29.1
243100815;CC des Coteaux Bellevue;24.3
243200391;CC de la Lomagne Gersoise;36.7
243200409;CC du Bas Armagnac;37
243200417;CC de la Tenarèze;38.3
243200425;CC Coeur d'Astarac en Gascogne;42.2
243200458;CC du Grand Armagnac;37.3
243200508;CC Bastides et Vallons du Gers;40.2
243200599;CC du Saves;33.6
243200607;CC Artagnan de Fezensac;38
243300316;Bordeaux Métropole;46.1
243300563;CA Bassin d'Arcachon Sud (COBAS);41.2
243300811;CC de l'Estuaire;33.4
243301165;CC Jalle-Eau-Bourde;29.7
243301181;CC Latitude Nord Gironde;25.7
243301215;CC du Créonnais;26
243301223;CC du Grand Cubzaguais;29.9
243301249;CC Les Rives de la Laurence;25.5
243301264;CC de Montesquieu;24.1
243301355;CC les Coteaux Bordelais;26.1
243301371;CC du Pays Foyen;37.6
243301389;CC Médullienne;23.4
243301397;CC du Fronsadais;25.7
243301405;CC du Val de l'Eyre;25.5
243301439;CC des Portes de l'Entre-Deux-Mers;26.8
243301447;CC Médoc Estuaire;23.4
243301454;CC Castillon/Pujols;34.9
243301504;CA du Bassin d'Arcachon Nord (COBAN);33.3
243400017;Montpellier Méditerranée Métropole;47.2
243400355;CC du Clermontais;35.2
243400470;CA du Pays de l'Or;43.6
243400488;CC la Domitienne;30.5
243400520;CA Lunel Agglo;31.1
243400694;CC Vallée de l'Hérault;28.4
243400736;CC des Cévennes Gangeoises et Suménoises;42.1
243400769;CA de Béziers-Méditerranée;41.3
243400819;CA Hérault-Méditerranée;38.9
243500139;Rennes Métropole;45.2
243500550;CC Montfort Communauté;28.4
243500618;CC Brocéliande Communauté;29.7
243500634;Roche aux Fées Communauté;30.7
243500659;CC Pays de Châteaugiron Communauté;27.6
243500667;CC Val d'Ille-Aubigné;26.5
243500725;CC Côte d'Emeraude;43.1
243500733;CC Bretagne Romantique;30.7
243500741;CA Redon Agglomération;36.6
243500774;CC Liffré-Cormier Communauté;26.4
243500782;CA du Pays de Saint Malo Agglomération;43.2
243600202;CC Chabris - Pays de Bazelle;40.1
243600236;CC du Pays d'Issoudun;42
243600293;CC Levroux Boischaut Champagne;37.9
243600301;CC Val de l'Indre - Brenne;38
243600319;CC Brenne - Val de Creuse;39.9
243600327;CA Châteauroux Métropole;42.6
243600343;CC Coeur de Brenne;41.5
243600350;CC de la Châtre et Sainte-Sévère;41.9
243700499;CC du Castelrenaudais;32.6
243700754;Tours Métropole Val de Loire;48.8
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;28.6
243800604;CA Porte de l'Isère (CAPI);33.4
243800745;CC de l'Oisans;40.7
243800935;CC Lyon-Saint-Exupéry en Dauphiné;24.1
243800984;CA du Pays Voironnais;33.8
243801024;CC du Massif du Vercors;35.8
243801073;CC de Bièvre Est;26.6
243801255;CC Collines Isère Nord Communauté;24.7
243900354;CC de la Station des Rousses-Haut Jura;37.7
243900420;CC du Val d'Amour;35.9
243900479;CC Haut-Jura Arcade Communauté;40.9
243900560;CC Jura Nord;30.2
243900610;CC la Grandvallière;32.7
243901089;CC de la Plaine Jurassienne;33.3
244000543;CC de Mimizan;40.2
244000659;CC du Seignanx;33
244000675;CA du Grand Dax;45.3
244000691;CC du Pays Morcenais;35.7
244000766;CC du Pays Tarusate;30.9
244000774;CC du Pays de Villeneuve en Armagnac Landais;32.7
244000808;CA Mont de Marsan Agglomération;40.9
244000824;CC du Pays Grenadois;29.2
244000857;CC Côte Landes Nature;35.9
244000865;CC Maremne Adour Côte Sud;36.4
244000873;CC des Grands Lacs;34.1
244000881;CC Coteaux et Vallées des Luys;31.2
244100293;CC des Collines du Perche;39.5
244100780;CC de la Sologne des Etangs;34.4
244100798;CC du Grand Chambord;30.8
244100806;CC de la Sologne des Rivières;39.6
244200614;CC des Vals d'Aix et Isable;34.2
244200622;CC des Monts du Pilat;32.1
244200630;CC du Pays Entre Loire et Rhône;29.9
244200770;Saint-Étienne Métropole;41.8
244200820;CC du Pays d'Urfé;36.7
244200895;CC du Pilat Rhodanien;31.1
244300307;CC Haut Pays du Velay;33.7
244301016;CC des Sucs;35.4
244301099;CC Auzon Communauté;40.2
244301107;CC du Haut Lignon;39.6
244301123;CC des Pays de Cayres et de Pradelles;40.1
244301131;CC Loire et Semène;30.2
244400404;Nantes Métropole;45.3
244400438;Grand Lieu Communauté;25
244400453;CC du Pays de Blain;30.9
244400503;CC d'Erdre et Gesvres;23
244400537;CC de Nozay;30.1
244400552;CC du Pays d'Ancenis;29.2
244400586;CC du Sud Estuaire;34.9
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);37.5
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);42.3
244500203;CA Montargoise et Rives du Loing (AME);40.2
244500211;CC Giennoises;36.6
244500419;CC des Quatre Vallées;32.1
244500427;CC des Loges;29.1
244500468;Orléans Métropole;41.9
244500484;CC de la Forêt;24.6
244500542;CC de la Plaine du Nord Loiret;29.3
244600433;CC de la Vallée du Lot et du Vignoble;39
244600482;CC Quercy - Bouriane;39.7
244600532;CC du Pays de Lalbenque-Limogne;35.4
244600573;CC du Causse de Labastide Murat;39.5
244700449;CC du Pays de Duras;34.8
244700464;CC du Pays de Lauzun;37.1
244701355;CC des Coteaux et Landes de Gascogne;36.5
244701405;CC Lot et Tolzac;34.9
244800405;CC Coeur de Lozère;46
244800470;CC du Gévaudan;41.2
244900015;CU Angers Loire Métropole;44.2
244900809;CC Anjou Bleu Communauté;34.8
244900882;CC Baugeois Vallée;31.6
245100615;CC de la Grande Vallée de la Marne;32.9
245100888;CC de la Brie Champenoise;33.6
245100979;CC du Sud Marnais;35.3
245200597;CC des Trois Forêts;34.9
245300223;CC du Pays de Meslay-Grez;29.9
245300355;CC de l'Ernée;33
245300389;CC du Bocage Mayennais;34.7
245300447;CC du Pays de Château-Gontier;34.5
245400171;CC Moselle et Madon;30.9
245400189;CC des Pays du Sel et du Vermois;33.4
245400262;Agglomération du Grand Longwy;37.3
245400510;CC du Pays de Colombey et du Sud Toulois;27.2
245400601;CC du Bassin de Pompey;32.3
245400676;Métropole du Grand Nancy;51.7
245400759;CC du Pays du Sanon;28.1
245500327;CC du Sammiellois;37.4
245501176;CC du Territoire de Fresnes-en-Woëvre;31.5
245501184;CC du Pays de Revigny-sur-Ornain;34.9
245501242;CC du Pays d'Étain;30.8
245501259;CC du Pays de Montmédy;36.2
245600440;CC Blavet Bellevue Océan;28.5
245600465;CC de Belle Ile en Mer;42.3
245614383;CC Questembert Communauté;32.6
245614417;CC Roi Morvan Communauté;41.3
245614433;CC Pontivy Communauté;38.2
245700133;CC du District Urbain de Faulquemont (DUF);30.3
245700372;CA de Forbach Porte de France;34
245700398;CC de Freyming-Merlebach;34.2
245700695;CC de Cattenom et Environs;30.3
245700950;CC du Pays de Phalsbourg;30.5
245701164;CC du Warndt;36.3
245701206;CC du Saulnois;32.8
245701222;CA du Val de Fensch;35.1
245701271;CC du Pays Orne Moselle;34.3
245701354;CC de l'Arc Mosellan;25.3
245701362;CA Portes de France-Thionville;41.6
245701404;CC du Pays Haut Val d'Alzette;36.9
245801063;CC Loire et Allier;28.8
245804406;CA de Nevers;46
245804497;CC du Nivernais Bourbonnais;37.5
245900428;CU de Dunkerque;37.3
245900758;CC Flandre Lys;26.9
245901038;CC du Pays Solesmois;29.1
245901152;CA Coeur d'Ostrevent;30.2
245901160;CA Valenciennes Métropole;38.2
246000129;CC du Liancourtois;30.4
246000376;CC du Clermontois;32.6
246000566;CC du Plateau Picard;28.8
246000582;CC des Sablons;26.4
246000707;CC du Vexin-Thelle;25.4
246000749;CC des Lisières de l'Oise;29.5
246000756;CC du Pays Noyonnais;32.9
246000764;CC de l'Aire Cantilienne;36.7
246000772;CC des Deux Vallées;30.6
246000848;CC de la Picardie Verte;30
246000855;CC du Pays des Sources;25.5
246000871;CC du Pays de Valois;28.9
246000897;CC de la Plaine d'Estrées;25
246000913;CC du Pays de Bray;27.2
246000921;CC des Pays d'Oise et d'Halatte;29.1
246100390;CC du Val d'Orne;31.7
246100663;CU d'Alençon;43
246200299;CA d'Hénin-Carvin;32
246200364;CA de Lens - Liévin;33.8
246200380;CC de la Terre des Deux Caps;26.1
246200729;CA du Boulonnais;38.1
246200844;CC de la Région d'Audruicq;23.7
246201016;CC du Pays de Lumbres;24.5
246300701;Clermont Auvergne Métropole;49.5
246300966;CC du Massif du Sancy;43.4
246301097;CC Entre Dore et Allier;29.2
246400337;CC de la Vallée d'Ossau;37.4
246401756;CC Pays de Nay;28.8
246500482;CC de la Haute-Bigorre;41.7
246500573;CC Aure Louron;41.8
246600282;CC Sud-Roussillon;37.7
246600373;CC du Vallespir;39.5
246600399;CC Pyrénées Cerdagne;39.4
246600415;CC Roussillon-Conflent;34.1
246600423;CC Agly Fenouillèdes;40.4
246600449;CC des Aspres;33.4
246600464;CC Pyrénées Catalanes;43.9
246600548;CC du Haut Vallespir;47.1
246700306;CC de la Vallée de la Bruche;32.2
246700488;Eurométropole de Strasbourg;43.7
246700744;CC des Portes de Rosheim;28.5
246700777;CC de la Vallée de Villé;29.4
246700843;CC de la Basse-Zorn;24.5
246700926;CC du Pays de Wissembourg;33.8
246700959;CC du Pays de la Zorn;23
246700967;CC de Sélestat;35
246701064;CC de la Région de Molsheim-Mutzig;30
246701080;CC du Pays de Sainte-Odile;36.8
246701098;CC du Pays de Niederbronn-les-Bains;27.3
246800205;CC de la Vallée de Saint-Amarin;34.4
246800395;CC du Val d'Argent;36.9
246800445;CC du Centre du Haut-Rhin;28.2
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;30
246800551;CC de la Vallée de Kaysersberg;34
246800569;CC de la Région de Guebwiller;34
246800577;CC du Pays de Ribeauvillé;32.1
246800585;CC de la Vallée de Munster;32.4
246800676;CC de la Vallée de la Doller et du Soultzbach;29.2
246800726;CA Colmar Agglomération;39.6
246900575;CC de l'Est Lyonnais (CCEL);22.7
246900625;CC du Pays de l'Arbresle (CCPA);29.4
246900724;CC des Vallons du Lyonnais (CCVL);27.8
246900740;CC du Pays Mornantais (COPAMO);25.8
246900757;CC de la Vallée du Garon (CCVG);30.6
246900765;CC du Pays de l'Ozon;26.2
247000011;CA de Vesoul;46.1
247000367;CC des Combes;32.9
247000623;CC des Quatre Rivières;37.1
247000664;CC du Pays de Lure;37.7
247000698;CC des Monts de Gy;32.9
247000706;CC du Pays Riolais;27.7
247000714;CC du Pays de Villersexel;34.9
247000722;CC du Pays d'Héricourt;34.7
247000755;CC du Pays de Luxeuil;42.7
247000821;CC Rahin et Chérimont;31.6
247000854;CC des 1000 étangs;36.7
247100290;CU Le Creusot Montceau-les-Mines;41.9
247100589;CA Le Grand Chalon;42
247100639;CC de Marcigny;37.1
247100647;CC Bresse Nord Intercom';37.6
247103765;CC Entre Saône et Grosne;34.5
247103864;CC de Semur en Brionnais;33.1
247104094;CC Sud Côte Chalonnaise;33.1
247200090;CC du Pays Sabolien;36.2
247200132;CU Le Mans Métropole;43.7
247200348;CC du Pays Fléchois;35.9
247200421;CC du Sud Est Manceau;24.7
247200447;CC Orée de Bercé - Belinois;27.5
247200629;CC du Val de Sarthe;26.1
247200686;Communauté de communes du Perche Emeraude;34.9
247300015;CC des Vallées d'Aigueblanche;37.4
247300254;CC de Haute-Tarentaise;40.9
247300262;CC de Yenne;32.3
247300361;CC du Canton de La Chambre;35.3
247300452;CC Maurienne Galibier;37.3
247300528;CC Val Guiers;33.9
247300668;CC du Lac d'Aiguebelette (CCLA);27.3
247300676;CC Porte de Maurienne;34.7
247300817;CC Les Versants d'Aime;35.8
247400047;CC de la Vallée Verte;29.9
247400112;CC du Pays de Cruseilles;29.3
247400567;CC Fier et Usses;26.1
247400583;CC Arve et Salève;31.2
247400617;CC des Vallées de Thônes;34.5
247400666;CC des Quatre Rivières;28.8
247400682;CC du Haut Chablais;33.3
247400690;CC du Genevois;37.5
247400724;CC du Pays Rochois;33.7
247400740;CC Rumilly Terre de Savoie;30.3
247400773;CC des Sources du Lac d'Annecy;35.1
247600505;CC Campagne-de-Caux;22.6
247600588;CC des Villes Soeurs;37.4
247600604;CC de Londinières;28
247600620;CC Yvetot Normandie;34.3
247600646;CC Caux - Austreberthe;32.4
247600729;CC Falaises du Talou;26.1
247600786;CA de la Région Dieppoise;44.2
247700032;CC Moret Seine et Loing;31.3
247700057;CA Melun Val de Seine;36.2
247700065;CC du Pays de l'Ourcq;26.9
247700107;CC Pays de Montereau;29.6
247700339;CA Val d'Europe Agglomération;30.4
247700594;CA Marne et Gondoire;33.5
247700644;CC l'Orée de la Brie;33.4
247700701;CC Brie Nangissienne;26.9
247800550;CC du Pays Houdanais (CCPH);26.8
247800584;CA Versailles Grand Parc (CAVGP);39.1
247800618;CC Coeur d'Yvelines;25.7
247900798;CC du Thouarsais;36.4
248000499;CC du Val de Somme;27.3
248000531;CA Amiens Métropole;46.5
248000747;CC du Pays du Coquelicot;32.9
248100158;CC du Sor et de l'Agout;30.2
248100430;CA de Castres Mazamet;41.6
248100497;CC Val 81;32.3
248100737;CA de l'Albigeois (C2A);44.6
248100745;CC Thoré Montagne Noire;35.3
248200016;CC des Deux Rives;33.8
248200057;CC du Quercy Caussadais;36.9
248200065;CC de la Lomagne Tarn-et-Garonnaise;33.3
248200099;CA Grand Montauban;37.6
248200107;Quercy Rouergue et des Gorges de l'Aveyron;41
248300394;CA Sud Sainte Baume;37.8
248300410;CC de la Vallée du Gapeau;30.9
248300493;Dracénie Provence Verdon Agglomération;35.1
248300543;Métropole Toulon-Provence-Méditerranée;43.4
248300550;CC Coeur du Var;31.1
248400053;CA Ventoux-Comtat-Venaissin (COVE);34.5
248400160;CC Aygues-Ouvèze en Provence (CCAOP);28.8
248400236;Pays d'Orange en Provence;38.6
248400251;CA du Grand Avignon (COGA);40.5
248400285;Communauté de Communes Sud Luberon;32.3
248400293;CA des Sorgues du Comtat;33.8
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;37.7
248400335;CC Vaison Ventoux;37.5
248500191;CC de l'Ile de Noirmoutier;41.5
248500258;CC Océan Marais de Monts;36.3
248500340;CC Pays de Chantonnay;30.4
248500415;CC du Pays de la Châtaigneraie;31.3
248500464;CC du Pays de Pouzauges;30.4
248500530;CC du Pays des Achards;26.6
248500563;CC Vendée, Sèvre, Autise;30.5
248500589;CA La Roche-sur-Yon - Agglomération;40.1
248500621;CC du Pays des Herbiers;32.6
248500662;CC du Pays de Mortagne;28.8
248600413;CA Grand Châtellerault;38
248600447;CC du Pays Loudunais;36.5
248700189;CC du Pays de Saint Yrieix;39.1
248719262;CC Gartempe - Saint Pardoux;38.4
248719288;CC du Val de Vienne;28.2
248719312;CU Limoges Métropole;48.6
248719338;CC Briance-Combade;40.4
248719353;CC des Portes de Vassivière;41.9
248719361;CC de Noblat;36.3
248900334;CA du Grand Sénonais;39.2
248900383;CC de l'Agglomération Migennoise;37.8
248900524;CC de l'Aillantais en Bourgogne;33.7
248900664;CC de la Vanne et du Pays d'Othe;33.7
248900748;CC du Gâtinais en Bourgogne;30.1
248900896;CC Yonne Nord;32.7
248900938;CC du Jovinien;40
249000241;CC du Sud Territoire;34.3
249100074;CC du Pays de Limours (CCPL);25.2
249100157;CC des 2 Vallées;30.2
249100546;CC du Val d'Essonne (CCVE);28.2
249100553;CC Entre Juine et Renarde (CCEJR);28.3
249100595;CC le Dourdannais en Hurepoix (CCDH);31.7
249500109;CA de Cergy-Pontoise;33.5
249500430;CC Sausseron Impressionnistes;26.4
249500455;CC de la Vallée de l'Oise et des Trois Forêts;31.6
249500489;CC du Haut Val d'Oise;30
249500513;CC du Vexin-Val de Seine;32
249710047;CC de Marie-Galante;46.5
249710062;CA du Nord Basse-Terre;34.8
249710070;CA Grand Sud Caraïbe;39.6
249720053;CA de l'Espace Sud de la Martinique;37.5
