Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de concentration de l'emploi 2022
200071140;CA Moulins Communauté;111.5
200071165;CA Les Sables d'Olonne Agglomération;102.4
200071173;CC du Pays Arnay Liernais;69.6
200071181;CC Somme Sud-Ouest;51.7
200071199;CC Plaine Limagne;43.9
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;74.9
200071215;CC Chavanon Combrailles et Volcans;68.2
200071223;CC Nièvre et Somme;49.9
200071298;CC des Terres du Lauragais;49.3
200071314;CC des Hauts-Tolosans;38.3
200071363;CA Vichy Communauté;103.2
200071371;CC Bresse et Saône;63.8
200071389;CC Saint-Pourçain Sioule Limagne;84.8
200071405;CC Ardèche Rhône Coiron;78
200071413;CA Privas Centre Ardèche;100.7
200071454;CA Evreux Portes de Normandie;108.7
200071470;CC Entr'Allier Besbre et Loire;76.2
200071496;CC du Bocage Bourbonnais;77
200071504;CC des Collines du Perche Normand;103.8
200071512;CC Commentry Montmarault Néris Communauté;84.2
200071520;CC Domfront Tinchebray Interco;80.5
200071538;CC Terres de Bresse;52.6
200071546;CC Sud Retz Atlantique;79.7
200071553;CC Loire Layon Aubance;61.2
200071579;CC Bresse Louhannaise Intercom';90.2
200071587;CC Loches Sud Touraine;83.7
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;107.2
200071629;CC Challans-Gois Communauté;94.5
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;66.4
200071652;CC du Pays Fertois et du Bocage Carrougien;62.5
200071678;CA Cholet Agglomération;120.6
200071751;CA du Bassin de Bourg-en-Bresse;102.4
200071769;CC Picardie des Châteaux;55.9
200071777;CC d'Arcis, Mailly, Ramerupt;101.6
200071785;CA Chauny Tergnier La Fère;78
200071819;CC du Périgord Nontronnais;98.4
200071827;CA du Grand Angoulême;116.1
200071843;CC du Vexin Normand;64.7
200071850;CC du Pithiverais-Gâtinais;67.3
200071868;CC des Vallées du Haut-Anjou;52.6
200071876;CA Saumur Val de Loire;96.5
200071884;CC Le Grand Charolais;95.8
200071892;CA du Saint-Quentinois;125.9
200071900;CC Vendée Grand Littoral;61.5
200071918;CC du Pays de Saint-Fulgent - Les Essarts;100.9
200071926;CC du Limouxin;92.4
200071934;CC du Pays de Fontenay-Vendée;100.5
200071942;CC Haut Limousin en Marche;92.9
200071967;CC Pays d'Evian Vallée d'Abondance;62
200071983;CC Thiérache Sambre et Oise;79.1
200071991;CC Retz en Valois;70.2
200072007;CC Montagne d'Ardèche;82.3
200072015;CA Annonay Rhône Agglo;94.7
200072023;CC Coeur de Charente;73.9
200072031;CA de la Région de Château-Thierry;82.1
200072049;CC de Charente Limousine;88.4
200072056;CC Porte du Jura;78.5
200072064;CC Val-de-Cher-Controis;86.8
200072072;CA Territoires Vendômois;98.5
200072080;CC du Pays de Saint-Eloy;89.2
200072098;CC Combrailles Sioule et Morge;63.1
200072106;CC Adour Madiran;72.8
200072130;CA du Pays de Meaux;73.5
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;99.4
200072312;CA Seine Normandie Agglomération;75.9
200072320;CC Val de Gers;55.3
200072346;CA du Pays de Fontainebleau;77.1
200072452;CA Fougères Agglomération;98.2
200072460;CA de Béthune-Bruay, Artois-Lys Romane;74.9
200072478;CC Pays d'Opale;49.2
200072544;CC des Deux Morin;45.4
200072635;CC Pyrénées Haut Garonnaises;84
200072643;CC Coeur et Coteaux du Comminges;107.4
200072650;CC Touraine Vallée de l'Indre;55.8
200072668;CC Touraine Val de Vienne;69.4
200072676;CC Maine Saosnois;76.4
200072684;CC Le Gesnois Bilurien;50.3
200072692;CC des Vallées de la Braye et de l'Anille;85
200072700;CC Haute Sarthe Alpes Mancelles;55.6
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;52.2
200072726;CC Châteaubriant-Derval;91.2
200072734;CC Estuaire et Sillon;65.3
200072825;CC Mirebellois et Fontenois;48.5
200072874;CC Val Briard;53.5
200072882;CC de Vie et Boulogne;72.2
200072981;CC Touraine Ouest Val de Loire;61.3
200072999;CC du Grand Langres;118.6
200073013;CC Carnelle Pays-de-France;41
200073096;CA Arche Agglo;81.1
200073104;CC de l'Ile-Rousse - Balagne;91.3
200073112;CC Sud Sarthe;62.3
200073120;CC Nebbiu - Conca d'Oro;65.1
200073138;CC Pasquale Paoli;64.1
200073146;CC Cagire Garonne Salat;64.6
200073161;CC Touraine-Est Vallées;59.8
200073237;CC de Gâtine-Racan;40.7
200073245;CC du Bassin d'Aubenas;110
200073252;CC de la Castagniccia-Casinca;61.5
200073260;CC Sud Vendée Littoral;83.6
200073344;CA Rambouillet Territoires;69.1
200073393;CC des Rives du Haut Allier;89.3
200073401;CC Mézenc-Loire-Meygal;60.8
200073419;CA du Puy-en-Velay;105.9
200073427;CC Marches du Velay-Rochebaron;78.1
200077014;CA Vienne Condrieu;82.9
200083392;CA Laval Agglomération;119.6
200084952;Le Havre Seine Métropole;114.7
200085728;CC Brioude Sud Auvergne;105.7
200085751;CC Entre Bièvre et Rhône;77.6
200089456;CA Seine-Eure;102.7
200090504;CA Coulommiers Pays de Brie;49.1
200090561;CC Vierzon-Sologne-Berry;96.8
200090579;CC Terre d'Émeraude Communauté;68.3
200090751;CA Grand Calais Terres et Mers;121.6
200093201;Métropole Européenne de Lille;114
200096634;CC des Hautes Vosges;85.1
200096642;CC Gérardmer Hautes Vosges;118.4
200096675;CC Baud Communauté;65.9
200096683;CC Centre Morbihan Communauté;92.2
200096956;CA Agglomération d'Agen;116.1
240100610;CC de la Côtière à Montluel;91.2
240100750;CA du Pays de Gex;37.1
240100800;CC de Miribel et du Plateau;108.3
240100883;CC de la Plaine de l'Ain;87.4
240100891;CC Terre Valserhône (CCTV);71.1
240200444;CC de la Thiérache du Centre;96.2
240200469;CC du Pays de la Serre;59
240200477;GrandSoissons Agglomération;113.5
240200493;CC du Pays du Vermandois;53.7
240200501;CC du Val de l'Aisne;44.8
240200519;CC du Canton d'Oulchy-le-Château;41.9
240200576;CC de la Champagne Picarde;57.2
240200584;CC du Canton de Charly-sur-Marne;51.2
240200592;CC du Chemin des Dames;41.5
240200600;CC des Trois Rivières;90.7
240200634;CC des Portes de la Thiérache;80.3
240300491;CC du Pays de Lapalisse;83.7
240300558;CC du Pays de Tronçais;84.4
240300566;CC du Val de Cher;47.7
240300657;CC du Pays d'Huriel;35.5
240400440;CC Pays Forcalquier et Montagne de Lure;91.4
240500439;CC du Briançonnais;115.7
240500462;CC du Pays des Ecrins;69.2
240600551;CA de la Riviera Française;52.6
240600585;CA de Sophia Antipolis;105.8
240600593;CC du Pays des Paillons;43.4
240700302;CC du Pays Beaume-Drobie;93.7
240700617;CC Val de Ligne;79.4
240700716;CC du Val d'Ay;34
240700815;CC Berg et Coiron;62.1
240700864;CC du Rhône aux Gorges de l'Ardèche;55.1
240800821;CC Ardenne, Rives de Meuse;92.3
240800847;CC des Portes du Luxembourg;62.7
240800862;CC des Crêtes Préardennaises;46.5
240800920;CC de l'Argonne Ardennaise;88.7
240900431;CC du Pays de Tarascon;78.3
240900464;CC du Pays d'Olmes;94
241000223;CC Forêts, Lacs, Terres en Champagne;42
241000405;CC de la Région de Bar sur Aube;117
241000447;CC du Pays d'Othe;52.8
241000488;CC de l'Orvin et de l'Ardusson;40.8
241100593;CA Le Grand Narbonne;100.8
241200187;CA Rodez Agglomération;142.4
241200542;CC du Réquistanais;100.4
241200567;CC de Millau Grands Causses;98.7
241200625;CC du Pays Rignacois;61.9
241200641;CC Conques-Marcillac;57.3
241200658;CC du Pays de Salars;51.1
241200674;CC du Plateau de Montbazens;51.2
241200765;CC de Lévézou Pareloup;82.9
241200807;CC Aveyron Bas Ségala Viaur;83.3
241200906;CC Larzac et Vallées;102.4
241200914;CC de la Muse et des Raspes du Tarn;67.4
241300375;CC Vallée des Baux-Alpilles (CC VBA);94.2
241300417;CA d'Arles-Crau-Camargue-Montagnette;107.1
241400415;CC Coeur Côte Fleurie;156.7
241400514;CC du Pays de Falaise;67.5
241400555;CC de Bayeux Intercom;115.1
241400860;CC Coeur de Nacre;59.1
241400878;CC Terre d'Auge;68.9
241500230;Aurillac Agglomération;116.8
241500255;CC du Pays Gentiane;99.4
241500271;CC du Pays de Mauriac;113.8
241501055;CC Sumène - Artense;70.3
241501089;CC Cère et Goul en Carladès;67.9
241501139;CC du Pays de Salers;74.3
241600303;CC du Rouillacais;66.2
241700434;CA de La Rochelle;118.9
241700459;CC de l'Ile de Ré;110.3
241700517;CC Coeur de Saintonge;44.9
241700624;CC de l'Ile d'Oléron;106.8
241700632;CC de Gémozac et de la Saintonge Viticole;50.4
241700640;CA Royan Atlantique;100.7
241700699;CC du Bassin de Marennes;79.1
241800374;CC la Septaine;82.6
241800424;CC le Dunois;58.3
241800432;CC les Trois Provinces;95.3
241800457;CC FerCher;56.5
241800507;CA Bourges Plus;133.8
241900133;CC de Ventadour - Egletons - Monédières;93.5
241927201;CA Tulle Agglo;104
241927243;CC du Pays d'Uzerche;85.5
242000354;CA de Bastia;121.3
242000495;CC de l'Alta Rocca;66.5
242000503;CC Celavu-Prunelli;32.5
242010056;CA du Pays Ajaccien;114.7
242010130;CC du Sartenais Valinco Taravo;100.5
242020071;CC du Centre Corse;121
242020105;CC de Calvi Balagne;100.2
242100154;CC des Vallées de la Tille et de l'Ignon;64.9
242100410;Dijon Métropole;131.4
242101434;CC du Pays Châtillonnais;89
242101442;CC de Saulieu-Morvan;108.7
242101459;CC du Pays d'Alésia et de la Seine;80.5
242101491;CC du Montbardois;105
242101509;CC Rives de Saône;47.9
242200715;CC du Kreiz-Breizh (CCKB);96.5
242300135;CC du Pays Sostranien;117.2
242320000;CC de Bénévent Grand Bourg;66.3
242320109;CC du Pays Dunois;73.8
242400752;CC Périgord-Limousin;82.9
242400935;CC du Pays de Saint Aulaye;96.8
242401024;CC Isle-Loue-Auvézère en Périgord;80.6
242500320;CC Entre Doubs et Loue;33
242500338;CC du Grand Pontarlier;107
242500361;CU Grand Besançon Métropole;120.8
242504116;CC du Val de Morteau;60.6
242504181;CC des Portes du Haut-Doubs;74.9
242504355;CC du Plateau de Russey;41.1
242504371;CC du Pays de Sancey-Belleherbe;52.7
242504447;CC du Doubs Baumois;72.2
242504488;CC Altitude 800;58.4
242504496;CC du Plateau de Frasne et du Val de Drugeon;44.9
242600252;CC du Val de Drôme en Biovallée;71
242600492;CC Dieulefit-Bourdeaux;81.3
242600534;CC du Diois;99.3
242700276;CC du Pays de Conches;38.6
242700607;CC du Pays du Neubourg;65
242852465;CC du Bonnevalais;66.6
242900074;CC du Pays d'Iroise;52.2
242900314;Brest Métropole;130.3
242900553;CC du Pays des Abers;53.3
242900561;CC de Haute Cornouaille;77.1
242900629;CC Cap Sizun - Pointe du Raz;75.8
242900645;CC Douarnenez Communauté;111.1
242900660;CC du Pays Fouesnantais;79.3
242900694;CA Quimperlé Communauté;79.5
242900702;CC du Pays Bigouden Sud;78.3
242900710;CC du Haut Pays Bigouden;53.6
242900744;CC Poher Communauté;123.3
242900751;CC du Pays de Landivisiau;86.9
242900769;CA Concarneau Cornouaille Agglomération;83.5
242900793;CC Communauté Lesneven Côte des Légendes;74.9
242900801;CA du Pays de Landerneau-Daoulas;80
242900835;CA Morlaix Communauté;100.8
243000270;CC du Pays Viganais;101
243000296;CC du Pays de Sommières;53.1
243000569;CC Rhony, Vistre, Vidourle;68.8
243000585;CC Beaucaire Terre d'Argence;63.1
243000593;CC de Petite Camargue;72.6
243000643;CA de Nîmes Métropole;110.1
243000650;CC Terre de Camargue;92.9
243000684;CC du Pont du Gard;67.6
243100518;Toulouse Métropole;134.4
243100567;CC Aux sources du Canal du Midi;87.2
243100633;CA du Sicoval;94.7
243100732;CC des Coteaux du Girou;35.7
243100773;CC Val'Aïgo;62.1
243100781;Le Grand Ouest Toulousain agglomération;42.1
243100815;CC des Coteaux Bellevue;43.9
243200391;CC de la Lomagne Gersoise;86.2
243200409;CC du Bas Armagnac;100.4
243200417;CC de la Tenarèze;99
243200425;CC Coeur d'Astarac en Gascogne;112.3
243200458;CC du Grand Armagnac;95.2
243200508;CC Bastides et Vallons du Gers;88.8
243200599;CC du Saves;67.9
243200607;CC Artagnan de Fezensac;75.4
243300316;Bordeaux Métropole;122.2
243300563;CA Bassin d'Arcachon Sud (COBAS);100
243300811;CC de l'Estuaire;110.1
243301165;CC Jalle-Eau-Bourde;143.7
243301181;CC Latitude Nord Gironde;39.9
243301215;CC du Créonnais;46.6
243301223;CC du Grand Cubzaguais;54.5
243301249;CC Les Rives de la Laurence;100.1
243301264;CC de Montesquieu;62.1
243301355;CC les Coteaux Bordelais;64.9
243301371;CC du Pays Foyen;106.3
243301389;CC Médullienne;42.9
243301397;CC du Fronsadais;42.5
243301405;CC du Val de l'Eyre;56.2
243301439;CC des Portes de l'Entre-Deux-Mers;58.9
243301447;CC Médoc Estuaire;46
243301454;CC Castillon/Pujols;76.6
243301504;CA du Bassin d'Arcachon Nord (COBAN);67
243400017;Montpellier Méditerranée Métropole;118.3
243400355;CC du Clermontais;82.4
243400470;CA du Pays de l'Or;110.9
243400488;CC la Domitienne;63.5
243400520;CA Lunel Agglo;68.8
243400694;CC Vallée de l'Hérault;47.7
243400736;CC des Cévennes Gangeoises et Suménoises;69
243400769;CA de Béziers-Méditerranée;127.7
243400819;CA Hérault-Méditerranée;90.5
243500139;Rennes Métropole;132.3
243500550;CC Montfort Communauté;61.4
243500618;CC Brocéliande Communauté;51.3
243500634;Roche aux Fées Communauté;65
243500659;CC Pays de Châteaugiron Communauté;81.9
243500667;CC Val d'Ille-Aubigné;51.8
243500725;CC Côte d'Emeraude;98.9
243500733;CC Bretagne Romantique;62.8
243500741;CA Redon Agglomération;81.8
243500774;CC Liffré-Cormier Communauté;63.6
243500782;CA du Pays de Saint Malo Agglomération;113.2
243600202;CC Chabris - Pays de Bazelle;85.4
243600236;CC du Pays d'Issoudun;116.1
243600293;CC Levroux Boischaut Champagne;54.9
243600301;CC Val de l'Indre - Brenne;67.1
243600319;CC Brenne - Val de Creuse;99
243600327;CA Châteauroux Métropole;127.2
243600343;CC Coeur de Brenne;71.5
243600350;CC de la Châtre et Sainte-Sévère;91.8
243700499;CC du Castelrenaudais;74
243700754;Tours Métropole Val de Loire;129.8
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;48.4
243800604;CA Porte de l'Isère (CAPI);114.4
243800745;CC de l'Oisans;113.5
243800935;CC Lyon-Saint-Exupéry en Dauphiné;52.8
243800984;CA du Pays Voironnais;84.1
243801024;CC du Massif du Vercors;70.5
243801073;CC de Bièvre Est;58.3
243801255;CC Collines Isère Nord Communauté;51.6
243900354;CC de la Station des Rousses-Haut Jura;44.5
243900420;CC du Val d'Amour;58.8
243900479;CC Haut-Jura Arcade Communauté;70.4
243900560;CC Jura Nord;34.1
243900610;CC la Grandvallière;50.5
243901089;CC de la Plaine Jurassienne;37.3
244000543;CC de Mimizan;94.7
244000659;CC du Seignanx;73.2
244000675;CA du Grand Dax;118.3
244000691;CC du Pays Morcenais;87.1
244000766;CC du Pays Tarusate;73.6
244000774;CC du Pays de Villeneuve en Armagnac Landais;44.3
244000808;CA Mont de Marsan Agglomération;132.1
244000824;CC du Pays Grenadois;54.3
244000857;CC Côte Landes Nature;109.5
244000865;CC Maremne Adour Côte Sud;85.4
244000873;CC des Grands Lacs;75.6
244000881;CC Coteaux et Vallées des Luys;60.3
244100293;CC des Collines du Perche;88.5
244100780;CC de la Sologne des Etangs;50.9
244100798;CC du Grand Chambord;64.3
244100806;CC de la Sologne des Rivières;85.4
244200614;CC des Vals d'Aix et Isable;71.8
244200622;CC des Monts du Pilat;52.1
244200630;CC du Pays Entre Loire et Rhône;56
244200770;Saint-Étienne Métropole;113.1
244200820;CC du Pays d'Urfé;78.3
244200895;CC du Pilat Rhodanien;56.5
244300307;CC Haut Pays du Velay;90.3
244301016;CC des Sucs;81.6
244301099;CC Auzon Communauté;71.2
244301107;CC du Haut Lignon;87.4
244301123;CC des Pays de Cayres et de Pradelles;71.6
244301131;CC Loire et Semène;52.6
244400404;Nantes Métropole;127.2
244400438;Grand Lieu Communauté;65.5
244400453;CC du Pays de Blain;71.6
244400503;CC d'Erdre et Gesvres;51.5
244400537;CC de Nozay;54.2
244400552;CC du Pays d'Ancenis;87.4
244400586;CC du Sud Estuaire;71.5
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);86.6
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);126
244500203;CA Montargoise et Rives du Loing (AME);116.1
244500211;CC Giennoises;121.4
244500419;CC des Quatre Vallées;49.7
244500427;CC des Loges;55.9
244500468;Orléans Métropole;124.4
244500484;CC de la Forêt;42.9
244500542;CC de la Plaine du Nord Loiret;35.6
244600433;CC de la Vallée du Lot et du Vignoble;87.8
244600482;CC Quercy - Bouriane;100.2
244600532;CC du Pays de Lalbenque-Limogne;51.8
244600573;CC du Causse de Labastide Murat;75.5
244700449;CC du Pays de Duras;76.6
244700464;CC du Pays de Lauzun;79.3
244701355;CC des Coteaux et Landes de Gascogne;78.6
244701405;CC Lot et Tolzac;68.5
244800405;CC Coeur de Lozère;133.9
244800470;CC du Gévaudan;111.4
244900015;CU Angers Loire Métropole;119.7
244900809;CC Anjou Bleu Communauté;90.3
244900882;CC Baugeois Vallée;71.8
245100615;CC de la Grande Vallée de la Marne;87
245100888;CC de la Brie Champenoise;91.2
245100979;CC du Sud Marnais;79.7
245200597;CC des Trois Forêts;55.5
245300223;CC du Pays de Meslay-Grez;59.5
245300355;CC de l'Ernée;69.4
245300389;CC du Bocage Mayennais;91.8
245300447;CC du Pays de Château-Gontier;94.4
245400171;CC Moselle et Madon;58.4
245400189;CC des Pays du Sel et du Vermois;63.7
245400262;Agglomération du Grand Longwy;51.1
245400510;CC du Pays de Colombey et du Sud Toulois;62.8
245400601;CC du Bassin de Pompey;75.8
245400676;Métropole du Grand Nancy;137.2
245400759;CC du Pays du Sanon;35.3
245500327;CC du Sammiellois;88.1
245501176;CC du Territoire de Fresnes-en-Woëvre;44.6
245501184;CC du Pays de Revigny-sur-Ornain;86.5
245501242;CC du Pays d'Étain;75.8
245501259;CC du Pays de Montmédy;47.1
245600440;CC Blavet Bellevue Océan;64.4
245600465;CC de Belle Ile en Mer;96.9
245614383;CC Questembert Communauté;66.4
245614417;CC Roi Morvan Communauté;88.9
245614433;CC Pontivy Communauté;109.3
245700133;CC du District Urbain de Faulquemont (DUF);75.6
245700372;CA de Forbach Porte de France;66.6
245700398;CC de Freyming-Merlebach;76.4
245700695;CC de Cattenom et Environs;39.6
245700950;CC du Pays de Phalsbourg;65.3
245701164;CC du Warndt;87.1
245701206;CC du Saulnois;62.9
245701222;CA du Val de Fensch;62.5
245701271;CC du Pays Orne Moselle;47.7
245701354;CC de l'Arc Mosellan;26
245701362;CA Portes de France-Thionville;78.5
245701404;CC du Pays Haut Val d'Alzette;22.5
245801063;CC Loire et Allier;52.9
245804406;CA de Nevers;131.4
245804497;CC du Nivernais Bourbonnais;57.9
245900428;CU de Dunkerque;119.1
245900758;CC Flandre Lys;76
245901038;CC du Pays Solesmois;49.7
245901152;CA Coeur d'Ostrevent;51.7
245901160;CA Valenciennes Métropole;118.1
246000129;CC du Liancourtois;56.4
246000376;CC du Clermontois;75.1
246000566;CC du Plateau Picard;46.2
246000582;CC des Sablons;63.8
246000707;CC du Vexin-Thelle;48
246000749;CC des Lisières de l'Oise;61.2
246000756;CC du Pays Noyonnais;77.4
246000764;CC de l'Aire Cantilienne;69.8
246000772;CC des Deux Vallées;64.8
246000848;CC de la Picardie Verte;62.5
246000855;CC du Pays des Sources;45.6
246000871;CC du Pays de Valois;56.1
246000897;CC de la Plaine d'Estrées;73.6
246000913;CC du Pays de Bray;34.1
246000921;CC des Pays d'Oise et d'Halatte;55.2
246100390;CC du Val d'Orne;79.7
246100663;CU d'Alençon;127.6
246200299;CA d'Hénin-Carvin;92.8
246200364;CA de Lens - Liévin;84.9
246200380;CC de la Terre des Deux Caps;59
246200729;CA du Boulonnais;111.3
246200844;CC de la Région d'Audruicq;31.8
246201016;CC du Pays de Lumbres;51.5
246300701;Clermont Auvergne Métropole;137.8
246300966;CC du Massif du Sancy;119.8
246301097;CC Entre Dore et Allier;51.4
246400337;CC de la Vallée d'Ossau;76.1
246401756;CC Pays de Nay;75.4
246500482;CC de la Haute-Bigorre;95.9
246500573;CC Aure Louron;112.4
246600282;CC Sud-Roussillon;57.7
246600373;CC du Vallespir;90.6
246600399;CC Pyrénées Cerdagne;83.9
246600415;CC Roussillon-Conflent;56.8
246600423;CC Agly Fenouillèdes;90.5
246600449;CC des Aspres;61.1
246600464;CC Pyrénées Catalanes;117.3
246600548;CC du Haut Vallespir;100.1
246700306;CC de la Vallée de la Bruche;66.9
246700488;Eurométropole de Strasbourg;123.6
246700744;CC des Portes de Rosheim;52.7
246700777;CC de la Vallée de Villé;53.4
246700843;CC de la Basse-Zorn;73.5
246700926;CC du Pays de Wissembourg;85.3
246700959;CC du Pays de la Zorn;43.4
246700967;CC de Sélestat;100.4
246701064;CC de la Région de Molsheim-Mutzig;115.2
246701080;CC du Pays de Sainte-Odile;120.9
246701098;CC du Pays de Niederbronn-les-Bains;91.8
246800205;CC de la Vallée de Saint-Amarin;54.5
246800395;CC du Val d'Argent;106.4
246800445;CC du Centre du Haut-Rhin;75.1
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;93.7
246800551;CC de la Vallée de Kaysersberg;70.9
246800569;CC de la Région de Guebwiller;67.5
246800577;CC du Pays de Ribeauvillé;80.2
246800585;CC de la Vallée de Munster;59.5
246800676;CC de la Vallée de la Doller et du Soultzbach;71.7
246800726;CA Colmar Agglomération;122.2
246900575;CC de l'Est Lyonnais (CCEL);138.2
246900625;CC du Pays de l'Arbresle (CCPA);68.9
246900724;CC des Vallons du Lyonnais (CCVL);53.7
246900740;CC du Pays Mornantais (COPAMO);53.9
246900757;CC de la Vallée du Garon (CCVG);122.5
246900765;CC du Pays de l'Ozon;78
247000011;CA de Vesoul;166.2
247000367;CC des Combes;51.6
247000623;CC des Quatre Rivières;73.2
247000664;CC du Pays de Lure;96.5
247000698;CC des Monts de Gy;66.1
247000706;CC du Pays Riolais;40
247000714;CC du Pays de Villersexel;52.4
247000722;CC du Pays d'Héricourt;60.5
247000755;CC du Pays de Luxeuil;120.4
247000821;CC Rahin et Chérimont;41.1
247000854;CC des 1000 étangs;59.4
247100290;CU Le Creusot Montceau-les-Mines;101.1
247100589;CA Le Grand Chalon;119.3
247100639;CC de Marcigny;83.7
247100647;CC Bresse Nord Intercom';67.8
247103765;CC Entre Saône et Grosne;46.3
247103864;CC de Semur en Brionnais;44.2
247104094;CC Sud Côte Chalonnaise;53.2
247200090;CC du Pays Sabolien;144.3
247200132;CU Le Mans Métropole;143.2
247200348;CC du Pays Fléchois;82.6
247200421;CC du Sud Est Manceau;53.6
247200447;CC Orée de Bercé - Belinois;41.5
247200629;CC du Val de Sarthe;49.4
247200686;Communauté de communes du Perche Emeraude;103.7
247300015;CC des Vallées d'Aigueblanche;79
247300254;CC de Haute-Tarentaise;129.5
247300262;CC de Yenne;46.8
247300361;CC du Canton de La Chambre;67.3
247300452;CC Maurienne Galibier;99.8
247300528;CC Val Guiers;78.4
247300668;CC du Lac d'Aiguebelette (CCLA);43.2
247300676;CC Porte de Maurienne;56.2
247300817;CC Les Versants d'Aime;98.1
247400047;CC de la Vallée Verte;30.6
247400112;CC du Pays de Cruseilles;44.6
247400567;CC Fier et Usses;43.1
247400583;CC Arve et Salève;37
247400617;CC des Vallées de Thônes;89.6
247400666;CC des Quatre Rivières;42.4
247400682;CC du Haut Chablais;92
247400690;CC du Genevois;43.5
247400724;CC du Pays Rochois;63.5
247400740;CC Rumilly Terre de Savoie;64.4
247400773;CC des Sources du Lac d'Annecy;80.1
247600505;CC Campagne-de-Caux;36.3
247600588;CC des Villes Soeurs;102.5
247600604;CC de Londinières;51
247600620;CC Yvetot Normandie;96.9
247600646;CC Caux - Austreberthe;81.8
247600729;CC Falaises du Talou;54.9
247600786;CA de la Région Dieppoise;147.4
247700032;CC Moret Seine et Loing;45.4
247700057;CA Melun Val de Seine;89.3
247700065;CC du Pays de l'Ourcq;38.8
247700107;CC Pays de Montereau;86.2
247700339;CA Val d'Europe Agglomération;129.6
247700594;CA Marne et Gondoire;77.4
247700644;CC l'Orée de la Brie;90.7
247700701;CC Brie Nangissienne;53.3
247800550;CC du Pays Houdanais (CCPH);53.7
247800584;CA Versailles Grand Parc (CAVGP);107.9
247800618;CC Coeur d'Yvelines;53.1
247900798;CC du Thouarsais;94.3
248000499;CC du Val de Somme;55
248000531;CA Amiens Métropole;143.8
248000747;CC du Pays du Coquelicot;82.4
248100158;CC du Sor et de l'Agout;60.7
248100430;CA de Castres Mazamet;120.2
248100497;CC Val 81;71.7
248100737;CA de l'Albigeois (C2A);127.6
248100745;CC Thoré Montagne Noire;92.3
248200016;CC des Deux Rives;92
248200057;CC du Quercy Caussadais;80.9
248200065;CC de la Lomagne Tarn-et-Garonnaise;90.9
248200099;CA Grand Montauban;132.8
248200107;Quercy Rouergue et des Gorges de l'Aveyron;92.1
248300394;CA Sud Sainte Baume;73.6
248300410;CC de la Vallée du Gapeau;78.3
248300493;Dracénie Provence Verdon Agglomération;87.6
248300543;Métropole Toulon-Provence-Méditerranée;106.3
248300550;CC Coeur du Var;66.9
248400053;CA Ventoux-Comtat-Venaissin (COVE);85.1
248400160;CC Aygues-Ouvèze en Provence (CCAOP);52.2
248400236;Pays d'Orange en Provence;106.9
248400251;CA du Grand Avignon (COGA);123.4
248400285;Communauté de Communes Sud Luberon;45.7
248400293;CA des Sorgues du Comtat;83.4
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;84.7
248400335;CC Vaison Ventoux;102.2
248500191;CC de l'Ile de Noirmoutier;119.1
248500258;CC Océan Marais de Monts;89.6
248500340;CC Pays de Chantonnay;83.4
248500415;CC du Pays de la Châtaigneraie;103.3
248500464;CC du Pays de Pouzauges;87.3
248500530;CC du Pays des Achards;72
248500563;CC Vendée, Sèvre, Autise;58
248500589;CA La Roche-sur-Yon - Agglomération;137.6
248500621;CC du Pays des Herbiers;126.8
248500662;CC du Pays de Mortagne;85.2
248600413;CA Grand Châtellerault;96.9
248600447;CC du Pays Loudunais;78.4
248700189;CC du Pays de Saint Yrieix;103.1
248719262;CC Gartempe - Saint Pardoux;52.2
248719288;CC du Val de Vienne;42.7
248719312;CU Limoges Métropole;124.5
248719338;CC Briance-Combade;61.9
248719353;CC des Portes de Vassivière;94.2
248719361;CC de Noblat;55.2
248900334;CA du Grand Sénonais;114.6
248900383;CC de l'Agglomération Migennoise;87.3
248900524;CC de l'Aillantais en Bourgogne;39.6
248900664;CC de la Vanne et du Pays d'Othe;45
248900748;CC du Gâtinais en Bourgogne;59.5
248900896;CC Yonne Nord;36.4
248900938;CC du Jovinien;102.8
249000241;CC du Sud Territoire;50.9
249100074;CC du Pays de Limours (CCPL);49.5
249100157;CC des 2 Vallées;52.4
249100546;CC du Val d'Essonne (CCVE);45.5
249100553;CC Entre Juine et Renarde (CCEJR);49
249100595;CC le Dourdannais en Hurepoix (CCDH);59.2
249500109;CA de Cergy-Pontoise;99.5
249500430;CC Sausseron Impressionnistes;52.8
249500455;CC de la Vallée de l'Oise et des Trois Forêts;48.9
249500489;CC du Haut Val d'Oise;59.9
249500513;CC du Vexin-Val de Seine;56.5
249710047;CC de Marie-Galante;100.1
249710062;CA du Nord Basse-Terre;60.1
249710070;CA Grand Sud Caraïbe;95.4
249720053;CA de l'Espace Sud de la Martinique;69.2
249720061;CA du Centre de la Martinique;136.7
