Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200066223;CC Arize Lèze;65.4
200066231;CC des Portes d'Ariège Pyrénées;50.8
200066280;CC du Pithiverais;45.8
200066322;CC Terres des Confluences;49.8
200066330;CC Terres du Haut Berry;47.2
200066348;CC du Minervois au Caroux;62.3
200066355;CA Sète Agglopôle Méditerranée;50.4
200066363;CC de la Haute Ariège;71.5
200066371;CC Causses et Vallée de la Dordogne;63
200066389;CA Saint-Lô Agglo;43.9
200066405;CC Roumois Seine;46.3
200066413;CC Intercom Bernay Terres de Normandie;46.9
200066462;CC Interco Normandie Sud Eure;43.1
200066512;CC Élan Limousin Avenir Nature;51.2
200066520;CC Ouest Limousin;61.9
200066553;CC du Haut-Languedoc;74.1
200066561;CC Sidobre Vals et Plateaux;58.2
200066587;CC des Monts du Lyonnais;44
200066603;CC du Pays de Lubersac-Pompadour;58.6
200066637;CC Hautes Terres;77.7
200066645;CC Vézère-Monédières-Millesources;63.7
200066652;CC Grand Sud Tarn-et-Garonne;52.2
200066660;CC de Saint-Flour;71.6
200066678;CC de la Châtaigneraie Cantalienne;69.7
200066710;CC Cingal-Suisse Normande;48.8
200066728;CC Vallées de l'Orne et de l'Odon;43.6
200066744;CC Haute-Corrèze Communauté;65.3
200066751;CC Xaintrie Val'Dordogne;69.8
200066769;CC Midi Corrézien;68.7
200066777;Ploërmel Communauté;57.1
200066785;CC de l'Oust à Brocéliande;49.5
200066793;CA du Grand Annecy;36.2
200066801;CC Isigny-Omaha Intercom;53.2
200066819;CC du Volvestre;46.7
200066827;CC du Pays de Honfleur-Beuzeville;43.6
200066835;CC de Sézanne-Sud Ouest Marnais;56.5
200066850;CC des Paysages de la Champagne;50.4
200066868;CC Presqu'île de Crozon-Aulne maritime;51.5
200066876;CA de Châlons-en-Champagne;37.8
200066884;CC Quercy Vert-Aveyron;49.5
200066892;CC de Vendeuvre-Soulaines;58.6
200066918;CA Alès Agglomération;44.5
200066926;CA Grand Auch Coeur de Gascogne;46.7
200066975;CC Senlis Sud Oise;44.4
200067023;CC Coutances Mer et Bocage;51.2
200067031;CC Côte Ouest Centre Manche;47.4
200067049;CC Spelunca-Liamone;66.2
200067064;CC Decazeville Communauté;51.7
200067072;CC Haut-Léon Communauté;51
200067080;CC Chablis Villages et Terroirs;51
200067106;CA du Pays Basque;50.6
200067114;CA de l'Auxerrois;44.8
200067122;CC du Pays de Lafrançaise;58.8
200067130;CC de Puisaye-Forterre;56.7
200067155;CC Saint Affricain, Roquefort, Sept Vallons;63.5
200067163;CC Monts, Rance et Rougier;69.1
200067171;CC Aubrac Carladez Viadène;70.9
200067189;CC Creuse Sud Ouest;63.7
200067197;CC Monts d'Arrée Communauté;56.6
200067205;CA du Cotentin;41.8
200067213;CU du Grand Reims;38
200067239;CC des Luys en Béarn;58.6
200067247;CC Pleyben-Châteaulin-Porzay;55.3
200067254;CA Pau Béarn Pyrénées;43.2
200067262;CC du Haut Béarn;61.5
200067288;CC du Béarn des Gaves;64.7
200067296;CC du Nord Est Béarn;54.8
200067304;CC Serein et Armance;44.2
200067320;CC Serre-Ponçon Val d'Avance;55.3
200067346;CA Pornic Agglo Pays de Retz;43.1
200067361;CC Grand-Figeac;57.4
200067379;CC Côtes de Champagne et Val de Saulx;55.7
200067429;CC Haut Nivernais - Val d'Yonne;62
200067437;CA Provence-Alpes-Agglomération;56.3
200067445;CC Buëch-Dévoluy;66.2
200067452;CC du Guillestrois et du Queyras;69.6
200067460;CC Loudéac Communauté - Bretagne Centre;60.6
200067478;CC Comtal Lot et Truyère;58.1
200067486;CC Bouzonvillois-Trois Frontières;56.5
200067502;CA Saint-Avold Synergie;49.1
200067544;CC Creuse Confluence;62.4
200067551;CA Thonon Agglomération;40.3
200067593;CC Marche et Combraille en Aquitaine;63.8
200067627;CC Billom Communauté;52.7
200067635;CA Clisson Sèvre et Maine Agglo;45
200067643;CC Meurthe Mortagne Moselle;54.5
200067650;CC Houve - Pays Boulageois;47.8
200067668;CC de la Cléry, du Betz et de l'Ouanne;49.5
200067676;CC Canaux et Forêts en Gâtinais;50.7
200067684;CA Epernay, Coteaux et Plaine de Champagne;38.2
200067692;CC Tannay-Brinon-Corbigny;70
200067700;CC Sud Nivernais;52.1
200067742;CC Serre-Ponçon;62.2
200067759;CC Vallées et Plateau d'Ardenne;53.4
200067767;CC du Royans-Vercors;62
200067783;CC de Hanau-La Petite Pierre;49.6
200067791;CA L'Agglo Foix-Varilhes;53.5
200067817;CC Saône-Beaujolais;40.8
200067825;CA Gap-Tallard-Durance;40.8
200067841;CC de l'Alsace Bossue;51.5
200067866;CC Sèvre et Loire;41.8
200067874;CA de Haguenau;38.2
200067882;CC Bazois Loire Morvan;67.2
200067890;CC Morvan Sommets et Grands Lacs;63.6
200067908;CC Amognes Coeur du Nivernais;62.8
200067916;CC Coeur de Loire;53.4
200067924;CC du Canton d'Erstein;36.8
200067932;CA Golfe du Morbihan - Vannes Agglomération;44.5
200067940;CC Couserans-Pyrénées;64.6
200067957;CC Haut Chemin - Pays de Pange;45
200067965;CA de la Région de Compiègne et de la Basse Automne;43.1
200067973;CC Thelloise;46.8
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;57
200067999;CA du Beauvaisis;43.2
200068005;CC de l'Oise Picarde;54.5
200068047;CA Creil Sud Oise;39
200068070;CC Loue-Lison;62.2
200068088;CC Les Bertranges;54.4
200068096;CC Champsaur-Valgaudemar;66
200068104;CA de la Provence Verte;44.7
200068112;CC du Pays de Saverne;46.9
200068120;CA Quimper Bretagne Occidentale;43.2
