Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200041416;CC Airvaudais-Val du Thouet;61.9
200041440;CC de Domme- Villefranche du Périgord;68
200041465;CC Val Eyrieux;55
200041499;CC Aunis Atlantique;48.5
200041507;CA La Riviéra du Levant;41.5
200041515;CC du Bassin de Pont-à-Mousson;40.1
200041523;CC de la Haute Saintonge;52.8
200041556;CC Portes de la Creuse en Marche;65
200041572;CC Dronne et Belle;58
200041614;CC Aunis Sud;45.6
200041622;CC Ardennes Thiérache;63.2
200041630;Ardenne Métropole;40
200041689;Vals de Saintonge Communauté;52
200041721;CC de la Haute Comté;57.6
200041762;CA Rochefort Océan;43.5
200041788;CA du Pays Nord Martinique;46.5
200041853;CC du Pays de Montbozon et du Chanois;64.8
200041861;CC du Triangle Vert;66.2
200041879;CC Terres de Saône;64.1
200041887;CC du Val Marnaysien;56.2
200041960;CC Pévèle-Carembault;45.8
200041994;CC Haut Val de Sèvre;48.7
200042000;CC Bruyères-Vallons des Vosges;57.2
200042174;CA Lorient Agglomération;42.3
200042182;CC du Mont des Avaloirs;51.1
200042190;CA de la Porte du Hainaut;45.8
200042372;CC des Coteaux Arrats Gimone;64.4
200042414;CC Bresse Revermont 71;50.6
200042463;CC de la Montagne Noire;64.2
200042497;CC Dombes Saône Vallée;43.1
200042604;CC de Granville, Terre et Mer;47.2
200042620;CC de la Région de Suippes;52.9
200042646;CC Grand Orb Communauté de Communes en Languedoc;55.1
200042653;CC Sud-Hérault;56.7
200042703;CC de l'Argonne Champenoise;55.1
200042729;CC de la Baie du Cotentin;45.5
200042901;CC Drôme Sud Provence;47
200042935;CA Haut-Bugey Agglomération;47.4
200042943;CC du Cap Corse;76.8
200042992;CC Perthois-Bocage et Der;63.6
200043016;CC Val de Charente;56.8
200043065;CC du Val d'Amboise;44.2
200043081;CC Chinon, Vienne et Loire;49.3
200043123;CC Auray Quiberon Terre Atlantique;46
200043156;CC du Pays Rethélois;55
200043172;CA du Bassin de Brive;47.6
200043263;CC Coeur de l'Avesnois;52.7
200043321;CC du Pays de Mormal;56.4
200043354;CC de Villedieu Intercom;51.1
200043396;CA Maubeuge Val de Sambre;43.6
200043404;CC du Sud Avesnois;44.7
200043438;CC de la Moivre à la Coole;49.4
200043495;CA du Pays de Laon;40
