SIREN,Nom de l'EPCI,Nature de l'EPCI,Superficie de l'EPCI (km²),Superficie des territoires artificialisés* (km²),Part de la superficie artificialisée,,* Les donnes proviennent de Corine Land Cover millésime 2018
200023299,CC Cœur de Tarentaise,Communauté de communes,"278,386","5,486","1,97 %",,
200023307,CA du Grand Villeneuvois,Communauté d'agglomération,"356,218","34,362","9,65 %",,
200023372,CC de la Vallée de Chamonix-Mont-Blanc,Communauté de communes,"350,316","13,694","3,91 %",,
200023414,Métropole Rouen Normandie,Métropole,"663,825","188,006","28,32 %",,
200023620,CC de la Gascogne Toulousaine,Communauté de communes,"217,638","9,044","4,16 %",,
200023737,CA du Grand Cahors,Communauté d'agglomération,"594,743","31,952","5,37 %",,
200023778,CA du Pays de Saint-Gilles-Croix-de-Vie,Communauté d'agglomération,"294,179","49,629","16,87 %",,
200023794,CC de Blaye,Communauté de communes,"205,539","11,449","5,57 %",,
200023919,CC Gâtinais Val de Loing,Communauté de communes,"338,127","14,424","4,27 %",,
200026573,CC Haut-Jura Saint-Claude,Communauté de communes,"367,298","12,795","3,48 %",,
200027027,CC Arc Sud Bretagne,Communauté de communes,"356,368","19,705","5,53 %",,
200027076,CC Arnon Boischaut Cher,Communauté de communes,"380,689","6,821","1,79 %",,
200027100,CC Méditerranée Porte des Maures,Communauté de communes,"430,141","31,65","7,36 %",,
200027183,CU Perpignan Méditerranée Métropole,Communauté urbaine,"645,131","110,286","17,10 %",,
200027217,CC Sarlat-Périgord Noir,Communauté de communes,"234,54","8,568","3,65 %",,
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,Communauté de communes,"766,36","11,261","1,47 %",,
200029734,CC des 4B Sud Charente,Communauté de communes,"629,815","10,14","1,61 %",,
200029999,CC Rives de l'Ain - Pays du Cerdon,Communauté de communes,"170,905","11,589","6,78 %",,
200030195,Métropole Nice Côte d'Azur,Métropole,"1477,488","151,805","10,27 %",,
200030385,"CA de Blois ""Agglopolys""",Communauté d'agglomération,"794,729","71,062","8,94 %",,
200030435,CC d'Aire-sur-l'Adour,Communauté de communes,"302,125","10,477","3,47 %",,
200030526,CC du Ried de Marckolsheim,Communauté de communes,186,"16,215","8,72 %",,
200030633,CA du Caudrésis et du Catésis,Communauté d'agglomération,"373,642","38,06","10,19 %",,
200030658,CC du Trièves,Communauté de communes,"636,737","3,808","0,60 %",,
200030674,CA Val de Garonne Agglomération,Communauté d'agglomération,"671,942","48,004","7,14 %",,
200032514,CC Berry-Loire-Vauvise,Communauté de communes,"278,518","5,543","1,99 %",,
200033025,CA de Bar-le-Duc - Sud Meuse,Communauté d'agglomération,"400,797","22,928","5,72 %",,
200033090,CC Plaines et Monts de France,Communauté de communes,"144,779","15,868","10,96 %",,
200033116,CC Cluses-Arve et Montagnes,Communauté de communes,"202,967","24,534","12,09 %",,
200033173,CC de la Haute Vallée de Chevreuse,Communauté de communes,"84,941","10,658","12,55 %",,
200033181,CA Chartres Métropole,Communauté d'agglomération,"864,42","72,081","8,34 %",,
200033298,CC des Coëvrons,Communauté de communes,"789,988","17,083","2,16 %",,
200033579,CU d'Arras,Communauté urbaine,307,"57,367","18,69 %",,
200033868,CC des Ballons des Hautes-Vosges,Communauté de communes,"194,488","11,008","5,66 %",,
200034023,CC Tarn-Agout,Communauté de communes,"260,507","17,588","6,75 %",,
200034031,CC des Monts d'Alban et du Villefranchois,Communauté de communes,"340,822","2,735","0,80 %",,
200034049,CC Centre Tarn,Communauté de communes,"335,324","5,151","1,54 %",,
200034056,CC du Lautrécois et du Pays d'Agout,Communauté de communes,"397,107","6,03","1,52 %",,
200034064,CC du Cordais et du Causse (4 C),Communauté de communes,"298,074","1,636","0,55 %",,
200034098,CC des Montagnes du Giffre,Communauté de communes,"350,751","8,21","2,34 %",,
200034130,CC Gally Mauldre,Communauté de communes,"95,925","15,144","15,79 %",,
200034197,CC de Montaigne Montravel et Gurson,Communauté de communes,"265,488","8,243","3,10 %",,
200034270,CC du Pays de Barr,Communauté de communes,"191,664","13,096","6,83 %",,
200034379,CC Pays d'Uzès,Communauté de communes,"504,412","27,155","5,38 %",,
200034411,CC du Piémont Cévenol,Communauté de communes,"452,673","10,026","2,21 %",,
200034601,CC Causses Aigoual Cévennes,Communauté de communes,"478,239","2,868","0,60 %",,
200034635,CC du Kochersberg,Communauté de communes,"137,328","13,28","9,67 %",,
200034692,CA du Gard Rhodanien,Communauté d'agglomération,"633,308","42,062","6,64 %",,
200034700,CA Durance-Lubéron-Verdon Agglomération,Communauté d'agglomération,"843,449","40,634","4,82 %",,
200034718,"CC de Vitry, Champagne et Der",Communauté de communes,"526,508","23,361","4,44 %",,
200034726,CC Bastides de Lomagne,Communauté de communes,"428,295","3,484","0,81 %",,
200034825,CA du Grand Guéret,Communauté d'agglomération,"483,384","17,522","3,62 %",,
200034833,CC des Bastides Dordogne-Périgord,Communauté de communes,"668,73","9,967","1,49 %",,
200034874,CC Côtes de Meuse Woëvre,Communauté de communes,"430,681","4,836","1,12 %",,
200034882,CC Pays du Mont-Blanc,Communauté de communes,"436,026","36,295","8,32 %",,
200034957,CC du Frontonnais,Communauté de communes,"162,221","22,461","13,85 %",,
200035087,CA Terre de Provence,Communauté d'agglomération,"258,943","27,275","10,53 %",,
200035103,CC de la Vallée de la Haute Sarthe,Communauté de communes,"282,096","4,784","1,70 %",,
200035111,CC des Sources de l'Orne,Communauté de communes,"366,18","11,2","3,06 %",,
200035129,CC de Cèze Cévennes,Communauté de communes,"321,973","13,958","4,34 %",,
200035137,CC Marche Occitane - Val d'Anglin,Communauté de communes,"515,304","3,961","0,77 %",,
200035202,CC Charlieu-Belmont,Communauté de communes,"280,641","16,359","5,83 %",,
200035319,CA Estérel Côte d'Azur Agglomération,Communauté d'agglomération,"351,83","75,43","21,44 %",,
200035327,CC Cazals-Salviac,Communauté de communes,"250,058","1,802","0,72 %",,
200035442,CC du Sud-Artois,Communauté de communes,"426,701","27,377","6,42 %",,
200035533,CC du Grand Saint-Émilionnais,Communauté de communes,"238,176","6,181","2,60 %",,
200035541,CC des Landes d'Armagnac,Communauté de communes,"1069,418","12,656","1,18 %",,
200035632,CC Armagnac Adour,Communauté de communes,"298,544","4,313","1,44 %",,
200035707,CC Piège Lauragais Malepère,Communauté de communes,"486,408","8,955","1,84 %",,
200035715,CA Carcassonne Agglo,Communauté d'agglomération,"1092,3","59,249","5,42 %",,
200035723,CC Ventoux Sud,Communauté de communes,"404,357","8,744","2,16 %",,
200035731,CA Roannais Agglomération,Communauté d'agglomération,"696,042","67,296","9,67 %",,
200035756,CC Astarac Arros en Gascogne,Communauté de communes,"383,7","1,24","0,32 %",,
200035764,CC de la Beauce Loirétaine,Communauté de communes,"401,391","19,587","4,88 %",,
200035772,CC du Pays du Saintois,Communauté de communes,"350,765","11,317","3,23 %",,
200035814,CA Flers Agglo,Communauté d'agglomération,"572,83","30,501","5,32 %",,
200035848,CC du Châtillonnais en Berry,Communauté de communes,"276,602","5,315","1,92 %",,
200035855,CC Castelnaudary Lauragais Audois,Communauté de communes,"496,277","15,105","3,04 %",,
200035863,"CC Région Lézignanaise, Corbières et Minervois",Communauté de communes,"822,116","18,582","2,26 %",,
200035970,CC Vexin Centre,Communauté de communes,"242,77","16,787","6,91 %",,
200036069,CC du Pays de Mortagne au Perche,Communauté de communes,"406,276","7,939","1,95 %",,
200036077,CC du Golfe de Saint-Tropez,Communauté de communes,"432,793","66,439","15,35 %",,
200036135,CC Cœur de France,Communauté de communes,"383,644","17,076","4,45 %",,
200036150,CC des Hauts du Val de Saône,Communauté de communes,"492,675","13,168","2,67 %",,
200036465,CC de Thann-Cernay,Communauté de communes,"157,88","22,843","14,47 %",,
200036473,CA de Saintes,Communauté d'agglomération,"477,023","38,212","8,01 %",,
200036523,CC des Bastides en Haut Agenais Périgord,Communauté de communes,"676,939","8,118","1,20 %",,
200036549,CC Val de Gray,Communauté de communes,"500,366","22,933","4,58 %",,
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),Communauté de communes,"465,061","29,711","6,39 %",,
200037133,CC du Provinois,Communauté de communes,"629,374","22,607","3,59 %",,
200038990,CC de Saint-Méen Montauban,Communauté de communes,"356,308","13,97","3,92 %",,
200039022,CA Vitré Communauté,Communauté d'agglomération,"880,82","46,817","5,32 %",,
200039055,CC Ouche et Montagne,Communauté de communes,"320,499","8,634","2,69 %",,
200039063,"CC Forêts, Seine et Suzon",Communauté de communes,"426,679","7,196","1,69 %",,
200039204,CC de Lacq-Orthez,Communauté de communes,"733,302","40,987","5,59 %",,
200039519,CC du Quercy Blanc,Communauté de communes,"418,152","2,464","0,59 %",,
200039642,CC Le Tonnerrois en Bourgogne,Communauté de communes,"792,92","14,129","1,78 %",,
200039709,CC du Serein,Communauté de communes,"569,123","7,514","1,32 %",,
200039758,"CC Avallon, Vézelay, Morvan",Communauté de communes,"727,103","16,041","2,21 %",,
200039808,CC des Gorges de l'Ardèche,Communauté de communes,"415,109","13,474","3,25 %",,
200039824,CC Ardèche des Sources et Volcans,Communauté de communes,"267,175","8,851","3,31 %",,
200039832,CC Pays des Vans en Cévennes,Communauté de communes,"331,175","6,163","1,86 %",,
200039857,CA du Pays de Grasse,Communauté d'agglomération,"491,167","56,132","11,43 %",,
200039865,Metz Métropole,Métropole,"324,339","86,866","26,78 %",,
200039907,CC du Sud Messin,Communauté de communes,"249,857","11,664","4,67 %",,
200039915,CA Cannes Pays de Lérins,Communauté d'agglomération,"97,495","55,292","56,71 %",,
200039931,CC Alpes d'Azur,Communauté de communes,"880,401","1,932","0,22 %",,
200039949,CC Rives de Moselle,Communauté de communes,"126,328","33,729","26,70 %",,
200040038,CC Saône Doubs Bresse,Communauté de communes,"319,715","11,37","3,56 %",,
200040095,CC Isle Vern Salembre en Périgord,Communauté de communes,"287,754","12,922","4,49 %",,
200040111,CC Cœur de Chartreuse,Communauté de communes,"356,52","8,133","2,28 %",,
200040137,CC des Lacs de Champagne,Communauté de communes,"442,969","19,344","4,37 %",,
200040178,CC de l'Outre-Forêt,Communauté de communes,"119,717","11,79","9,85 %",,
200040202,CC Provence Verdon,Communauté de communes,"649,131","16,372","2,52 %",,
200040210,CC Lacs et Gorges du Verdon,Communauté de communes,"557,735","9,782","1,75 %",,
200040244,CA du Bocage Bressuirais,Communauté d'agglomération,"1328,241","51,058","3,84 %",,
200040251,CC Bassée-Montois,Communauté de communes,"423,719","21,287","5,02 %",,
200040277,CA Agglo du Pays de Dreux,Communauté d'agglomération,"1064,434","78,533","7,38 %",,
200040293,CC du Clunisois,Communauté de communes,"451,489","8,069","1,79 %",,
200040350,CC Bugey Sud,Communauté de communes,"624,042","24,67","3,95 %",,
200040384,CC Isle Double Landais,Communauté de communes,"237,735","11,79","4,96 %",,
200040392,CA Le Grand Périgueux,Communauté d'agglomération,"1019,975","68,02","6,67 %",,
200040400,CC du Périgord Ribéracois,Communauté de communes,"686,71","11,649","1,70 %",,
200040418,CC du Pays de Serres en Quercy,Communauté de communes,"452,043","3,456","0,76 %",,
200040426,CC du Val de l'Oise,Communauté de communes,"328,73","19,174","5,83 %",,
200040442,CA Luberon Monts de Vaucluse,Communauté d'agglomération,"360,675","26,465","7,34 %",,
200040459,CA Montélimar Agglomération,Communauté d'agglomération,"383,096","35,74","9,33 %",,
200040475,CC LBN Communauté,Communauté de communes,"464,399","9,817","2,11 %",,
200040491,CC Porte de DrômArdèche,Communauté de communes,"423,87","30,676","7,24 %",,
200040509,CC du Crestois et de Pays de Saillans Cœur de Drôme,Communauté de communes,"236,902","6,279","2,65 %",,
200040558,CC Écueillé-Valençay,Communauté de communes,"543,807","5,733","1,05 %",,
200040566,CA de l'Ouest Rhodanien,Communauté d'agglomération,"578,79","27,768","4,80 %",,
200040574,CC Beaujolais Pierres Dorées,Communauté de communes,"251,746","30,279","12,03 %",,
200040590,CA Villefranche Beaujolais Saône,Communauté d'agglomération,"168,039","25,27","15,04 %",,
200040624,CC Pays d'Apt-Luberon,Communauté de communes,"640,365","15,593","2,44 %",,
200040657,CC de la Matheysine,Communauté de communes,"717,139","8,262","1,15 %",,
200040681,CC Enclave des Papes-Pays de Grignan,Communauté de communes,"373,295","11,242","3,01 %",,
200040715,Grenoble-Alpes-Métropole,Métropole,"543,224","118,927","21,89 %",,
200040772,CC du Perche et Haut Vendômois,Communauté de communes,"388,343","4,724","1,22 %",,
200040798,CC Val Vanoise,Communauté de communes,"431,541","7,364","1,71 %",,
200040814,CC Briance Sud Haute Vienne,Communauté de communes,"329,313","5,694","1,73 %",,
200040830,CC du Pays de Fénelon,Communauté de communes,"327,114","5,694","1,74 %",,
200040889,CC de Portes Sud Périgord,Communauté de communes,"281,488","5,007","1,78 %",,
200040905,CC Carmausin-Ségala,Communauté de communes,"476,865","16,446","3,45 %",,
200040947,CC de Flandre Intérieure,Communauté de communes,"634,75","38,038","5,99 %",,
200040954,CC des Hauts de Flandre,Communauté de communes,"449,129","20,832","4,64 %",,
200041010,CC Cœur de Savoie,Communauté de communes,"330,555","18,775","5,68 %",,
