Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200069060;CC des Vosges du Sud;112
200069086;CC Leff Armor Communauté;122
200069094;CC Isle et Crempse en Périgord;139
200069102;CC Randon - Margeride;113
200069110;CA du Grand Chambéry;99
200069128;CC Mont Lozère;126
200069136;CC des Cévennes au Mont Lozère;141
200069144;CC des Hautes Terres de l'Aubrac;134
200069151;CC Gorges Causses Cévennes;122
200069169;CC Dômes Sancy Artense;116
200069177;CC Mond'Arverne Communauté;107
200069185;CC des Terres d'Apcher-Margeride-Aubrac;125
200069193;CC de la Dombes;105
200069227;CC Pays Fort Sancerrois Val de Loire;131
200069235;CC du Haut Pays du Montreuillois;109
200069250;CA Troyes Champagne Métropole;108
200069268;CC Aubrac Lot Causses Tarn;115
200069300;CA Tarbes-Lourdes-Pyrénées;115
200069383;Ouest Aveyron Communauté;137
200069391;CA Lamballe Terre et Mer;122
200069409;CA Saint-Brieuc Armor Agglomération;120
200069417;CC Pays d'Orthe et Arrigans;116
200069425;CA Mont-Saint-Michel-Normandie;130
200069433;CC de Vezouze en Piémont;124
200069441;CC du Pays de Bitche;106
200069458;CC des Vallées d'Auge et du Merlerault;141
200069482;CC des Campagnes de l'Artois;107
200069516;CC Seulles Terre et Mer;110
200069524;CC Pré-Bocage Intercom;108
200069532;CA Lisieux Normandie;120
200069540;CC Norge et Tille;111
200069565;CC des Lacs et Montagnes du Haut-Doubs;79
200069581;CC Convergence Garonne;101
200069599;CC Rurales de l'Entre-Deux-Mers;109
200069615;CC Bresse Haute Seille;121
200069623;CC Champagnole Nozeroy Jura;118
200069631;CC Terres de Chalosse;120
200069649;CC Chalosse Tursan;122
200069656;CC Coeur Haute Lande;116
200069664;CC Meuse Rognon;127
200069672;CC du Ternois;117
200069698;CC Mâconnais - Tournugeois;121
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;113
200069730;CC des Quatre Rivières en Bray;121
200069748;CC Val de Gâtine;113
200069755;CC Mellois en Poitou;125
200069763;CC du Haut Poitou;105
200069821;CA Fécamp Caux Littoral Agglomération;117
200069839;CC de la Côte d'Albâtre;117
200069847;CC Plateau de Caux;102
200069854;CU du Grand Poitiers;96
200069912;CC des Forêts du Perche;126
200069953;CC des Portes Euréliennes d'Ile de France;100
200069961;CC du Grand Châteaudun;131
200069995;CC Médoc Coeur de Presqu'île;116
200070035;CC du Civraisien en Poitou;139
200070043;CC Vienne et Gartempe;141
200070068;CC Bray-Eawy;113
200070092;CA du Libournais;108
200070100;CC du Val de Sully;113
200070118;CC Val de Saône Centre;106
200070126;CC Seine et Aube;112
200070142;CC Lyons Andelle;108
200070159;CC Coeur de Beauce;106
200070167;CC Terres de Perche;129
200070183;CC des Terres du Val de Loire;108
200070233;CA Terres de Montaigu;97
200070282;CC Lavalette Tude Dronne;141
200070290;CC Coeur du Pays Haut;101
200070308;CA Mâconnais Beaujolais Agglomération;110
200070316;CC Entre Arroux, Loire et Somme;145
200070324;CC du Territoire de Lunéville à Baccarat;112
200070332;CC des Savoir-Faire;140
200070340;CC Haute Maurienne Vanoise;114
200070365;CC Corbières Salanque Méditerranée;113
200070373;CC Loir-Lucé-Bercé;139
200070407;CA Agglo Pays d'Issoire;109
200070431;CC Saint-Marcellin Vercors Isère Communauté;114
200070449;CC Inter-Caux-Vexin;108
200070464;CC Coeur de Maurienne Arvan;117
200070506;CC Pays de Nexon Monts de Chalus;125
200070514;CA du Grand Cognac;114
200070530;CC du Grand Autunois Morvan;134
200070548;CC Brionnais Sud Bourgogne;144
200070555;CC de la Veyle;110
200070563;CC Terres Touloises;99
200070571;CC Coeur de Berry;113
200070589;CC de Seille et Grand Couronné;104
200070647;CA Bergeracoise;135
200070662;CC Bretagne Porte de Loire Communauté;96
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;128
200070688;CC Couesnon Marches de Bretagne;115
200070712;CC Thiers Dore et Montagne;121
200070720;CC Médoc Atlantique;148
200070738;CC Mad et Moselle;99
200070746;CA Sarreguemines Confluences;105
200070753;CA Riom Limagne et Volcans;105
200070761;CC Ambert Livradois Forez;130
200070779;CC Brie des Rivières et Châteaux;90
200070787;CC du Plateau de Lannemezan;129
200070795;CC du Pays de Trie et du Magnoac;147
200070803;CC des Coteaux du Val d'Arros;118
200070811;CC Pyrénées Vallées des Gaves;128
