Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200070829;CC Neste Barousse;151
200070845;CC Orne Lorraine Confluences;107
200070852;CC Usses et Rhône;92
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;101
200070902;CC Auxonne Pontailler Val de Saône;106
200070910;CC Tille et Venelle;115
200070928;CC Terre de Picardie;101
200070936;CC Ponthieu-Marquenterre;124
200070944;CC du Vimeu;114
200070951;CC du Territoire Nord Picardie;110
200070969;CC Avre Luce Noye;101
200070977;CC du Grand Roye;105
200070985;CC de l'Est de la Somme;116
200070993;CA de la Baie de Somme;119
200071017;CC des Terres d'Auxois;129
200071025;CC Haute-Provence - Pays de Banon;133
200071033;CC Jabron-Lure-Vançon-Durance;122
200071041;CC du Chaourçois et du Val d'Armance;130
200071058;CC Les Avant-Monts;123
200071066;CA de Saint-Dié-des-Vosges;118
200071074;CC Les Portes de l'Ile de France;103
200071082;CA Montluçon Communauté;125
200071116;CA ECLA (Espace Communautaire Lons Agglomération);119
200071140;CA Moulins Communauté;119
200071165;CA Les Sables d'Olonne Agglomération;162
200071173;CC du Pays Arnay Liernais;142
200071181;CC Somme Sud-Ouest;109
200071199;CC Plaine Limagne;110
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;120
200071215;CC Chavanon Combrailles et Volcans;129
200071223;CC Nièvre et Somme;104
200071298;CC des Terres du Lauragais;96
200071314;CC des Hauts-Tolosans;90
200071363;CA Vichy Communauté;131
200071371;CC Bresse et Saône;109
200071389;CC Saint-Pourçain Sioule Limagne;120
200071405;CC Ardèche Rhône Coiron;108
200071413;CA Privas Centre Ardèche;118
200071454;CA Evreux Portes de Normandie;102
200071470;CC Entr'Allier Besbre et Loire;132
200071496;CC du Bocage Bourbonnais;134
200071504;CC des Collines du Perche Normand;129
200071512;CC Commentry Montmarault Néris Communauté;134
200071520;CC Domfront Tinchebray Interco;133
200071538;CC Terres de Bresse;119
200071546;CC Sud Retz Atlantique;108
200071553;CC Loire Layon Aubance;110
200071579;CC Bresse Louhannaise Intercom';132
200071587;CC Loches Sud Touraine;129
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;126
200071629;CC Challans-Gois Communauté;129
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;124
200071652;CC du Pays Fertois et du Bocage Carrougien;125
200071678;CA Cholet Agglomération;112
200071751;CA du Bassin de Bourg-en-Bresse;110
200071769;CC Picardie des Châteaux;113
200071777;CC d'Arcis, Mailly, Ramerupt;102
200071785;CA Chauny Tergnier La Fère;111
200071819;CC du Périgord Nontronnais;148
200071827;CA du Grand Angoulême;108
200071843;CC du Vexin Normand;104
200071850;CC du Pithiverais-Gâtinais;113
200071868;CC des Vallées du Haut-Anjou;106
200071876;CA Saumur Val de Loire;121
200071884;CC Le Grand Charolais;134
200071892;CA du Saint-Quentinois;112
200071900;CC Vendée Grand Littoral;159
200071918;CC du Pays de Saint-Fulgent - Les Essarts;97
200071926;CC du Limouxin;132
200071934;CC du Pays de Fontenay-Vendée;129
