Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
33498;Salles;39.3
33506;Sauveterre-de-Guyenne;22.9
33514;Soulac-sur-Mer;21.7
33529;La Teste-de-Buch - Arcachon;36.3
34003;Agde;23.8
34022;Baillargues;30.3
34028;Bédarieux;19.6
34031;Bessan;22
34032;Béziers;21.2
34052;Capestang;29.8
34058;Castries;28.4
34079;Clermont-l'Hérault;24.8
34088;Cournonterral;25
34101;Florensac;32.8
34111;Ganges;29.1
34114;Gignac;30
34142;Lodève;29.7
34145;Lunel;26.2
34147;Magalas;24.5
34150;Marseillan;23.6
34154;Mauguio;26.7
34157;Mèze;28.6
34162;Montagnac;28.5
34172;Montpellier;21.2
34192;Palavas-les-Flots;15
34194;Paulhan;27.5
34199;Pézenas;23
34239;Saint-André-de-Sangonis;32.3
34245;Saint-Chinian;23.1
34276;Saint-Mathieu-de-Tréviers;32.8
34284;Saint-Pons-de-Thomières;22.6
34299;Sérignan;26.6
34300;Servian;26.5
34301;Sète;22.6
34332;Vias;23.6
34344;Le Grau-du-Roi;34.1
35001;Acigné;25.2
35004;Val-Couesnon;24.4
35006;Argentré-du-Plessis;22.8
35012;Bain-de-Bretagne;27.1
35023;Bédée;23.4
35024;Betton;23.8
35049;Cancale;25.3
35068;Châteaubourg;21.4
35069;Châteaugiron;22
35085;Combourg;27.2
35093;Dinard;27.6
35095;Dol-de-Bretagne;24.6
35115;Fougères;20.1
35125;La Guerche-de-Bretagne;22.2
35126;Guichen;25.8
35129;Guipry;28
35136;Janzé;26.3
35152;Liffré;25.6
35162;Louvigné-du-Désert;18.1
35168;Maure-de-Bretagne;26.3
35184;Montauban-de-Bretagne;27.5
35188;Montfort-sur-Meu;27.6
35196;Mordelles;21.6
35219;Pipriac;32.6
35223;Plélan-le-Grand;31.7
35236;Redon;25.1
35238;Rennes;19.7
35239;Retiers;24.3
35240;Le Rheu;24.9
35253;Saint-Aubin-du-Cormier;23.6
35257;Saint-Brice-en-Coglès;24.7
35288;Saint-Malo;26.5
35297;Saint-Méen-le-Grand;24.4
35337;Tinténiac;29.8
35352;Vern-sur-Seiche;21.5
35360;Vitré;18.7
36001;Aigurande;21.7
36006;Argenton-sur-Creuse;25.3
36018;Le Blanc;19.6
36031;Buzançais;21.8
36034;Chabris;19.9
36044;Châteauroux;17.1
36045;Châtillon-sur-Indre;22.9
36046;La Châtre;21.3
36088;Issoudun;18.9
36093;Levroux;24.8
36228;Valençay;15.2
37014;Azay-le-Rideau;26.1
37022;Beaumont-en-Véron;21.2
37031;Bourgueil;28.6
37063;Château-Renault;24.8
37072;Chinon;22.3
37104;Esvres;26.9
37115;Descartes;21.7
37119;L'Île-Bouchard;28
37123;Langeais;33.8
37130;Ligueil;23.3
37132;Loches;25.2
37159;Monts;25.3
37167;Neuillé-Pont-Pierre;35.3
37196;Richelieu;27.1
37226;Sainte-Maure-de-Touraine;27.2
37261;Tours;22.3
38001;Les Abrets;27.1
38006;Allevard;26.4
38012;Aoste;33.8
38013;Apprieu - Le Grand-Lemps;28
38022;Les Avenières Veyrins-Thuellin;30.2
38034;Beaurepaire;27.9
38052;Le Bourg-d'Oisans;16.5
38053;Bourgoin-Jallieu;26.9
38085;Charvieu-Chavagneux;26.4
38130;La Côte-Saint-André;25
38138;Crémieu;26.3
38140;Crolles;20.6
38185;Grenoble;16
38189;Heyrieux;24
38226;Mens;26.5
38247;Montalieu-Vercieu;27
38261;Morestel;29
38269;La Mure;20.5
38314;Pontcharra;26.1
38315;Le Pont-de-Beauvoisin;27.4
38384;Saint-Étienne-de-Saint-Geoirs;25.4
38399;Saint-Jean-de-Bournay;26.6
38412;Saint-Laurent-du-Pont;23.8
38416;Saint-Marcellin;25.1
38509;La Tour-du-Pin;29
38511;Le Touvet;26.7
38517;Tullins;22.4
38544;Vienne;25.1
38545;Vif;22.4
38548;Villard-de-Lans;22.2
38553;Villefontaine;24
38562;Vizille;20.6
39013;Arbois;18.8
39056;Bletterans;18.9
39097;Champagnole;19.2
39128;Chaussin;27.7
39154;Clairvaux-les-Lacs;21.7
39198;Dole;18.5
39300;Lons-le-Saunier;17.4
39368;Morez;18.2
39434;Poligny;23.2
39470;Les Rousses;23.4
39475;Saint-Amour;22.9
39478;Saint-Claude;16.4
39487;Saint-Laurent-en-Grandvaux;20
39500;Salins-les-Bains;22
39526;Tavaux;19.8
40001;Aire-sur-l'Adour;24.8
40046;Biscarrosse;35.6
