Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200039204;CC de Lacq-Orthez;57.7
200039519;CC du Quercy Blanc;59.9
200039642;CC Le Tonnerrois en Bourgogne;70.5
200039709;CC du Serein;71.3
200039758;CC Avallon, Vézelay, Morvan;61.3
200039808;CC des Gorges de l'Ardèche;77.1
200039824;CC Ardèche des Sources et Volcans;78.9
200039832;CC Pays des Vans en Cévennes;77.2
200039857;CA du Pays de Grasse;66.4
200039865;Metz Métropole;74.3
200039907;CC du Sud Messin;71.3
200039915;CA Cannes Pays de Lérins;74.2
200039931;CC Alpes d'Azur;79.6
200039949;CC Rives de Moselle;50.3
200040038;CC Saône Doubs Bresse;59.6
200040095;CC Isle Vern Salembre en Périgord;71.9
200040111;CC Coeur de Chartreuse;68.9
200040137;CC des Lacs de Champagne;67
200040178;CC de l'Outre-Forêt;50.5
200040202;CC Provence Verdon;72.3
200040210;CC Lacs et Gorges du Verdon;75.5
200040244;CA du Bocage Bressuirais;51.7
200040251;CC Bassée-Montois;69.4
200040277;CA Agglo du Pays de Dreux;64
200040293;CC du Clunisois;71.9
200040350;CC Bugey Sud;61.4
200040384;CC Isle Double Landais;68.4
200040392;CA Le Grand Périgueux;76.7
200040400;CC du Périgord Ribéracois;70.4
200040418;CC du Pays de Serres en Quercy;59.6
200040426;CC du Val de l'Oise;52.4
200040442;CA Luberon Monts de Vaucluse;61.1
200040459;CA Montélimar Agglomération;64.5
200040475;LBN Communauté;39.4
200040491;CC Porte de Dromardèche;48.8
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;71.2
200040558;CC Écueillé-Valençay;65.2
200040566;CA de l'Ouest Rhodanien;57.6
200040574;CC Beaujolais Pierres Dorées;61.2
200040590;CA Villefranche Beaujolais Saône;65.6
200040624;CC Pays d'Apt-Luberon;65.8
200040657;CC de la Matheysine;72.2
200040681;CC Enclave des Papes - Pays de Grignan;60.8
200040715;Grenoble-Alpes-Métropole;62.4
200040764;CC du Sud Corse;79.2
200040772;CC du Perche et Haut Vendômois;44.8
200040798;CC Val Vanoise;89.4
200040814;CC Briance Sud Haute Vienne;59.1
200040830;CC du Pays de Fénelon;64.9
200040889;CC de Portes Sud Périgord;60.2
200040905;CC Carmausin-Ségala;69.8
200040947;CA Coeur de Flandre;66.4
200040954;CC des Hauts de Flandre;60.3
200041010;CC Coeur de Savoie;51.4
200041051;CC Vallée de la Dordogne et Forêt Bessède;75.9
200041150;CC Terrassonnais Haut Périgord Noir;58.6
200041168;CC de la Vallée de l'Homme;78.5
200041283;CC de la Plaine du Rhin;46.3
200041317;CA du Niortais;71
200041325;CC du Pays Rhénan;64.5
200041333;CC de Parthenay-Gâtine;61.7
200041366;CC Rhône Crussol;67.3
200041416;CC Airvaudais-Val du Thouet;44.2
200041440;CC de Domme- Villefranche du Périgord;65.8
200041465;CC Val Eyrieux;54.9
200041499;CC Aunis Atlantique;68.9
200041507;CA La Riviéra du Levant;80.7
200041515;CC du Bassin de Pont-à-Mousson;60.1
200041523;CC de la Haute Saintonge;62.4
200041556;CC Portes de la Creuse en Marche;57
200041572;CC Dronne et Belle;53.1
200041614;CC Aunis Sud;62.4
200041622;CC Ardennes Thiérache;65.4
200041630;Ardenne Métropole;69.7
200041689;Vals de Saintonge Communauté;66
200041721;CC de la Haute Comté;44.7
200041762;CA Rochefort Océan;73.6
200041788;CA du Pays Nord Martinique;74.1
200041853;CC du Pays de Montbozon et du Chanois;51.8
200041861;CC du Triangle Vert;53.8
200041879;CC Terres de Saône;54.8
200041887;CC du Val Marnaysien;54.7
200041960;CC Pévèle-Carembault;61.5
200041994;CC Haut Val de Sèvre;56.4
200042000;CC Bruyères-Vallons des Vosges;64
200042174;CA Lorient Agglomération;69.2
200042182;CC du Mont des Avaloirs;45.1
200042190;CA de la Porte du Hainaut;63.6
200042372;CC des Coteaux Arrats Gimone;48.8
200042414;CC Bresse Revermont 71;71
200042463;CC de la Montagne Noire;72.2
200042497;CC Dombes Saône Vallée;54.5
200042604;CC de Granville, Terre et Mer;70.2
200042620;CC de la Région de Suippes;75.2
200042646;CC Grand Orb Communauté de Communes en Languedoc;78.7
200042653;CC Sud-Hérault;70.7
200042703;CC de l'Argonne Champenoise;55.5
200042729;CC de la Baie du Cotentin;56.7
200042901;CC Drôme Sud Provence;44.5
200042935;CA Haut-Bugey Agglomération;45.8
200042943;CC du Cap Corse;83.3
200042992;CC Perthois-Bocage et Der;52.7
200043016;CC Val de Charente;63.7
200043065;CC du Val d'Amboise;59.2
200043081;CC Chinon, Vienne et Loire;55.6
200043123;CC Auray Quiberon Terre Atlantique;70.1
200043156;CC du Pays Rethélois;65.4
200043172;CA du Bassin de Brive;64.8
200043263;CC Coeur de l'Avesnois;69.3
200043321;CC du Pays de Mormal;75.7
200043354;CC de Villedieu Intercom;56
200043396;CA Maubeuge Val de Sambre;65.1
200043404;CC du Sud Avesnois;75.8
200043438;CC de la Moivre à la Coole;44.4
200043495;CA du Pays de Laon;79
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;78.7
200043628;CC des Vallées du Clain;69.6
200043693;CC Terre Lorraine du Longuyonnais;73.8
200043776;CC Pyrénées audoises;71.8
200043974;CC du Sud Gironde;71.7
200043982;CC du Bazadais;64.5
200043990;CC Vallons de Haute-Bretagne Communauté;63
200044014;CC Creuse Grand Sud;72.9
200044030;CC des 7 Vallées;59.8
200044048;CC Osartis Marquion;53.3
200044253;CC du Bassin de Joinville en Champagne;55.1
200044394;CC du Réolais en Sud Gironde;70.2
200044469;CC du Pays de Mirepoix;76
200044618;CA Douaisis Agglo;62.7
200044691;CA du Nord Grande Terre;74.3
200046977;Métropole de Lyon;59.3
200048551;CC du Pays de Craon;48.8
200049187;CA du Grand Verdun;76.5
