Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200067049;CC Spelunca-Liamone;78.2
200067064;CC Decazeville Communauté;68.8
200067072;CC Haut-Léon Communauté;56.5
200067080;CC Chablis Villages et Terroirs;45
200067106;CA du Pays Basque;69.4
200067114;CA de l'Auxerrois;69.1
200067122;CC du Pays de Lafrançaise;62.8
200067130;CC de Puisaye-Forterre;65.4
200067155;CC Saint Affricain, Roquefort, Sept Vallons;60.1
200067163;CC Monts, Rance et Rougier;55.2
200067171;CC Aubrac Carladez Viadène;52
200067189;CC Creuse Sud Ouest;68.7
200067197;CC Monts d'Arrée Communauté;60.6
200067205;CA du Cotentin;61.3
200067213;CU du Grand Reims;66.6
200067239;CC des Luys en Béarn;53.7
200067247;CC Pleyben-Châteaulin-Porzay;64
200067254;CA Pau Béarn Pyrénées;72.3
200067262;CC du Haut Béarn;62.3
200067288;CC du Béarn des Gaves;64.9
200067296;CC du Nord Est Béarn;62.7
200067304;CC Serein et Armance;44.7
200067320;CC Serre-Ponçon Val d'Avance;64.4
200067346;CA Pornic Agglo Pays de Retz;72
200067361;CC Grand-Figeac;60.2
200067379;CC Côtes de Champagne et Val de Saulx;54.2
200067429;CC Haut Nivernais - Val d'Yonne;58.9
200067437;CA Provence-Alpes-Agglomération;78.3
200067445;CC Buëch-Dévoluy;73.7
200067452;CC du Guillestrois et du Queyras;85
200067460;CC Loudéac Communauté - Bretagne Centre;40.1
200067478;CC Comtal Lot et Truyère;58.6
200067486;CC Bouzonvillois-Trois Frontières;63.3
200067502;CA Saint-Avold Synergie;62.7
200067544;CC Creuse Confluence;57.4
200067551;CA Thonon Agglomération;76.3
200067593;CC Marche et Combraille en Aquitaine;56.1
200067627;CC Billom Communauté;74.6
200067635;CA Clisson Sèvre et Maine Agglo;53.5
200067643;CC Meurthe Mortagne Moselle;75
200067650;CC Houve - Pays Boulageois;72.1
200067668;CC de la Cléry, du Betz et de l'Ouanne;54
200067676;CC Canaux et Forêts en Gâtinais;58.7
200067684;CA Epernay, Coteaux et Plaine de Champagne;53.2
200067692;CC Tannay-Brinon-Corbigny;65.9
200067700;CC Sud Nivernais;61.6
200067742;CC Serre-Ponçon;81.6
200067759;CC Vallées et Plateau d'Ardenne;53.3
200067767;CC du Royans-Vercors;69.9
