Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux d'évolution annuel du nombre de logements sociaux (RPLS) 2019-2023
200071033;CC Jabron-Lure-Vançon-Durance;3.2
200071041;CC du Chaourçois et du Val d'Armance;-0.2
200071058;CC Les Avant-Monts;2.4
200071066;CA de Saint-Dié-des-Vosges;-0.3
200071074;CC Les Portes de l'Ile de France;3.1
200071082;CA Montluçon Communauté;-0.4
200071116;CA ECLA (Espace Communautaire Lons Agglomération);-0.3
200071140;CA Moulins Communauté;0.2
200071165;CA Les Sables d'Olonne Agglomération;2.2
200071173;CC du Pays Arnay Liernais;0.3
200071181;CC Somme Sud-Ouest;0.7
200071199;CC Plaine Limagne;0.3
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;-0.5
200071215;CC Chavanon Combrailles et Volcans;-2.8
200071223;CC Nièvre et Somme;0.2
200071298;CC des Terres du Lauragais;4.3
200071314;CC des Hauts-Tolosans;4.8
200071363;CA Vichy Communauté;-0.9
200071371;CC Bresse et Saône;0.6
200071389;CC Saint-Pourçain Sioule Limagne;-0.4
200071405;CC Ardèche Rhône Coiron;0
200071413;CA Privas Centre Ardèche;0.4
200071454;CA Evreux Portes de Normandie;-0.3
200071470;CC Entr'Allier Besbre et Loire;-1.5
200071496;CC du Bocage Bourbonnais;-0.2
200071504;CC des Collines du Perche Normand;-0.1
200071512;CC Commentry Montmarault Néris Communauté;0
200071520;CC Domfront Tinchebray Interco;0.5
200071538;CC Terres de Bresse;0.6
200071546;CC Sud Retz Atlantique;0
200071553;CC Loire Layon Aubance;-0.2
200071579;CC Bresse Louhannaise Intercom';-0.1
200071587;CC Loches Sud Touraine;0.2
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;-0.1
200071629;CC Challans-Gois Communauté;6
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;1
200071652;CC du Pays Fertois et du Bocage Carrougien;0
200071678;CA Cholet Agglomération;0.1
200071751;CA du Bassin de Bourg-en-Bresse;0.3
200071769;CC Picardie des Châteaux;-0.2
200071777;CC d'Arcis, Mailly, Ramerupt;-2.8
200071785;CA Chauny Tergnier La Fère;-0.1
200071819;CC du Périgord Nontronnais;-0.3
200071827;CA du Grand Angoulême;0.9
200071843;CC du Vexin Normand;0.2
200071850;CC du Pithiverais-Gâtinais;-1.1
200071868;CC des Vallées du Haut-Anjou;0.2
200071876;CA Saumur Val de Loire;0.2
200071884;CC Le Grand Charolais;0
200071892;CA du Saint-Quentinois;-0.6
200071900;CC Vendée Grand Littoral;1.6
200071918;CC du Pays de Saint-Fulgent - Les Essarts;0.7
200071926;CC du Limouxin;2.7
200071934;CC du Pays de Fontenay-Vendée;0.1
200071942;CC Haut Limousin en Marche;-0.7
200071967;CC Pays d'Evian Vallée d'Abondance;4.2
200071983;CC Thiérache Sambre et Oise;0.6
200071991;CC Retz en Valois;0
200072007;CC Montagne d'Ardèche;-2.4
200072015;CA Annonay Rhône Agglo;0.7
200072023;CC Coeur de Charente;0.3
200072031;CA de la Région de Château-Thierry;1.1
200072049;CC de Charente Limousine;-0.2
200072056;CC Porte du Jura;0
200072064;CC Val-de-Cher-Controis;0.7
200072072;CA Territoires Vendômois;-0.1
200072080;CC du Pays de Saint-Eloy;-0.8
200072098;CC Combrailles Sioule et Morge;-1.3
200072106;CC Adour Madiran;-2.5
200072130;CA du Pays de Meaux;-0.5
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;-0.4
200072312;CA Seine Normandie Agglomération;-0.1
200072320;CC Val de Gers;3.5
200072346;CA du Pays de Fontainebleau;0.4
200072452;CA Fougères Agglomération;0.5
200072460;CA de Béthune-Bruay, Artois-Lys Romane;-0.2
200072478;CC Pays d'Opale;-0.4
200072544;CC des Deux Morin;1
200072635;CC Pyrénées Haut Garonnaises;-4.4
200072643;CC Coeur et Coteaux du Comminges;-0.8
200072650;CC Touraine Vallée de l'Indre;2.2
200072668;CC Touraine Val de Vienne;-0.1
200072676;CC Maine Saosnois;-1.1
200072684;CC Le Gesnois Bilurien;-0.4
200072692;CC des Vallées de la Braye et de l'Anille;-0.4
200072700;CC Haute Sarthe Alpes Mancelles;0.8
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;-0.6
200072726;CC Châteaubriant-Derval;0
200072734;CC Estuaire et Sillon;1.5
200072825;CC Mirebellois et Fontenois;3.2
200072874;CC Val Briard;-0.8
200072882;CC de Vie et Boulogne;1.3
200072981;CC Touraine Ouest Val de Loire;0.2
200072999;CC du Grand Langres;0.2
200073013;CC Carnelle Pays-de-France;3
200073096;CA Arche Agglo;1.8
200073104;CC de l'Ile-Rousse - Balagne;0
200073112;CC Sud Sarthe;-0.9
200073120;CC Nebbiu - Conca d'Oro;0
200073138;CC Pasquale Paoli;0
200073146;CC Cagire Garonne Salat;-2.3
200073161;CC Touraine-Est Vallées;2.1
200073237;CC de Gâtine-Racan;1.3
200073245;CC du Bassin d'Aubenas;-0.4
200073252;CC de la Castagniccia-Casinca;11.6
200073260;CC Sud Vendée Littoral;0.3
200073344;CA Rambouillet Territoires;1.2
200073393;CC des Rives du Haut Allier;1
200073401;CC Mézenc-Loire-Meygal;-0.5
200073419;CA du Puy-en-Velay;1
200073427;CC Marches du Velay-Rochebaron;-0.4
200077014;CA Vienne Condrieu;0.4
200083392;CA Laval Agglomération;0.7
200084952;Le Havre Seine Métropole;-0.1
200085728;CC Brioude Sud Auvergne;-1.8
200085751;CC Entre Bièvre et Rhône;1.6
200089456;CA Seine-Eure;-0.3
200090504;CA Coulommiers Pays de Brie;0.5
200090561;CC Vierzon-Sologne-Berry;0.2
200090579;CC Terre d'Émeraude Communauté;0.3
200090751;CA Grand Calais Terres et Mers;-0.1
200093201;Métropole Européenne de Lille;1.1
200096634;CC des Hautes Vosges;0
200096642;CC Gérardmer Hautes Vosges;-0.1
200096675;CC Baud Communauté;-0.7
200096683;CC Centre Morbihan Communauté;-0.1
200096956;CA Agglomération d'Agen;0.6
240100610;CC de la Côtière à Montluel;1.6
240100750;CA du Pays de Gex;3.7
240100800;CC de Miribel et du Plateau;2.7
240100883;CC de la Plaine de l'Ain;1.6
240100891;CC Terre Valserhône (CCTV);1.1
240200444;CC de la Thiérache du Centre;0.1
240200469;CC du Pays de la Serre;-0.4
240200477;GrandSoissons Agglomération;0.1
240200493;CC du Pays du Vermandois;0.1
240200501;CC du Val de l'Aisne;2.4
240200519;CC du Canton d'Oulchy-le-Château;-0.5
240200576;CC de la Champagne Picarde;0.2
240200584;CC du Canton de Charly-sur-Marne;-1.4
240200592;CC du Chemin des Dames;-0.7
240200600;CC des Trois Rivières;-0.4
240200634;CC des Portes de la Thiérache;-0.3
240300491;CC du Pays de Lapalisse;-0.6
240300558;CC du Pays de Tronçais;-0.2
240300566;CC du Val de Cher;0
240300657;CC du Pays d'Huriel;0
240400440;CC Pays Forcalquier et Montagne de Lure;4.7
240500439;CC du Briançonnais;0.4
240500462;CC du Pays des Ecrins;0
240600551;CA de la Riviera Française;3.9
240600585;CA de Sophia Antipolis;3.6
240600593;CC du Pays des Paillons;1.5
240700302;CC du Pays Beaume-Drobie;4.2
240700617;CC Val de Ligne;0.7
240700716;CC du Val d'Ay;-1.6
240700815;CC Berg et Coiron;0.4
240700864;CC du Rhône aux Gorges de l'Ardèche;2.6
240800821;CC Ardenne, Rives de Meuse;-1.8
240800847;CC des Portes du Luxembourg;0.4
240800862;CC des Crêtes Préardennaises;-0.2
240800920;CC de l'Argonne Ardennaise;-0.8
240900431;CC du Pays de Tarascon;-0.1
240900464;CC du Pays d'Olmes;0
241000223;CC Forêts, Lacs, Terres en Champagne;-0.6
241000405;CC de la Région de Bar sur Aube;-0.3
241000447;CC du Pays d'Othe;-0.9
241000488;CC de l'Orvin et de l'Ardusson;-0.5
241100593;CA Le Grand Narbonne;1
241200187;CA Rodez Agglomération;0.9
241200542;CC du Réquistanais;6.8
241200567;CC de Millau Grands Causses;0.2
241200625;CC du Pays Rignacois;0
241200641;CC Conques-Marcillac;0
241200658;CC du Pays de Salars;2.4
241200674;CC du Plateau de Montbazens;3.3
241200765;CC de Lévézou Pareloup;-0.3
241200807;CC Aveyron Bas Ségala Viaur;0
241200906;CC Larzac et Vallées;0.5
241200914;CC de la Muse et des Raspes du Tarn;1.1
241300375;CC Vallée des Baux-Alpilles (CC VBA);-0.1
241300417;CA d'Arles-Crau-Camargue-Montagnette;0.3
241400415;CC Coeur Côte Fleurie;0.5
241400514;CC du Pays de Falaise;0
241400555;CC de Bayeux Intercom;0.1
241400860;CC Coeur de Nacre;1.7
241400878;CC Terre d'Auge;0.2
241500230;Aurillac Agglomération;0.1
241500255;CC du Pays Gentiane;0.2
241500271;CC du Pays de Mauriac;0.1
241501055;CC Sumène - Artense;0.7
241501089;CC Cère et Goul en Carladès;1.3
241501139;CC du Pays de Salers;-1.9
241600303;CC du Rouillacais;0
241700434;CA de La Rochelle;1.9
241700459;CC de l'Ile de Ré;1.7
241700517;CC Coeur de Saintonge;0
241700624;CC de l'Ile d'Oléron;3
241700632;CC de Gémozac et de la Saintonge Viticole;0
241700640;CA Royan Atlantique;6.1
241700699;CC du Bassin de Marennes;0.2
241800374;CC la Septaine;0.2
241800424;CC le Dunois;-0.8
241800432;CC les Trois Provinces;0.7
241800457;CC FerCher;-1.9
241800507;CA Bourges Plus;-0.3
241900133;CC de Ventadour - Egletons - Monédières;0
241927201;CA Tulle Agglo;0.1
241927243;CC du Pays d'Uzerche;-1.4
242000354;CA de Bastia;0.9
242000495;CC de l'Alta Rocca;-13.3
242000503;CC Celavu-Prunelli;5.9
242010056;CA du Pays Ajaccien;1.8
242010130;CC du Sartenais Valinco Taravo;0.6
242020071;CC du Centre Corse;11
242020105;CC de Calvi Balagne;3.7
242100154;CC des Vallées de la Tille et de l'Ignon;-0.3
242100410;Dijon Métropole;1.5
242101434;CC du Pays Châtillonnais;-0.4
242101442;CC de Saulieu-Morvan;-0.1
242101459;CC du Pays d'Alésia et de la Seine;0.5
242101491;CC du Montbardois;0.3
242101509;CC Rives de Saône;-1.3
242200715;CC du Kreiz-Breizh (CCKB);0
242300135;CC du Pays Sostranien;0.1
242320000;CC de Bénévent Grand Bourg;-0.1
242320109;CC du Pays Dunois;-1.2
242400752;CC Périgord-Limousin;1.2
242400935;CC du Pays de Saint Aulaye;-0.2
242401024;CC Isle-Loue-Auvézère en Périgord;-0.2
242500320;CC Entre Doubs et Loue;0
242500338;CC du Grand Pontarlier;0.5
242500361;CU Grand Besançon Métropole;0.3
242504116;CC du Val de Morteau;0.6
242504181;CC des Portes du Haut-Doubs;0.4
242504355;CC du Plateau de Russey;0
242504371;CC du Pays de Sancey-Belleherbe;7
242504447;CC du Doubs Baumois;0.8
242504488;CC Altitude 800;5
242504496;CC du Plateau de Frasne et du Val de Drugeon;-1
242600252;CC du Val de Drôme en Biovallée;1.2
242600492;CC Dieulefit-Bourdeaux;3.6
242600534;CC du Diois;0.7
242700276;CC du Pays de Conches;-0.3
242700607;CC du Pays du Neubourg;0.3
242852465;CC du Bonnevalais;0.5
242900074;CC du Pays d'Iroise;2
242900314;Brest Métropole;0.8
242900553;CC du Pays des Abers;2.2
242900561;CC de Haute Cornouaille;-0.3
242900629;CC Cap Sizun - Pointe du Raz;0
242900645;CC Douarnenez Communauté;-0.1
242900660;CC du Pays Fouesnantais;1
242900694;CA Quimperlé Communauté;0.7
242900702;CC du Pays Bigouden Sud;1.9
242900710;CC du Haut Pays Bigouden;1.3
242900744;CC Poher Communauté;0.7
242900751;CC du Pays de Landivisiau;0.1
242900769;CA Concarneau Cornouaille Agglomération;1.2
242900793;CC Communauté Lesneven Côte des Légendes;1
242900801;CA du Pays de Landerneau-Daoulas;0.7
242900835;CA Morlaix Communauté;0.2
243000270;CC du Pays Viganais;0.5
243000296;CC du Pays de Sommières;2.3
243000569;CC Rhony, Vistre, Vidourle;4.4
243000585;CC Beaucaire Terre d'Argence;0.3
243000593;CC de Petite Camargue;0.2
243000643;CA de Nîmes Métropole;0.6
243000650;CC Terre de Camargue;0.6
243000684;CC du Pont du Gard;1.1
243100518;Toulouse Métropole;2.6
243100567;CC Aux sources du Canal du Midi;-0.2
243100633;CA du Sicoval;3.7
243100732;CC des Coteaux du Girou;3.4
243100773;CC Val'Aïgo;0.7
243100781;Le Grand Ouest Toulousain agglomération;2.4
243100815;CC des Coteaux Bellevue;2.8
243200391;CC de la Lomagne Gersoise;0.5
243200409;CC du Bas Armagnac;-0.2
243200417;CC de la Tenarèze;0.4
243200425;CC Coeur d'Astarac en Gascogne;-1.4
243200458;CC du Grand Armagnac;-0.1
243200508;CC Bastides et Vallons du Gers;0.4
243200599;CC du Saves;0.1
243200607;CC Artagnan de Fezensac;0.2
243300316;Bordeaux Métropole;1.5
243300563;CA Bassin d'Arcachon Sud (COBAS);2.6
243300811;CC de l'Estuaire;-1
243301165;CC Jalle-Eau-Bourde;2.2
243301181;CC Latitude Nord Gironde;12.6
243301215;CC du Créonnais;3.1
243301223;CC du Grand Cubzaguais;3.2
243301249;CC Les Rives de la Laurence;4.4
243301264;CC de Montesquieu;4.2
243301355;CC les Coteaux Bordelais;3.5
243301371;CC du Pays Foyen;0.4
243301389;CC Médullienne;4.5
243301397;CC du Fronsadais;-1
243301405;CC du Val de l'Eyre;0.2
243301439;CC des Portes de l'Entre-Deux-Mers;8.9
243301447;CC Médoc Estuaire;5.1
243301454;CC Castillon/Pujols;-0.6
243301504;CA du Bassin d'Arcachon Nord (COBAN);3.1
243400017;Montpellier Méditerranée Métropole;2.8
243400355;CC du Clermontais;2.3
243400470;CA du Pays de l'Or;5.2
243400488;CC la Domitienne;6
243400520;CA Lunel Agglo;1.1
243400694;CC Vallée de l'Hérault;1.7
243400736;CC des Cévennes Gangeoises et Suménoises;-0.1
243400769;CA de Béziers-Méditerranée;1.8
243400819;CA Hérault-Méditerranée;4.9
243500139;Rennes Métropole;1.7
243500550;CC Montfort Communauté;1.4
243500618;CC Brocéliande Communauté;0.6
243500634;Roche aux Fées Communauté;0.9
243500659;CC Pays de Châteaugiron Communauté;1.6
243500667;CC Val d'Ille-Aubigné;3.9
243500725;CC Côte d'Emeraude;2.9
243500733;CC Bretagne Romantique;0.8
243500741;CA Redon Agglomération;0.2
243500774;CC Liffré-Cormier Communauté;4.6
243500782;CA du Pays de Saint Malo Agglomération;0.4
243600202;CC Chabris - Pays de Bazelle;-1.2
243600236;CC du Pays d'Issoudun;-0.1
243600293;CC Levroux Boischaut Champagne;0.2
243600301;CC Val de l'Indre - Brenne;0.2
243600319;CC Brenne - Val de Creuse;0.6
243600327;CA Châteauroux Métropole;-0.1
243600343;CC Coeur de Brenne;-1.4
243600350;CC de la Châtre et Sainte-Sévère;-0.2
243700499;CC du Castelrenaudais;-0.4
243700754;Tours Métropole Val de Loire;1
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;0.7
243800604;CA Porte de l'Isère (CAPI);0
243800745;CC de l'Oisans;2.5
243800935;CC Lyon-Saint-Exupéry en Dauphiné;0.2
243800984;CA du Pays Voironnais;1.7
243801024;CC du Massif du Vercors;0.8
243801073;CC de Bièvre Est;0.5
243801255;CC Collines Isère Nord Communauté;0.8
243900354;CC de la Station des Rousses-Haut Jura;0.3
243900420;CC du Val d'Amour;-0.1
243900479;CC Haut-Jura Arcade Communauté;1
243900560;CC Jura Nord;-0.7
243900610;CC la Grandvallière;0.8
243901089;CC de la Plaine Jurassienne;0
244000543;CC de Mimizan;7
244000659;CC du Seignanx;3.3
244000675;CA du Grand Dax;3.5
244000691;CC du Pays Morcenais;0.5
244000766;CC du Pays Tarusate;-0.3
244000774;CC du Pays de Villeneuve en Armagnac Landais;4.1
244000808;CA Mont de Marsan Agglomération;3.5
244000824;CC du Pays Grenadois;0
244000857;CC Côte Landes Nature;2.5
244000865;CC Maremne Adour Côte Sud;4
244000873;CC des Grands Lacs;2.7
244000881;CC Coteaux et Vallées des Luys;10.8
244100293;CC des Collines du Perche;-0.2
244100780;CC de la Sologne des Etangs;-0.2
244100798;CC du Grand Chambord;0.6
244100806;CC de la Sologne des Rivières;-0.5
244200614;CC des Vals d'Aix et Isable;-0.7
244200622;CC des Monts du Pilat;0.2
244200630;CC du Pays Entre Loire et Rhône;-0.3
244200770;Saint-Étienne Métropole;0
244200820;CC du Pays d'Urfé;-0.4
244200895;CC du Pilat Rhodanien;-0.1
244300307;CC Haut Pays du Velay;-0.7
244301016;CC des Sucs;0.4
244301099;CC Auzon Communauté;0.3
244301107;CC du Haut Lignon;-0.8
244301123;CC des Pays de Cayres et de Pradelles;-0.6
244301131;CC Loire et Semène;-0.3
244400404;Nantes Métropole;2.1
244400438;Grand Lieu Communauté;3.6
244400453;CC du Pays de Blain;0.5
244400503;CC d'Erdre et Gesvres;4.6
244400537;CC de Nozay;0
244400552;CC du Pays d'Ancenis;0.8
244400586;CC du Sud Estuaire;1.6
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);3.1
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);0.8
244500203;CA Montargoise et Rives du Loing (AME);0.1
244500211;CC Giennoises;-2
244500419;CC des Quatre Vallées;-0.1
244500427;CC des Loges;1.4
244500468;Orléans Métropole;0.8
244500484;CC de la Forêt;-0.1
244500542;CC de la Plaine du Nord Loiret;-0.2
244600433;CC de la Vallée du Lot et du Vignoble;-0.5
244600482;CC Quercy - Bouriane;-1.2
244600532;CC du Pays de Lalbenque-Limogne;0
244600573;CC du Causse de Labastide Murat;0
244700449;CC du Pays de Duras;0
244700464;CC du Pays de Lauzun;0
244701355;CC des Coteaux et Landes de Gascogne;-0.1
244701405;CC Lot et Tolzac;0
244800405;CC Coeur de Lozère;1.6
244800470;CC du Gévaudan;0.8
244900015;CU Angers Loire Métropole;0
244900809;CC Anjou Bleu Communauté;-0.2
244900882;CC Baugeois Vallée;-0.9
245100615;CC de la Grande Vallée de la Marne;-0.5
245100888;CC de la Brie Champenoise;-0.4
245100979;CC du Sud Marnais;0.3
245200597;CC des Trois Forêts;-0.6
245300223;CC du Pays de Meslay-Grez;0
245300355;CC de l'Ernée;-0.6
245300389;CC du Bocage Mayennais;-0.6
245300447;CC du Pays de Château-Gontier;-0.7
245400171;CC Moselle et Madon;0.6
245400189;CC des Pays du Sel et du Vermois;0.6
245400262;Agglomération du Grand Longwy;0
245400510;CC du Pays de Colombey et du Sud Toulois;-1.7
245400601;CC du Bassin de Pompey;-0.3
245400676;Métropole du Grand Nancy;0.2
245400759;CC du Pays du Sanon;0
245500327;CC du Sammiellois;-5.1
245501176;CC du Territoire de Fresnes-en-Woëvre;-2.1
245501184;CC du Pays de Revigny-sur-Ornain;-5.1
245501242;CC du Pays d'Étain;-0.2
245501259;CC du Pays de Montmédy;-0.6
245600440;CC Blavet Bellevue Océan;1.4
245600465;CC de Belle Ile en Mer;-0.4
245614383;CC Questembert Communauté;0.8
245614417;CC Roi Morvan Communauté;-0.2
245614433;CC Pontivy Communauté;-0.3
245700133;CC du District Urbain de Faulquemont (DUF);-0.6
245700372;CA de Forbach Porte de France;-0.3
245700398;CC de Freyming-Merlebach;-1.2
245700695;CC de Cattenom et Environs;-0.4
245700950;CC du Pays de Phalsbourg;0
245701164;CC du Warndt;-0.1
245701206;CC du Saulnois;-1.9
245701222;CA du Val de Fensch;0.3
245701271;CC du Pays Orne Moselle;1.4
245701354;CC de l'Arc Mosellan;0.6
245701362;CA Portes de France-Thionville;1.1
245701404;CC du Pays Haut Val d'Alzette;4
245801063;CC Loire et Allier;2.7
245804406;CA de Nevers;-0.3
245804497;CC du Nivernais Bourbonnais;-0.2
245900428;CU de Dunkerque;0.1
245900758;CC Flandre Lys;3.3
245901038;CC du Pays Solesmois;-0.6
245901152;CA Coeur d'Ostrevent;0.1
245901160;CA Valenciennes Métropole;0.5
246000129;CC du Liancourtois;1
246000376;CC du Clermontois;0.9
246000566;CC du Plateau Picard;-0.8
246000582;CC des Sablons;1.2
246000707;CC du Vexin-Thelle;-0.3
246000749;CC des Lisières de l'Oise;-0.2
246000756;CC du Pays Noyonnais;-0.3
246000764;CC de l'Aire Cantilienne;0.2
246000772;CC des Deux Vallées;2.2
246000848;CC de la Picardie Verte;-0.6
246000855;CC du Pays des Sources;4.4
246000871;CC du Pays de Valois;1.8
246000897;CC de la Plaine d'Estrées;0.3
246000913;CC du Pays de Bray;-0.3
246000921;CC des Pays d'Oise et d'Halatte;0.8
246100390;CC du Val d'Orne;-2.5
246100663;CU d'Alençon;0.2
246200299;CA d'Hénin-Carvin;0.2
246200364;CA de Lens - Liévin;0
246200380;CC de la Terre des Deux Caps;2
246200729;CA du Boulonnais;0
246200844;CC de la Région d'Audruicq;0
246201016;CC du Pays de Lumbres;-0.3
246300701;Clermont Auvergne Métropole;1.3
246300966;CC du Massif du Sancy;-0.1
246301097;CC Entre Dore et Allier;-0.1
246400337;CC de la Vallée d'Ossau;0
246401756;CC Pays de Nay;1.4
246500482;CC de la Haute-Bigorre;-0.1
246500573;CC Aure Louron;-0.7
246600282;CC Sud-Roussillon;2.8
246600373;CC du Vallespir;2
246600399;CC Pyrénées Cerdagne;1.5
246600415;CC Roussillon-Conflent;2
246600423;CC Agly Fenouillèdes;-0.9
246600449;CC des Aspres;1.7
246600464;CC Pyrénées Catalanes;-1.3
246600548;CC du Haut Vallespir;-0.9
246700306;CC de la Vallée de la Bruche;-0.1
246700488;Eurométropole de Strasbourg;1.1
246700744;CC des Portes de Rosheim;0.4
246700777;CC de la Vallée de Villé;-1.1
246700843;CC de la Basse-Zorn;8.1
246700926;CC du Pays de Wissembourg;2.3
246700959;CC du Pays de la Zorn;1.6
246700967;CC de Sélestat;-0.1
246701064;CC de la Région de Molsheim-Mutzig;1.7
246701080;CC du Pays de Sainte-Odile;2.1
246701098;CC du Pays de Niederbronn-les-Bains;3.4
246800205;CC de la Vallée de Saint-Amarin;-0.5
246800395;CC du Val d'Argent;-0.5
246800445;CC du Centre du Haut-Rhin;-0.5
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;-0.4
246800551;CC de la Vallée de Kaysersberg;-0.1
246800569;CC de la Région de Guebwiller;-0.5
246800577;CC du Pays de Ribeauvillé;-0.5
246800585;CC de la Vallée de Munster;-0.7
246800676;CC de la Vallée de la Doller et du Soultzbach;-0.6
246800726;CA Colmar Agglomération;0.2
246900575;CC de l'Est Lyonnais (CCEL);4.8
246900625;CC du Pays de l'Arbresle (CCPA);1.5
246900724;CC des Vallons du Lyonnais (CCVL);3.2
246900740;CC du Pays Mornantais (COPAMO);4.5
246900757;CC de la Vallée du Garon (CCVG);2.5
246900765;CC du Pays de l'Ozon;5.4
247000011;CA de Vesoul;0.3
247000367;CC des Combes;1.9
247000623;CC des Quatre Rivières;-0.5
247000664;CC du Pays de Lure;0.2
247000698;CC des Monts de Gy;0.6
247000706;CC du Pays Riolais;4.1
247000714;CC du Pays de Villersexel;1
247000722;CC du Pays d'Héricourt;-0.1
247000755;CC du Pays de Luxeuil;0.2
247000821;CC Rahin et Chérimont;-0.1
247000854;CC des 1000 étangs;0
247100290;CU Le Creusot Montceau-les-Mines;-0.5
247100589;CA Le Grand Chalon;-0.1
247100639;CC de Marcigny;-0.7
247100647;CC Bresse Nord Intercom';3.7
247103765;CC Entre Saône et Grosne;0.1
247103864;CC de Semur en Brionnais;0.3
247104094;CC Sud Côte Chalonnaise;-0.8
247200090;CC du Pays Sabolien;1
247200132;CU Le Mans Métropole;0.4
247200348;CC du Pays Fléchois;0
247200421;CC du Sud Est Manceau;2.3
247200447;CC Orée de Bercé - Belinois;0.8
247200629;CC du Val de Sarthe;0.7
247200686;Communauté de communes du Perche Emeraude;-2.3
247300015;CC des Vallées d'Aigueblanche;-0.4
247300254;CC de Haute-Tarentaise;0.8
247300262;CC de Yenne;2.2
247300361;CC du Canton de La Chambre;0
247300452;CC Maurienne Galibier;0
247300528;CC Val Guiers;0.6
247300668;CC du Lac d'Aiguebelette (CCLA);2
247300676;CC Porte de Maurienne;0
247300817;CC Les Versants d'Aime;0
247400047;CC de la Vallée Verte;-0.1
247400112;CC du Pays de Cruseilles;7.3
247400567;CC Fier et Usses;4.5
247400583;CC Arve et Salève;5.3
247400617;CC des Vallées de Thônes;0.8
247400666;CC des Quatre Rivières;1.3
247400682;CC du Haut Chablais;1.5
247400690;CC du Genevois;2.3
247400724;CC du Pays Rochois;1.9
247400740;CC Rumilly Terre de Savoie;1.2
247400773;CC des Sources du Lac d'Annecy;2
247600505;CC Campagne-de-Caux;-1.4
247600588;CC des Villes Soeurs;0.6
247600604;CC de Londinières;1.3
247600620;CC Yvetot Normandie;0
247600646;CC Caux - Austreberthe;-0.1
247600729;CC Falaises du Talou;-0.4
247600786;CA de la Région Dieppoise;0.2
247700032;CC Moret Seine et Loing;1.4
247700057;CA Melun Val de Seine;1
247700065;CC du Pays de l'Ourcq;-0.1
247700107;CC Pays de Montereau;-0.2
247700339;CA Val d'Europe Agglomération;5.4
247700594;CA Marne et Gondoire;3.3
247700644;CC l'Orée de la Brie;2.3
247700701;CC Brie Nangissienne;0.5
247800550;CC du Pays Houdanais (CCPH);2.5
247800584;CA Versailles Grand Parc (CAVGP);2.9
247800618;CC Coeur d'Yvelines;4.9
247900798;CC du Thouarsais;-0.8
248000499;CC du Val de Somme;0.4
248000531;CA Amiens Métropole;0.4
248000747;CC du Pays du Coquelicot;-0.1
248100158;CC du Sor et de l'Agout;0.2
248100430;CA de Castres Mazamet;-0.1
248100497;CC Val 81;8.7
248100737;CA de l'Albigeois (C2A);0.9
248100745;CC Thoré Montagne Noire;-0.8
248200016;CC des Deux Rives;-0.3
248200057;CC du Quercy Caussadais;2.7
248200065;CC de la Lomagne Tarn-et-Garonnaise;-1
248200099;CA Grand Montauban;2
248200107;Quercy Rouergue et des Gorges de l'Aveyron;-1.7
248300394;CA Sud Sainte Baume;9.5
248300410;CC de la Vallée du Gapeau;4
248300493;Dracénie Provence Verdon Agglomération;4.2
248300543;Métropole Toulon-Provence-Méditerranée;1.6
248300550;CC Coeur du Var;2.4
248400053;CA Ventoux-Comtat-Venaissin (COVE);1.6
248400160;CC Aygues-Ouvèze en Provence (CCAOP);4.3
248400236;Pays d'Orange en Provence;0.8
248400251;CA du Grand Avignon (COGA);1.4
248400285;Communauté de Communes Sud Luberon;3.3
248400293;CA des Sorgues du Comtat;1.9
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;0.8
248400335;CC Vaison Ventoux;-0.6
248500191;CC de l'Ile de Noirmoutier;3.5
248500258;CC Océan Marais de Monts;4.2
248500340;CC Pays de Chantonnay;0.7
248500415;CC du Pays de la Châtaigneraie;-0.1
248500464;CC du Pays de Pouzauges;-0.1
248500530;CC du Pays des Achards;2.7
248500563;CC Vendée, Sèvre, Autise;-0.3
248500589;CA La Roche-sur-Yon - Agglomération;1.5
248500621;CC du Pays des Herbiers;1.8
248500662;CC du Pays de Mortagne;1.2
248600413;CA Grand Châtellerault;-0.4
248600447;CC du Pays Loudunais;1
248700189;CC du Pays de Saint Yrieix;1.2
248719262;CC Gartempe - Saint Pardoux;0
248719288;CC du Val de Vienne;1.3
248719312;CU Limoges Métropole;0.6
248719338;CC Briance-Combade;1.4
248719353;CC des Portes de Vassivière;0.3
248719361;CC de Noblat;-2
248900334;CA du Grand Sénonais;0.3
248900383;CC de l'Agglomération Migennoise;-0.7
248900524;CC de l'Aillantais en Bourgogne;-0.3
248900664;CC de la Vanne et du Pays d'Othe;-0.5
248900748;CC du Gâtinais en Bourgogne;-0.8
248900896;CC Yonne Nord;0.7
248900938;CC du Jovinien;0.1
249000241;CC du Sud Territoire;-1
249100074;CC du Pays de Limours (CCPL);5.1
249100157;CC des 2 Vallées;6.7
