Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des résidences secondaires et logements occasionnels 2022
200071116;CA ECLA (Espace Communautaire Lons Agglomération);5.2
200071140;CA Moulins Communauté;4
200071165;CA Les Sables d'Olonne Agglomération;33.1
200071173;CC du Pays Arnay Liernais;19.7
200071181;CC Somme Sud-Ouest;4.3
200071199;CC Plaine Limagne;4.1
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;15.5
200071215;CC Chavanon Combrailles et Volcans;20.7
200071223;CC Nièvre et Somme;1.5
200071298;CC des Terres du Lauragais;2.9
200071314;CC des Hauts-Tolosans;2.9
200071363;CA Vichy Communauté;7.3
200071371;CC Bresse et Saône;2.7
200071389;CC Saint-Pourçain Sioule Limagne;10.1
200071405;CC Ardèche Rhône Coiron;6.5
200071413;CA Privas Centre Ardèche;11.6
200071454;CA Evreux Portes de Normandie;3.6
200071470;CC Entr'Allier Besbre et Loire;8.9
200071496;CC du Bocage Bourbonnais;12.9
200071504;CC des Collines du Perche Normand;16.5
200071512;CC Commentry Montmarault Néris Communauté;9.1
200071520;CC Domfront Tinchebray Interco;8.7
200071538;CC Terres de Bresse;8.4
200071546;CC Sud Retz Atlantique;2.8
200071553;CC Loire Layon Aubance;3.8
200071579;CC Bresse Louhannaise Intercom';8.9
200071587;CC Loches Sud Touraine;10.4
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;8.7
200071629;CC Challans-Gois Communauté;6.2
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;16.6
200071652;CC du Pays Fertois et du Bocage Carrougien;13.5
200071678;CA Cholet Agglomération;1.9
200071751;CA du Bassin de Bourg-en-Bresse;3.4
200071769;CC Picardie des Châteaux;3.9
200071777;CC d'Arcis, Mailly, Ramerupt;3.8
200071785;CA Chauny Tergnier La Fère;1.9
200071819;CC du Périgord Nontronnais;21.2
200071827;CA du Grand Angoulême;2.1
200071843;CC du Vexin Normand;5
200071850;CC du Pithiverais-Gâtinais;9.3
200071868;CC des Vallées du Haut-Anjou;3.4
200071876;CA Saumur Val de Loire;6.2
200071884;CC Le Grand Charolais;6.9
200071892;CA du Saint-Quentinois;1.4
200071900;CC Vendée Grand Littoral;41.1
200071918;CC du Pays de Saint-Fulgent - Les Essarts;1.6
200071926;CC du Limouxin;13.4
200071934;CC du Pays de Fontenay-Vendée;6.4
200071942;CC Haut Limousin en Marche;18.9
200071967;CC Pays d'Evian Vallée d'Abondance;39.9
200071983;CC Thiérache Sambre et Oise;3.8
200071991;CC Retz en Valois;5.9
200072007;CC Montagne d'Ardèche;58.1
200072015;CA Annonay Rhône Agglo;3.8
200072023;CC Coeur de Charente;10.1
200072031;CA de la Région de Château-Thierry;4.8
200072049;CC de Charente Limousine;12.6
200072056;CC Porte du Jura;10.9
200072064;CC Val-de-Cher-Controis;10.9
200072072;CA Territoires Vendômois;7.7
200072080;CC du Pays de Saint-Eloy;19.6
200072098;CC Combrailles Sioule et Morge;9.7
200072106;CC Adour Madiran;5.8
200072130;CA du Pays de Meaux;1.2
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;70
200072312;CA Seine Normandie Agglomération;4.9
200072320;CC Val de Gers;9.1
200072346;CA du Pays de Fontainebleau;6.6
200072452;CA Fougères Agglomération;3
200072460;CA de Béthune-Bruay, Artois-Lys Romane;0.7
200072478;CC Pays d'Opale;3.6
200072544;CC des Deux Morin;6.2
200072635;CC Pyrénées Haut Garonnaises;52
200072643;CC Coeur et Coteaux du Comminges;7.1
200072650;CC Touraine Vallée de l'Indre;3.8
200072668;CC Touraine Val de Vienne;10.8
200072676;CC Maine Saosnois;6.8
200072684;CC Le Gesnois Bilurien;4.6
200072692;CC des Vallées de la Braye et de l'Anille;9.4
200072700;CC Haute Sarthe Alpes Mancelles;7.9
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;6
200072726;CC Châteaubriant-Derval;3.4
200072734;CC Estuaire et Sillon;1.8
200072825;CC Mirebellois et Fontenois;6.2
200072874;CC Val Briard;2.4
200072882;CC de Vie et Boulogne;4.8
200072981;CC Touraine Ouest Val de Loire;6.9
200072999;CC du Grand Langres;6.8
200073013;CC Carnelle Pays-de-France;1.8
200073096;CA Arche Agglo;5.9
200073104;CC de l'Ile-Rousse - Balagne;55.8
200073112;CC Sud Sarthe;9.8
200073120;CC Nebbiu - Conca d'Oro;47.6
200073138;CC Pasquale Paoli;53.3
200073146;CC Cagire Garonne Salat;18.3
200073161;CC Touraine-Est Vallées;2.4
200073237;CC de Gâtine-Racan;4.4
200073245;CC du Bassin d'Aubenas;12.3
200073252;CC de la Castagniccia-Casinca;35.9
200073260;CC Sud Vendée Littoral;31.1
200073344;CA Rambouillet Territoires;4
200073393;CC des Rives du Haut Allier;26.3
200073401;CC Mézenc-Loire-Meygal;29.6
200073419;CA du Puy-en-Velay;11.1
200073427;CC Marches du Velay-Rochebaron;10.8
200077014;CA Vienne Condrieu;1.5
200083392;CA Laval Agglomération;2.4
200084952;Le Havre Seine Métropole;2.8
200085728;CC Brioude Sud Auvergne;11.2
200085751;CC Entre Bièvre et Rhône;2.2
200089456;CA Seine-Eure;2.6
200090504;CA Coulommiers Pays de Brie;3.6
200090561;CC Vierzon-Sologne-Berry;4.8
200090579;CC Terre d'Émeraude Communauté;19.4
200090751;CA Grand Calais Terres et Mers;2.9
200093201;Métropole Européenne de Lille;1.6
200096634;CC des Hautes Vosges;30.2
200096642;CC Gérardmer Hautes Vosges;38.7
200096675;CC Baud Communauté;8.9
200096683;CC Centre Morbihan Communauté;4.4
200096956;CA Agglomération d'Agen;4
240100610;CC de la Côtière à Montluel;1.4
240100750;CA du Pays de Gex;11.5
240100800;CC de Miribel et du Plateau;0.9
240100883;CC de la Plaine de l'Ain;4.9
240100891;CC Terre Valserhône (CCTV);5.5
240200444;CC de la Thiérache du Centre;4.7
240200469;CC du Pays de la Serre;3.6
240200477;GrandSoissons Agglomération;1.4
240200493;CC du Pays du Vermandois;1.7
240200501;CC du Val de l'Aisne;4
240200519;CC du Canton d'Oulchy-le-Château;7.3
240200576;CC de la Champagne Picarde;2.7
240200584;CC du Canton de Charly-sur-Marne;5.2
240200592;CC du Chemin des Dames;17
240200600;CC des Trois Rivières;3.4
240200634;CC des Portes de la Thiérache;7.7
240300491;CC du Pays de Lapalisse;8.8
240300558;CC du Pays de Tronçais;20.5
240300566;CC du Val de Cher;6.3
240300657;CC du Pays d'Huriel;9.7
240400440;CC Pays Forcalquier et Montagne de Lure;20.7
240500439;CC du Briançonnais;61.7
240500462;CC du Pays des Ecrins;61.6
240600551;CA de la Riviera Française;42.5
240600585;CA de Sophia Antipolis;28.7
240600593;CC du Pays des Paillons;13.7
240700302;CC du Pays Beaume-Drobie;37.5
240700617;CC Val de Ligne;26.3
240700716;CC du Val d'Ay;19.2
240700815;CC Berg et Coiron;17.3
240700864;CC du Rhône aux Gorges de l'Ardèche;10
240800821;CC Ardenne, Rives de Meuse;5.1
240800847;CC des Portes du Luxembourg;3.9
240800862;CC des Crêtes Préardennaises;7.6
240800920;CC de l'Argonne Ardennaise;9.4
240900431;CC du Pays de Tarascon;32
240900464;CC du Pays d'Olmes;18.5
241000223;CC Forêts, Lacs, Terres en Champagne;4.8
241000405;CC de la Région de Bar sur Aube;7.1
241000447;CC du Pays d'Othe;15.4
241000488;CC de l'Orvin et de l'Ardusson;7.6
241100593;CA Le Grand Narbonne;39.8
241200187;CA Rodez Agglomération;3.6
241200542;CC du Réquistanais;23.6
241200567;CC de Millau Grands Causses;13.9
241200625;CC du Pays Rignacois;15.2
241200641;CC Conques-Marcillac;19.7
241200658;CC du Pays de Salars;12.9
241200674;CC du Plateau de Montbazens;14.3
241200765;CC de Lévézou Pareloup;35.7
241200807;CC Aveyron Bas Ségala Viaur;19.4
241200906;CC Larzac et Vallées;40.3
241200914;CC de la Muse et des Raspes du Tarn;36.9
241300375;CC Vallée des Baux-Alpilles (CC VBA);21.5
241300417;CA d'Arles-Crau-Camargue-Montagnette;9.4
241400415;CC Coeur Côte Fleurie;69.1
241400514;CC du Pays de Falaise;4.1
241400555;CC de Bayeux Intercom;10.1
241400860;CC Coeur de Nacre;32.4
241400878;CC Terre d'Auge;23
241500230;Aurillac Agglomération;6.6
241500255;CC du Pays Gentiane;32.2
241500271;CC du Pays de Mauriac;18.3
241501055;CC Sumène - Artense;25.7
241501089;CC Cère et Goul en Carladès;30.9
241501139;CC du Pays de Salers;37.3
241600303;CC du Rouillacais;6.6
241700434;CA de La Rochelle;10.9
241700459;CC de l'Ile de Ré;61.3
241700517;CC Coeur de Saintonge;6.7
241700624;CC de l'Ile d'Oléron;62
241700632;CC de Gémozac et de la Saintonge Viticole;9.1
241700640;CA Royan Atlantique;43
241700699;CC du Bassin de Marennes;17.2
241800374;CC la Septaine;4.7
241800424;CC le Dunois;8.2
241800432;CC les Trois Provinces;12
241800457;CC FerCher;4.4
241800507;CA Bourges Plus;2.4
241900133;CC de Ventadour - Egletons - Monédières;24.3
241927201;CA Tulle Agglo;12.9
241927243;CC du Pays d'Uzerche;16.8
242000354;CA de Bastia;4.1
242000495;CC de l'Alta Rocca;61.6
242000503;CC Celavu-Prunelli;32.7
242010056;CA du Pays Ajaccien;10.4
242010130;CC du Sartenais Valinco Taravo;43.4
242020071;CC du Centre Corse;24.1
242020105;CC de Calvi Balagne;57.4
242100154;CC des Vallées de la Tille et de l'Ignon;3.8
242100410;Dijon Métropole;3.2
242101434;CC du Pays Châtillonnais;15.9
242101442;CC de Saulieu-Morvan;14.6
242101459;CC du Pays d'Alésia et de la Seine;14.9
242101491;CC du Montbardois;8
242101509;CC Rives de Saône;5.7
242200715;CC du Kreiz-Breizh (CCKB);16.3
242300135;CC du Pays Sostranien;12.3
242320000;CC de Bénévent Grand Bourg;24.5
242320109;CC du Pays Dunois;27.1
242400752;CC Périgord-Limousin;17.4
242400935;CC du Pays de Saint Aulaye;15.6
242401024;CC Isle-Loue-Auvézère en Périgord;19.6
242500320;CC Entre Doubs et Loue;6.2
242500338;CC du Grand Pontarlier;3.4
242500361;CU Grand Besançon Métropole;2
242504116;CC du Val de Morteau;4.4
242504181;CC des Portes du Haut-Doubs;3.4
242504355;CC du Plateau de Russey;4.5
242504371;CC du Pays de Sancey-Belleherbe;6.9
242504447;CC du Doubs Baumois;3.9
242504488;CC Altitude 800;4.6
242504496;CC du Plateau de Frasne et du Val de Drugeon;5.4
242600252;CC du Val de Drôme en Biovallée;8
242600492;CC Dieulefit-Bourdeaux;23.1
242600534;CC du Diois;32.3
242700276;CC du Pays de Conches;6.2
242700607;CC du Pays du Neubourg;3.1
242852465;CC du Bonnevalais;8.7
242900074;CC du Pays d'Iroise;18.3
242900314;Brest Métropole;3.4
242900553;CC du Pays des Abers;10.2
242900561;CC de Haute Cornouaille;13.9
242900629;CC Cap Sizun - Pointe du Raz;34.8
242900645;CC Douarnenez Communauté;13.3
242900660;CC du Pays Fouesnantais;27.8
242900694;CA Quimperlé Communauté;13.5
242900702;CC du Pays Bigouden Sud;32.6
242900710;CC du Haut Pays Bigouden;17
242900744;CC Poher Communauté;9.1
242900751;CC du Pays de Landivisiau;4.7
242900769;CA Concarneau Cornouaille Agglomération;16.7
242900793;CC Communauté Lesneven Côte des Légendes;14.5
242900801;CA du Pays de Landerneau-Daoulas;4.7
242900835;CA Morlaix Communauté;14.3
243000270;CC du Pays Viganais;28.6
243000296;CC du Pays de Sommières;9.1
243000569;CC Rhony, Vistre, Vidourle;5.5
243000585;CC Beaucaire Terre d'Argence;2.1
243000593;CC de Petite Camargue;4.2
243000643;CA de Nîmes Métropole;4.6
243000650;CC Terre de Camargue;65
243000684;CC du Pont du Gard;8.4
243100518;Toulouse Métropole;3
243100567;CC Aux sources du Canal du Midi;7.9
243100633;CA du Sicoval;1.5
243100732;CC des Coteaux du Girou;1.5
243100773;CC Val'Aïgo;1.9
243100781;Le Grand Ouest Toulousain agglomération;1
243100815;CC des Coteaux Bellevue;0.9
243200391;CC de la Lomagne Gersoise;10.7
243200409;CC du Bas Armagnac;6.8
243200417;CC de la Tenarèze;11.7
243200425;CC Coeur d'Astarac en Gascogne;8.2
243200458;CC du Grand Armagnac;24.2
243200508;CC Bastides et Vallons du Gers;12.9
243200599;CC du Saves;8.8
243200607;CC Artagnan de Fezensac;11.1
243300316;Bordeaux Métropole;3.6
243300563;CA Bassin d'Arcachon Sud (COBAS);33.3
243300811;CC de l'Estuaire;5.1
243301165;CC Jalle-Eau-Bourde;2.2
243301181;CC Latitude Nord Gironde;1.7
243301215;CC du Créonnais;1.6
243301223;CC du Grand Cubzaguais;1.7
243301249;CC Les Rives de la Laurence;1.2
243301264;CC de Montesquieu;1.1
243301355;CC les Coteaux Bordelais;1.5
243301371;CC du Pays Foyen;5.5
243301389;CC Médullienne;10.8
243301397;CC du Fronsadais;2.7
243301405;CC du Val de l'Eyre;3.8
243301439;CC des Portes de l'Entre-Deux-Mers;2.3
243301447;CC Médoc Estuaire;1.7
243301454;CC Castillon/Pujols;6
243301504;CA du Bassin d'Arcachon Nord (COBAN);28.2
243400017;Montpellier Méditerranée Métropole;3.8
243400355;CC du Clermontais;7.7
243400470;CA du Pays de l'Or;49.1
243400488;CC la Domitienne;12.5
243400520;CA Lunel Agglo;3
243400694;CC Vallée de l'Hérault;6.2
243400736;CC des Cévennes Gangeoises et Suménoises;17.6
243400769;CA de Béziers-Méditerranée;13.3
243400819;CA Hérault-Méditerranée;49.3
243500139;Rennes Métropole;3.3
243500550;CC Montfort Communauté;1.8
243500618;CC Brocéliande Communauté;5.2
243500634;Roche aux Fées Communauté;2.8
243500659;CC Pays de Châteaugiron Communauté;1.3
243500667;CC Val d'Ille-Aubigné;2
243500725;CC Côte d'Emeraude;40.8
243500733;CC Bretagne Romantique;5.6
243500741;CA Redon Agglomération;6.4
243500774;CC Liffré-Cormier Communauté;2
243500782;CA du Pays de Saint Malo Agglomération;23.6
243600202;CC Chabris - Pays de Bazelle;13.8
243600236;CC du Pays d'Issoudun;4.5
243600293;CC Levroux Boischaut Champagne;7.8
243600301;CC Val de l'Indre - Brenne;6.9
243600319;CC Brenne - Val de Creuse;16.3
243600327;CA Châteauroux Métropole;2.6
243600343;CC Coeur de Brenne;24.6
243600350;CC de la Châtre et Sainte-Sévère;13.2
243700499;CC du Castelrenaudais;3.7
243700754;Tours Métropole Val de Loire;2.9
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;5.9
243800604;CA Porte de l'Isère (CAPI);1.4
243800745;CC de l'Oisans;75.7
243800935;CC Lyon-Saint-Exupéry en Dauphiné;2.4
243800984;CA du Pays Voironnais;3
243801024;CC du Massif du Vercors;56.4
243801073;CC de Bièvre Est;3.5
243801255;CC Collines Isère Nord Communauté;1.6
243900354;CC de la Station des Rousses-Haut Jura;47.7
243900420;CC du Val d'Amour;7.4
243900479;CC Haut-Jura Arcade Communauté;12.1
243900560;CC Jura Nord;4.7
243900610;CC la Grandvallière;18.1
243901089;CC de la Plaine Jurassienne;6.1
244000543;CC de Mimizan;40.3
244000659;CC du Seignanx;7.1
244000675;CA du Grand Dax;11.6
244000691;CC du Pays Morcenais;8.7
244000766;CC du Pays Tarusate;4.9
244000774;CC du Pays de Villeneuve en Armagnac Landais;5.2
244000808;CA Mont de Marsan Agglomération;2.3
244000824;CC du Pays Grenadois;4.1
244000857;CC Côte Landes Nature;40.9
244000865;CC Maremne Adour Côte Sud;42.8
244000873;CC des Grands Lacs;29.7
244000881;CC Coteaux et Vallées des Luys;4.7
244100293;CC des Collines du Perche;18.3
244100780;CC de la Sologne des Etangs;17.2
244100798;CC du Grand Chambord;7.4
244100806;CC de la Sologne des Rivières;10.1
244200614;CC des Vals d'Aix et Isable;11.5
244200622;CC des Monts du Pilat;14.8
244200630;CC du Pays Entre Loire et Rhône;6
244200770;Saint-Étienne Métropole;2
244200820;CC du Pays d'Urfé;18.1
244200895;CC du Pilat Rhodanien;6
244300307;CC Haut Pays du Velay;14.4
244301016;CC des Sucs;16.3
244301099;CC Auzon Communauté;10.7
244301107;CC du Haut Lignon;31.3
244301123;CC des Pays de Cayres et de Pradelles;39.6
244301131;CC Loire et Semène;5.4
244400404;Nantes Métropole;3.4
244400438;Grand Lieu Communauté;1.3
244400453;CC du Pays de Blain;2.5
244400503;CC d'Erdre et Gesvres;2.3
244400537;CC de Nozay;2.5
244400552;CC du Pays d'Ancenis;2.9
244400586;CC du Sud Estuaire;20.5
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);47.6
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);12.4
244500203;CA Montargoise et Rives du Loing (AME);2.5
244500211;CC Giennoises;6.2
244500419;CC des Quatre Vallées;10.9
244500427;CC des Loges;4.1
244500468;Orléans Métropole;2.5
244500484;CC de la Forêt;2.1
244500542;CC de la Plaine du Nord Loiret;5.3
244600433;CC de la Vallée du Lot et du Vignoble;21.3
244600482;CC Quercy - Bouriane;19.5
244600532;CC du Pays de Lalbenque-Limogne;23.7
244600573;CC du Causse de Labastide Murat;34.5
244700449;CC du Pays de Duras;18.5
244700464;CC du Pays de Lauzun;9.7
244701355;CC des Coteaux et Landes de Gascogne;10.9
244701405;CC Lot et Tolzac;9.1
244800405;CC Coeur de Lozère;9.6
244800470;CC du Gévaudan;15
244900015;CU Angers Loire Métropole;2.5
244900809;CC Anjou Bleu Communauté;3.6
244900882;CC Baugeois Vallée;6.2
245100615;CC de la Grande Vallée de la Marne;3.2
245100888;CC de la Brie Champenoise;9.2
245100979;CC du Sud Marnais;3.4
245200597;CC des Trois Forêts;16.2
245300223;CC du Pays de Meslay-Grez;6.1
245300355;CC de l'Ernée;5.2
245300389;CC du Bocage Mayennais;12.8
245300447;CC du Pays de Château-Gontier;3.5
245400171;CC Moselle et Madon;1.2
245400189;CC des Pays du Sel et du Vermois;0.8
245400262;Agglomération du Grand Longwy;1.1
245400510;CC du Pays de Colombey et du Sud Toulois;4.1
245400601;CC du Bassin de Pompey;0.7
245400676;Métropole du Grand Nancy;3.1
245400759;CC du Pays du Sanon;3.6
245500327;CC du Sammiellois;5.1
245501176;CC du Territoire de Fresnes-en-Woëvre;6.5
245501184;CC du Pays de Revigny-sur-Ornain;2.3
245501242;CC du Pays d'Étain;2.3
245501259;CC du Pays de Montmédy;7
245600440;CC Blavet Bellevue Océan;13.5
245600465;CC de Belle Ile en Mer;57.2
245614383;CC Questembert Communauté;11
245614417;CC Roi Morvan Communauté;13.4
245614433;CC Pontivy Communauté;6.3
245700133;CC du District Urbain de Faulquemont (DUF);1
245700372;CA de Forbach Porte de France;0.6
245700398;CC de Freyming-Merlebach;0.7
245700695;CC de Cattenom et Environs;2.4
245700950;CC du Pays de Phalsbourg;5.5
245701164;CC du Warndt;0.7
245701206;CC du Saulnois;2.6
245701222;CA du Val de Fensch;0.9
245701271;CC du Pays Orne Moselle;1.5
245701354;CC de l'Arc Mosellan;0.7
245701362;CA Portes de France-Thionville;1.6
245701404;CC du Pays Haut Val d'Alzette;1.9
245801063;CC Loire et Allier;4.2
245804406;CA de Nevers;2.7
245804497;CC du Nivernais Bourbonnais;8.9
245900428;CU de Dunkerque;5.7
245900758;CC Flandre Lys;0.8
245901038;CC du Pays Solesmois;1.6
245901152;CA Coeur d'Ostrevent;0.7
245901160;CA Valenciennes Métropole;1.3
246000129;CC du Liancourtois;0.9
246000376;CC du Clermontois;1.2
246000566;CC du Plateau Picard;2
246000582;CC des Sablons;2.1
246000707;CC du Vexin-Thelle;6.1
246000749;CC des Lisières de l'Oise;5.6
246000756;CC du Pays Noyonnais;2.3
246000764;CC de l'Aire Cantilienne;3.8
246000772;CC des Deux Vallées;1.4
246000848;CC de la Picardie Verte;5.3
246000855;CC du Pays des Sources;3.5
246000871;CC du Pays de Valois;2.8
246000897;CC de la Plaine d'Estrées;1.7
246000913;CC du Pays de Bray;5.1
246000921;CC des Pays d'Oise et d'Halatte;1.7
246100390;CC du Val d'Orne;15.3
246100663;CU d'Alençon;2.6
246200299;CA d'Hénin-Carvin;0.4
246200364;CA de Lens - Liévin;0.5
246200380;CC de la Terre des Deux Caps;21.9
246200729;CA du Boulonnais;11.7
246200844;CC de la Région d'Audruicq;4.9
246201016;CC du Pays de Lumbres;2.4
246300701;Clermont Auvergne Métropole;4
246300966;CC du Massif du Sancy;61.8
246301097;CC Entre Dore et Allier;3.3
246400337;CC de la Vallée d'Ossau;42.6
246401756;CC Pays de Nay;5.5
246500482;CC de la Haute-Bigorre;37
246500573;CC Aure Louron;75
246600282;CC Sud-Roussillon;47.1
246600373;CC du Vallespir;13.4
246600399;CC Pyrénées Cerdagne;60.2
246600415;CC Roussillon-Conflent;9
246600423;CC Agly Fenouillèdes;25.2
246600449;CC des Aspres;7.7
246600464;CC Pyrénées Catalanes;81.7
246600548;CC du Haut Vallespir;44.8
246700306;CC de la Vallée de la Bruche;12.2
246700488;Eurométropole de Strasbourg;3.6
246700744;CC des Portes de Rosheim;6
246700777;CC de la Vallée de Villé;11.8
246700843;CC de la Basse-Zorn;0.5
246700926;CC du Pays de Wissembourg;3.3
246700959;CC du Pays de la Zorn;1.6
246700967;CC de Sélestat;2.2
246701064;CC de la Région de Molsheim-Mutzig;2.3
246701080;CC du Pays de Sainte-Odile;3.1
246701098;CC du Pays de Niederbronn-les-Bains;3.9
246800205;CC de la Vallée de Saint-Amarin;9.4
246800395;CC du Val d'Argent;8.5
246800445;CC du Centre du Haut-Rhin;1.2
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;6.1
246800551;CC de la Vallée de Kaysersberg;13.3
246800569;CC de la Région de Guebwiller;4
246800577;CC du Pays de Ribeauvillé;11
246800585;CC de la Vallée de Munster;17.6
246800676;CC de la Vallée de la Doller et du Soultzbach;2.7
246800726;CA Colmar Agglomération;4.1
246900575;CC de l'Est Lyonnais (CCEL);1.2
246900625;CC du Pays de l'Arbresle (CCPA);2.7
246900724;CC des Vallons du Lyonnais (CCVL);2.1
246900740;CC du Pays Mornantais (COPAMO);2.1
246900757;CC de la Vallée du Garon (CCVG);1.3
246900765;CC du Pays de l'Ozon;1.2
247000011;CA de Vesoul;2.4
247000367;CC des Combes;8.6
247000623;CC des Quatre Rivières;13
247000664;CC du Pays de Lure;2.7
247000698;CC des Monts de Gy;4.6
247000706;CC du Pays Riolais;3.4
247000714;CC du Pays de Villersexel;5.5
247000722;CC du Pays d'Héricourt;1.2
247000755;CC du Pays de Luxeuil;5.4
247000821;CC Rahin et Chérimont;4.1
247000854;CC des 1000 étangs;20.7
247100290;CU Le Creusot Montceau-les-Mines;2.3
247100589;CA Le Grand Chalon;3.8
247100639;CC de Marcigny;10.3
247100647;CC Bresse Nord Intercom';14.8
247103765;CC Entre Saône et Grosne;14
247103864;CC de Semur en Brionnais;17.7
247104094;CC Sud Côte Chalonnaise;14.6
247200090;CC du Pays Sabolien;3.9
247200132;CU Le Mans Métropole;2.7
247200348;CC du Pays Fléchois;3.4
247200421;CC du Sud Est Manceau;2.9
247200447;CC Orée de Bercé - Belinois;2.6
247200629;CC du Val de Sarthe;2.8
247200686;Communauté de communes du Perche Emeraude;6.8
247300015;CC des Vallées d'Aigueblanche;53.9
247300254;CC de Haute-Tarentaise;76
247300262;CC de Yenne;10.1
247300361;CC du Canton de La Chambre;49.1
247300452;CC Maurienne Galibier;67.7
247300528;CC Val Guiers;6.5
247300668;CC du Lac d'Aiguebelette (CCLA);18
247300676;CC Porte de Maurienne;16.9
247300817;CC Les Versants d'Aime;74.2
247400047;CC de la Vallée Verte;23.9
247400112;CC du Pays de Cruseilles;5.9
247400567;CC Fier et Usses;2.1
247400583;CC Arve et Salève;6.2
247400617;CC des Vallées de Thônes;58.8
247400666;CC des Quatre Rivières;14.3
247400682;CC du Haut Chablais;72
247400690;CC du Genevois;8.1
247400724;CC du Pays Rochois;3.2
247400740;CC Rumilly Terre de Savoie;2.7
247400773;CC des Sources du Lac d'Annecy;14.3
247600505;CC Campagne-de-Caux;4.5
247600588;CC des Villes Soeurs;25.4
247600604;CC de Londinières;11
247600620;CC Yvetot Normandie;1.3
247600646;CC Caux - Austreberthe;0.7
247600729;CC Falaises du Talou;7.2
247600786;CA de la Région Dieppoise;10.7
247700032;CC Moret Seine et Loing;5.1
247700057;CA Melun Val de Seine;1.7
247700065;CC du Pays de l'Ourcq;3.4
247700107;CC Pays de Montereau;3.2
247700339;CA Val d'Europe Agglomération;10.8
247700594;CA Marne et Gondoire;3.4
247700644;CC l'Orée de la Brie;1.1
247700701;CC Brie Nangissienne;2.4
247800550;CC du Pays Houdanais (CCPH);6.9
247800584;CA Versailles Grand Parc (CAVGP);3.5
247800618;CC Coeur d'Yvelines;4.4
247900798;CC du Thouarsais;4.6
248000499;CC du Val de Somme;3.2
248000531;CA Amiens Métropole;2.5
248000747;CC du Pays du Coquelicot;4.6
248100158;CC du Sor et de l'Agout;4.2
248100430;CA de Castres Mazamet;3.3
248100497;CC Val 81;16.5
248100737;CA de l'Albigeois (C2A);3.4
248100745;CC Thoré Montagne Noire;18.4
248200016;CC des Deux Rives;7.2
248200057;CC du Quercy Caussadais;7.3
248200065;CC de la Lomagne Tarn-et-Garonnaise;7.6
248200099;CA Grand Montauban;1.6
248200107;Quercy Rouergue et des Gorges de l'Aveyron;30.9
248300394;CA Sud Sainte Baume;38
248300410;CC de la Vallée du Gapeau;3.7
248300493;Dracénie Provence Verdon Agglomération;12.7
248300543;Métropole Toulon-Provence-Méditerranée;12
248300550;CC Coeur du Var;8
248400053;CA Ventoux-Comtat-Venaissin (COVE);12.2
248400160;CC Aygues-Ouvèze en Provence (CCAOP);5.1
248400236;Pays d'Orange en Provence;2.1
248400251;CA du Grand Avignon (COGA);4.3
248400285;Communauté de Communes Sud Luberon;10.6
248400293;CA des Sorgues du Comtat;2.3
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;9
248400335;CC Vaison Ventoux;22.2
248500191;CC de l'Ile de Noirmoutier;68.6
248500258;CC Océan Marais de Monts;56.6
248500340;CC Pays de Chantonnay;3.8
248500415;CC du Pays de la Châtaigneraie;8.1
248500464;CC du Pays de Pouzauges;3.9
248500530;CC du Pays des Achards;6.5
248500563;CC Vendée, Sèvre, Autise;9.7
248500589;CA La Roche-sur-Yon - Agglomération;3.1
248500621;CC du Pays des Herbiers;2.4
248500662;CC du Pays de Mortagne;3.3
248600413;CA Grand Châtellerault;5.8
248600447;CC du Pays Loudunais;13.4
248700189;CC du Pays de Saint Yrieix;9.9
248719262;CC Gartempe - Saint Pardoux;21
248719288;CC du Val de Vienne;2.4
248719312;CU Limoges Métropole;2.9
248719338;CC Briance-Combade;15.3
248719353;CC des Portes de Vassivière;32.1
248719361;CC de Noblat;8.6
248900334;CA du Grand Sénonais;4.3
248900383;CC de l'Agglomération Migennoise;2.9
248900524;CC de l'Aillantais en Bourgogne;12.6
248900664;CC de la Vanne et du Pays d'Othe;15.3
248900748;CC du Gâtinais en Bourgogne;15.9
248900896;CC Yonne Nord;8.6
248900938;CC du Jovinien;8.9
249000241;CC du Sud Territoire;1.5
249100074;CC du Pays de Limours (CCPL);1.9
249100157;CC des 2 Vallées;6.6
249100546;CC du Val d'Essonne (CCVE);1.7
249100553;CC Entre Juine et Renarde (CCEJR);2.5
249100595;CC le Dourdannais en Hurepoix (CCDH);4.9
249500109;CA de Cergy-Pontoise;2.2
249500430;CC Sausseron Impressionnistes;4
249500455;CC de la Vallée de l'Oise et des Trois Forêts;2.1
249500489;CC du Haut Val d'Oise;0.9
249500513;CC du Vexin-Val de Seine;7.1
249710047;CC de Marie-Galante;14.4
249710062;CA du Nord Basse-Terre;8
249710070;CA Grand Sud Caraïbe;5.1
249720053;CA de l'Espace Sud de la Martinique;13.6
