Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200043081;CC Chinon, Vienne et Loire;19.5
200043123;CC Auray Quiberon Terre Atlantique;12.2
200043156;CC du Pays Rethélois;19.3
200043172;CA du Bassin de Brive;14.2
200043263;CC Coeur de l'Avesnois;22.4
200043321;CC du Pays de Mormal;15.9
200043354;CC de Villedieu Intercom;14
200043396;CA Maubeuge Val de Sambre;25.1
200043404;CC du Sud Avesnois;27.8
200043438;CC de la Moivre à la Coole;12.1
200043495;CA du Pays de Laon;23.6
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;22.9
200043628;CC des Vallées du Clain;14.6
200043693;CC Terre Lorraine du Longuyonnais;14.5
200043776;CC Pyrénées audoises;25.4
200043974;CC du Sud Gironde;18.3
200043982;CC du Bazadais;16.9
200043990;CC Vallons de Haute-Bretagne Communauté;10.5
200044014;CC Creuse Grand Sud;14.9
200044030;CC des 7 Vallées;19.7
200044048;CC Osartis Marquion;14
200044253;CC du Bassin de Joinville en Champagne;22.1
200044394;CC du Réolais en Sud Gironde;21
200044469;CC du Pays de Mirepoix;21.1
200044618;CA Douaisis Agglo;21.8
200044691;CA du Nord Grande Terre;22.5
200046977;Métropole de Lyon;12.7
200048551;CC du Pays de Craon;11.9
200049187;CA du Grand Verdun;18.4
200049211;CC Conflent-Canigó;21.9
200049484;CC Berry Grand Sud;20.2
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;16.5
200055481;CC Beauce Val de Loire;16.3
200055655;CA Roissy Pays de France;17.5
200055887;CC Mayenne Communauté;11.3
200056232;CA Communauté Paris-Saclay;10.4
200056380;CA Plaine Vallée;13
200057859;CA Coeur d'Essonne Agglomération;20.3
200057867;Plaine Commune;19.7
200057875;Est Ensemble;18.2
200057941;#ParisEstMarne&Bois;11.2
200057958;CA Paris - Vallée de la Marne;13.8
200057966;Vallée Sud-Grand Paris;11.4
200057974;Grand Paris Seine Ouest;8.6
200057982;Paris Ouest La Défense;10.1
200057990;Boucle Nord de Seine;15.1
200058006;Grand Paris Sud Est Avenir;14.6
200058014;Grand-Orly Seine Bièvre;15.2
200058097;Paris Terres d'Envol;20.2
200058360;CC Entre Beauce et Perche;13.3
200058477;CA Val d'Yerres Val de Seine;14.4
200058485;CA Val Parisis;13.3
200058519;CA Saint Germain Boucles de Seine;10
200058782;CA de Saint Quentin en Yvelines;13
200058790;Grand Paris Grand Est;16.4
200059228;CA Grand Paris Sud Seine Essonne Sénart;16.9
200059392;CC Bièvre Isère;13.6
200059400;CC Porte Océane du Limousin;17
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;15.5
200060010;CA Mauges Communauté;9.4
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;15.2
200065589;CC Val ès Dunes;13.9
200065597;CU Caen la Mer;12.2
200065647;CA Pays de Montbéliard Agglomération;17.8
200065787;CC de Pont-Audemer / Val de Risle;18.4
200065886;Loire Forez Agglomération (LFA);12.4
200065894;CC de Forez-Est;10.6
200065928;CA Lannion-Trégor Communauté;13.1
200066009;CA Mulhouse Alsace Agglomération;19.2
200066017;CC Lieuvin Pays d'Auge;13.6
200066025;CC Alsace Rhin Brisach;12.1
200066033;CC Sud Alsace Largue;11.9
200066041;CC Sundgau;12.8
200066058;CA Saint-Louis Agglomération;14.8
200066108;CC des Portes de Meuse;15.8
200066116;CC Argonne-Meuse;18.8
200066124;CA Gaillac-Graulhet;17.3
200066132;CC du Pays de Stenay et du Val Dunois;20
200066140;CC de l'Aire à l'Argonne;12.2
200066157;CC de Commercy - Void - Vaucouleurs;18.5
200066165;CC Val de Meuse - Voie Sacrée;13.6
200066173;CC de Damvillers Spincourt;13.7
200066223;CC Arize Lèze;17.4
