Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200042190;CA de la Porte du Hainaut;84.2
200042372;CC des Coteaux Arrats Gimone;85.7
200042414;CC Bresse Revermont 71;89.1
200042463;CC de la Montagne Noire;82.5
200042497;CC Dombes Saône Vallée;85.9
200042604;CC de Granville, Terre et Mer;82.1
200042620;CC de la Région de Suippes;73.3
200042646;CC Grand Orb Communauté de Communes en Languedoc;79.7
200042653;CC Sud-Hérault;83.6
200042703;CC de l'Argonne Champenoise;84
200042729;CC de la Baie du Cotentin;83.6
200042901;CC Drôme Sud Provence;88.3
200042935;CA Haut-Bugey Agglomération;84.8
200042943;CC du Cap Corse;83.7
200042992;CC Perthois-Bocage et Der;85.4
200043016;CC Val de Charente;81.3
200043065;CC du Val d'Amboise;81.5
200043081;CC Chinon, Vienne et Loire;83.4
200043123;CC Auray Quiberon Terre Atlantique;84.6
200043156;CC du Pays Rethélois;85.2
200043172;CA du Bassin de Brive;84
200043263;CC Coeur de l'Avesnois;84.5
200043321;CC du Pays de Mormal;88.3
200043354;CC de Villedieu Intercom;85.2
200043396;CA Maubeuge Val de Sambre;84.5
200043404;CC du Sud Avesnois;85.3
200043438;CC de la Moivre à la Coole;89.9
200043495;CA du Pays de Laon;82.4
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;80.7
200043628;CC des Vallées du Clain;91.4
200043693;CC Terre Lorraine du Longuyonnais;89.6
200043776;CC Pyrénées audoises;75.3
200043974;CC du Sud Gironde;84.9
200043982;CC du Bazadais;86.3
200043990;CC Vallons de Haute-Bretagne Communauté;85.2
200044014;CC Creuse Grand Sud;75.3
200044030;CC des 7 Vallées;85
200044048;CC Osartis Marquion;88.2
200044253;CC du Bassin de Joinville en Champagne;81.2
200044394;CC du Réolais en Sud Gironde;84.5
200044469;CC du Pays de Mirepoix;83.8
200044618;CA Douaisis Agglo;79.9
200044691;CA du Nord Grande Terre;87.6
200046977;Métropole de Lyon;47.2
200048551;CC du Pays de Craon;80.4
200049187;CA du Grand Verdun;76.4
200049211;CC Conflent-Canigó;76
200049484;CC Berry Grand Sud;78.4
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;68.6
200055481;CC Beauce Val de Loire;85.7
200055655;CA Roissy Pays de France;58.2
200055887;CC Mayenne Communauté;85.1
200056232;CA Communauté Paris-Saclay;58.8
200056380;CA Plaine Vallée;48.6
200057859;CA Coeur d'Essonne Agglomération;63.8
200057867;Plaine Commune;25.3
200057875;Est Ensemble;24.3
200057941;#ParisEstMarne&Bois;29.8
200057958;CA Paris - Vallée de la Marne;49.3
200057966;Vallée Sud-Grand Paris;32.6
200057974;Grand Paris Seine Ouest;27.2
200057982;Paris Ouest La Défense;27.8
200057990;Boucle Nord de Seine;27.5
200058006;Grand Paris Sud Est Avenir;45.7
200058014;Grand-Orly Seine Bièvre;37.6
200058097;Paris Terres d'Envol;47.9
200058360;CC Entre Beauce et Perche;84
200058477;CA Val d'Yerres Val de Seine;49.8
200058485;CA Val Parisis;50.4
200058519;CA Saint Germain Boucles de Seine;37.8
200058782;CA de Saint Quentin en Yvelines;60.2
200058790;Grand Paris Grand Est;43.2
200059228;CA Grand Paris Sud Seine Essonne Sénart;60.2
200059392;CC Bièvre Isère;88
200059400;CC Porte Océane du Limousin;87.3
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;56.5
200060010;CA Mauges Communauté;86
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;83.3
200065589;CC Val ès Dunes;89.6
200065597;CU Caen la Mer;72.5
200065647;CA Pays de Montbéliard Agglomération;85
200065787;CC de Pont-Audemer / Val de Risle;85.4
200065886;Loire Forez Agglomération (LFA);87.4
200065894;CC de Forez-Est;86
200065928;CA Lannion-Trégor Communauté;84.1
200066009;CA Mulhouse Alsace Agglomération;77.2
200066017;CC Lieuvin Pays d'Auge;87.2
200066025;CC Alsace Rhin Brisach;87.7
200066033;CC Sud Alsace Largue;88
200066041;CC Sundgau;88.1
200066058;CA Saint-Louis Agglomération;77.8
200066108;CC des Portes de Meuse;89.3
200066116;CC Argonne-Meuse;83.4
200066124;CA Gaillac-Graulhet;84.6
200066132;CC du Pays de Stenay et du Val Dunois;83.2
200066140;CC de l'Aire à l'Argonne;85
200066157;CC de Commercy - Void - Vaucouleurs;82.6
200066165;CC Val de Meuse - Voie Sacrée;88.8
200066173;CC de Damvillers Spincourt;88.7
200066223;CC Arize Lèze;80.2
200066231;CC des Portes d'Ariège Pyrénées;79
200066280;CC du Pithiverais;83
200066322;CC Terres des Confluences;84.2
200066330;CC Terres du Haut Berry;89.6
200066348;CC du Minervois au Caroux;77.7
200066355;CA Sète Agglopôle Méditerranée;75.9
200066363;CC de la Haute Ariège;74.8
200066371;CC Causses et Vallée de la Dordogne;83
200066389;CA Saint-Lô Agglo;85.5
200066405;CC Roumois Seine;91.9
