Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200070142;CC Lyons Andelle;36.2
200070159;CC Coeur de Beauce;2.2
200070167;CC Terres de Perche;18.6
200070183;CC des Terres du Val de Loire;13.5
200070233;CA Terres de Montaigu;0.7
200070282;CC Lavalette Tude Dronne;27.2
200070290;CC Coeur du Pays Haut;17.6
200070308;CA Mâconnais Beaujolais Agglomération;19.4
200070316;CC Entre Arroux, Loire et Somme;16.1
200070324;CC du Territoire de Lunéville à Baccarat;41.7
200070332;CC des Savoir-Faire;37.5
200070340;CC Haute Maurienne Vanoise;96.6
200070365;CC Corbières Salanque Méditerranée;65.6
200070373;CC Loir-Lucé-Bercé;16.3
200070407;CA Agglo Pays d'Issoire;41.4
200070431;CC Saint-Marcellin Vercors Isère Communauté;43.4
200070449;CC Inter-Caux-Vexin;14.5
200070464;CC Coeur de Maurienne Arvan;88.3
200070506;CC Pays de Nexon Monts de Chalus;25
200070514;CA du Grand Cognac;10.7
200070530;CC du Grand Autunois Morvan;37.5
200070548;CC Brionnais Sud Bourgogne;14.7
200070555;CC de la Veyle;5.8
200070563;CC Terres Touloises;39.5
200070571;CC Coeur de Berry;16.8
200070589;CC de Seille et Grand Couronné;19
200070647;CA Bergeracoise;29.6
200070662;CC Bretagne Porte de Loire Communauté;5.1
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;3.7
200070688;CC Couesnon Marches de Bretagne;6.8
