Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
249100553;CC Entre Juine et Renarde (CCEJR);34.7
249100595;CC le Dourdannais en Hurepoix (CCDH);36.4
249500109;CA de Cergy-Pontoise;10
249500430;CC Sausseron Impressionnistes;18.8
249500455;CC de la Vallée de l'Oise et des Trois Forêts;46.8
249500489;CC du Haut Val d'Oise;23.1
249500513;CC du Vexin-Val de Seine;23.4
249710047;CC de Marie-Galante;39
249710062;CA du Nord Basse-Terre;65.8
249710070;CA Grand Sud Caraïbe;64.1
249720053;CA de l'Espace Sud de la Martinique;42.4
249720061;CA du Centre de la Martinique;34.3
249730037;CC de l'Ouest Guyanais;4.6
249730045;CA du Centre Littoral;15
249730052;CC de l'Est Guyanais;7.5
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);48.6
249740085;CA du Sud;63.9
249740093;CA Intercommunale de la Réunion Est (CIREST);69.2
249740101;CA Territoire de la Côte Ouest (TCO);56.1
249740119;CA Intercommunale du Nord de la Réunion (CINOR);55
75056;Paris;0
